en;ru;kk;translation_key;is_preload
Метаком-Семей;Метаком-Семей;Метаком-Семей;ps_79;0
РЦКУ-Уральск [Батыс ЭнергоРесурсы, Орал Таза Сервис, КазТрансГаз Аймак, прочие];РЦКУ-Уральск [Батыс ЭнергоРесурсы, Орал Таза Сервис, КазТрансГаз Аймак, прочие];РЦКУ-Уральск [Батыс ЭнергоРесурсы, Орал Таза Сервис, КазТрансГаз Аймак, прочие];ps_80;0
;РЦКУ-Запад (Актобе);[Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];РЦКУ-Запад (Актобе) [Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];РЦКУ-Запад (Актобе) [Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];ps_81;0
РЦКУ-Костанай [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Костанай [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Костанай [КазТрансГазАймак, ВДГО, прочие];ps_82;0
РЦКУ-Атырау [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Атырау [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Атырау [КазТрансГазАймак, ВДГО, прочие];ps_83;0
РЦКУ-Актау[КазТрансГазАймак, ВДГО, прочие];РЦКУ-Актау[КазТрансГазАймак, ВДГО, прочие];РЦКУ-Актау[КазТрансГазАймак, ВДГО, прочие];ps_84;0
Астана ЕРЦ;Астана ЕРЦ;Астана ЕРЦ;ps_85;0
УК тепловые сети; УК тепловые сети; УК тепловые сети;ps_86;0
ТОО Карагандыжылусбыт";ТОО "Карагандыжылусбыт";ТОО "Карагандыжылусбыт";ps_87;0
Тауекел-Т;Тауекел-Т;Тауекел-Т;ps_88;0
Тауекель-Н-Алгабас;Тауекель-Н-Алгабас;Тауекель-Н-Алгабас;ps_89;0
Жетісу газ кубыры;Жетісу газ кубыры;Жетісу газ кубыры;ps_90;0
Кызылордатеплоэлектроцентр;Кызылордатеплоэлектроцентр;Кызылордатеплоэлектроцентр;ps_91;0
ЕПД АРЦ Алматы газ;ЕПД АРЦ Алматы газ;ЕПД АРЦ Алматы газ;ps_92;0
ТОО Рудненский Водоканал; ТОО Рудненский Водоканал; ТОО Рудненский Водоканал;ps_93;0
ТОО «Шыгысэнерготрэйд»;ТОО «Шыгысэнерготрэйд»;ТОО «Шыгысэнерготрэйд»;ps_94;0
РЦКУ-Кызылорда [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Кызылорда [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Кызылорда [КазТрансГазАймак, ВДГО, прочие];ps_95;0
Согринская ТЭЦ АЭС;  Согринская ТЭЦ АЭС;  Согринская ТЭЦ АЭС;ps_96;0
ПавлодарЭнергоСбыт ЕРЦ;  ПавлодарЭнергоСбыт ЕРЦ;  ПавлодарЭнергоСбыт ЕРЦ;ps_97;0
ТОО "Шахтинсктеплоэнерго";ТОО "Шахтинсктеплоэнерго";ТОО "Шахтинсктеплоэнерго";ps_98;0
ТОО "Павлодар-водоканал";ТОО "Павлодар-водоканал";ТОО "Павлодар-водоканал";ps_99;0
Батыс Энерго Ресурсы;Батыс Энерго Ресурсы;Батыс Энерго Ресурсы;ps_100;0
РЦКУ Шымкент;РЦКУ Шымкент;РЦКУ Шымкент;ps_101;0
ОҢАЙ – Транспортная карта г.Алматы;ОҢАЙ – Транспортная карта г.Алматы;ОҢАЙ – Транспортная карта г.Алматы;ps_102;0
ТОО «САПАР» (www.avokzal.kz);ТОО «САПАР» (www.avokzal.kz);ТОО «САПАР» (www.avokzal.kz);ps_103;0
E-gov (Электронное правительство)*;E-gov (Электронное правительство)*;E-gov (Электронное правительство)*;ps_104;0
Оплата штрафов ПДД (г.Алматы)*;Оплата штрафов ПДД (г.Алматы)*;Оплата штрафов ПДД (г.Алматы)*;ps_105;0
Оплата штрафов ПДД (РК)*;Оплата штрафов ПДД (РК)*;Оплата штрафов ПДД (РК)*;ps_106;0
Mamba.ru;Mamba.ru;Mamba.ru;ps_107;0
Lava-Online, ;Lava-Online, ;Lava-Online, ;ps_108;0
Дозоры,; Дозоры,; Дозоры,;ps_109;0
[AtomFishing] Сервер Экстрим, ;[AtomFishing] Сервер Экстрим, ;[AtomFishing] Сервер Экстрим, ;ps_110;0
[AtomFishing] Сервер Возвращение, ;[AtomFishing] Сервер Возвращение, ;[AtomFishing] Сервер Возвращение, ;ps_111;0
Xcraft.ru,;Xcraft.ru,;Xcraft.ru,;ps_112;0
GameXP,;GameXP,;GameXP,;ps_113;0
The War Z, ;The War Z, ;The War Z, ;ps_114;0
Battle of Immortals, ;Battle of Immortals, ;Battle of Immortals, ;ps_115;0
Территория 2, ;Территория 2, ;Территория 2, ;ps_116;0
Последний предел,; Последний предел,; Последний предел,;ps_117;0
Tanki online, ; Tanki online, ; Tanki online, ;ps_119;0
Bloody World, ; Bloody World, ; Bloody World, ;ps_120;0
Gamenet,;Gamenet, ;Gamenet, ;ps_121;0
One World, ;One World, ;One World, ;ps_122;0
Садовая империя, ;Садовая империя, ;Садовая империя, ;ps_123;0
Лордмансер, ;Лордмансер, ;Лордмансер, ;ps_124;0
Zzima.com,; Zzima.com,; Zzima.com,;ps_125;0
Поднебесье, ;Поднебесье, ;Поднебесье, ;ps_126;0
Murclub.ru, ; Murclub.ru, ; Murclub.ru, ;ps_127;0
Осада Онлайн, ;Осада Онлайн, ;Осада Онлайн, ;ps_128;0
Silkroad Online, ;Silkroad Online, ;Silkroad Online, ;ps_129;0
Kw.rambler.ru, ;Kw.rambler.ru, ;Kw.rambler.ru, ;ps_130;0
Моя деревня, ;Моя деревня, ;Моя деревня, ;ps_131;0
My lands, ;My lands, ;My lands, ;ps_132;0
Варвары, ;Варвары, ;Варвары, ;ps_133;0
JagPlay, ;JagPlay, ;JagPlay, ;ps_134;0
Mgates, ;Mgates, ;Mgates, ;ps_135;0
Войны мафии, ;Войны мафии, ;Войны мафии, ;ps_136;0
Острова, ;  Острова, ;  Острова, ;ps_137;0
Peredovaya, ;Peredovaya, ;Peredovaya, ;ps_138;0
Звездные бои,;Звездные бои,;Звездные бои,;ps_139;0
Гарена, ;Гарена, ;Гарена, ;ps_140;0
Королевство;Королевство;Королевство;ps_141;0
Ганджубасовые войны;Ганджубасовые войны;Ганджубасовые войны;ps_142;0
Carnage;Carnage;Carnage;ps_143;0
11х11 футбольный Менеджер;11х11 футбольный Менеджер;11х11 футбольный Менеджер;ps_144;0
Sky2Fly;Sky2Fly;Sky2Fly;ps_145;0
Герои войны и денег;Герои войны и денег;Герои войны и денег;ps_146;0
U.N.I.T.;U.N.I.T.;U.N.I.T.;ps_147;0
NeverLands;NeverLands;NeverLands;ps_148;0
Гладиаторы;Гладиаторы;Гладиаторы;ps_149;0
BananaWars;BananaWars;BananaWars;ps_150;0
Overkings;Overkings;Overkings;ps_151;0
Haddan;Haddan;Haddan;ps_152;0
Грани реальности;Грани реальности;Грани реальности;ps_153;0
Xsolla;Xsolla ;Xsolla ;ps_154;0
VK реклама;VK реклама;VK реклама;ps_155;0
Steam (M);Steam (M);Steam (M);ps_156;0
World of Tanks (M);World of Tanks (M);World of Tanks (M);ps_157;0
ТОО «Букмекерская контора «OLIMP KZ»;ТОО «Букмекерская контора «OLIMP KZ»;ТОО «Букмекерская контора «OLIMP KZ»;ps_158;0
Букмекерская контора ТОО «PROFIT Betting» ( www.profitbet.kz);Букмекерская контора ТОО «PROFIT Betting» ( www.profitbet.kz);Букмекерская контора ТОО «PROFIT Betting» ( www.profitbet.kz);ps_159;0
ТОО Букмекерская контора Гол+Пас;ТОО Букмекерская контора Гол+Пас;ТОО Букмекерская контора Гол+Пас;ps_160;0
Альпари;Альпари;Альпари;ps_161;0
e-KZT;e-KZT;e-KZT;ps_162;0
ТОО «Редпрайс» (www.chocolifeme.kz);ТОО «Редпрайс» (www.chocolifeme.kz);ТОО «Редпрайс» (www.chocolifeme.kz);ps_163;0
ТОО "БиСмарт" (besmart.kz);ТОО "БиСмарт" (besmart.kz);ТОО "БиСмарт" (besmart.kz);ps_164;0
ТОО Мир купонов;ТОО Мир купонов;ТОО Мир купонов;ps_165;0
Flora Express;Flora Express;Flora Express;ps_166;0
LR Health and Beauty Systems;LR Health and Beauty Systems;LR Health and Beauty Systems;ps_167;0
ShopInfo.kz;ShopInfo.kz;ShopInfo.kz;ps_168;0
ТОО «INFOSMS.KZ»;ТОО «INFOSMS.KZ»;ТОО «INFOSMS.KZ»;ps_169;0
ТОО «Колёса» (www.kolesa,kz , www.krisha.kz);ТОО «Колёса» (www.kolesa,kz , www.krisha.kz);ТОО «Колёса» (www.kolesa,kz , www.krisha.kz);ps_170;0
Газета Автомания;Газета Автомания;Газета Автомания;ps_171;0
Газета Из рук в руки;Газета Из рук в руки;Газета Из рук в руки;ps_172;0
Газета Работа Сегодня;Газета Работа Сегодня;Газета Работа Сегодня;ps_173;0
ТОО «ЭВБИКА»;ТОО «ЭВБИКА»;ТОО «ЭВБИКА»;ps_174;0
ТОО «Прометей-Б»;ТОО «Прометей-Б»;ТОО «Прометей-Б»;ps_175;0
ТОО «Жедел-Сақшы»;ТОО «Жедел-Сақшы»;ТОО «Жедел-Сақшы»;ps_176;0
Жедел Кузет ;Жедел Кузет ;Жедел Кузет ;ps_177;0
ТОО Кузет-Моторс;ТОО Кузет-Моторс;ТОО Кузет-Моторс;ps_178;0
ТОО Кузет-Техмонтаж;ТОО Кузет-Техмонтаж;ТОО Кузет-Техмонтаж;ps_179;0
OLX.kz;OLX.kz;OLX.kz;ps_180;0
ТОО "Орифлэйм";ТОО "Орифлэйм";ТОО "Орифлэйм";ps_181;0
AVON;AVON;AVON;ps_182;0
ТОО "Фаберлик - Казахстан";ТОО "Фаберлик - Казахстан";ТОО "Фаберлик - Казахстан";ps_183;0
Mary Kay Kazakhstan;Mary Kay Kazakhstan;Mary Kay Kazakhstan;ps_184;0
ИС Параграф;ИС Параграф;ИС Параграф;ps_185;0
Beeline (Кар-Тел);Beeline (Кар-Тел);Beeline (Кар-Тел);ps_full_1;0
Kcell;Kcell;Kcell;ps_full_2;0
Aсtiv;Aсtiv;Aсtiv;ps_full_3;0
TELE2;TELE2;TELE2;ps_full_4;0
Алтел;Алтел;Алтел;ps_full_5;0
АО "Казахтелеком";АО "Казахтелеком";АО "Казахтелеком";ps_full_6;0
ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);ps_full_7;0
ТОО «ТОПАЗ-ТЕЛЕКОМ»;ТОО «ТОПАЗ-ТЕЛЕКОМ»;ТОО «ТОПАЗ-ТЕЛЕКОМ»;ps_full_8;0
Twinncom Network;Twinncom Network;Twinncom Network;ps_full_9;0
ОКТЕЛ;ОКТЕЛ;ОКТЕЛ;ps_full_10;0
СА-Телком фиксированная связь;СА-Телком фиксированная связь;СА-Телком фиксированная связь;ps_full_11;0
Балхаш Электронный Город. Интернет;Балхаш Электронный Город. Интернет;Балхаш Электронный Город. Интернет;ps_full_12;0
ТОО «Metro Net»;ТОО «Metro Net»;ТОО «Metro Net»;ps_full_13;0
ТОО «Promtel»;ТОО «Promtel»;ТОО «Promtel»;ps_full_14;0
ТОО «System Line»;ТОО «System Line»;ТОО «System Line»;ps_full_15;0
ТОО BeNetCom;ТОО BeNetCom;ТОО BeNetCom;ps_full_16;0
Skype;Skype;Skype;ps_full_17;0
Altel JET (Retail);Altel JET (Retail);Altel JET (Retail);ps_full_18;0
ТОО АстанаМегаТел;ТОО АстанаМегаТел;ТОО АстанаМегаТел;ps_full_19;0
АО «Транстелеком»;АО «Транстелеком»;АО «Транстелеком»;ps_full_20;0
АО «Транстелеком» (Direct);АО «Транстелеком» (Direct);АО «Транстелеком» (Direct);ps_full_21;0
ТОО «АлмаТВ»;ТОО «АлмаТВ»;ТОО «АлмаТВ»;ps_full_22;0
ТОО «Телекомпания «43 канал»;ТОО «Телекомпания «43 канал»;ТОО «Телекомпания «43 канал»;ps_full_23;0
АО "Казтелерадио полный пакет" (OTAU TV);АО "Казтелерадио полный пакет" (OTAU TV);АО "Казтелерадио полный пакет" (OTAU TV);ps_full_24;0
ТОО "Кабельные сети Костаная";ТОО "Кабельные сети Костаная";ТОО "Кабельные сети Костаная";ps_full_25;0
ТАУ TV*;ТАУ TV*;ТАУ TV*;ps_full_26;0
Базис-Телеком г.Алматы;Базис-Телеком г.Алматы;Базис-Телеком г.Алматы;ps_full_27;0
Триколор ТВ;Триколор ТВ;Триколор ТВ;ps_full_28;0
НТВ-Плюс;НТВ-Плюс;НТВ-Плюс;ps_full_29;0
АЛСЕКО*;АЛСЕКО*;АЛСЕКО*;ps_full_30;0
ИВЦ*;ИВЦ*;ИВЦ*;ps_full_31;0
ЭПК forfait;ЭПК forfait;ЭПК forfait;ps_full_32;0
Жесказган ЭнергоСбыт;Жесказган ЭнергоСбыт;Жесказган ЭнергоСбыт;ps_full_33;0
АлматыЭнергосбыт (физ. лица)*;АлматыЭнергосбыт (физ. лица)*;АлматыЭнергосбыт (физ. лица)*;ps_full_34;0
Батыс Су Арнасы;Батыс Су Арнасы;Батыс Су Арнасы;ps_full_35;0
Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];ps_full_36;0
[Омега XXI] Область;[Омега XXI] Область;[Омега XXI] Область;ps_full_37;0
ТОО Караганды ГорКомТранс;ТОО Караганды ГорКомТранс;ТОО Караганды ГорКомТранс;ps_full_38;0
Мюль Сервис;Мюль Сервис;Мюль Сервис;ps_full_39;0
Народный домофон;Народный домофон;Народный домофон;ps_full_40;0
Жолаушы-СК;Жолаушы-СК;Жолаушы-СК;ps_full_41;0
Кокшеэнергосервис*;Кокшеэнергосервис*;Кокшеэнергосервис*;ps_full_42;0
ЦентрКоммунПлат-АРС;ЦентрКоммунПлат-АРС;ЦентрКоммунПлат-АРС;ps_full_43;0
Предприятие Спецавто-транспорта;Предприятие Спецавто-транспорта;Предприятие Спецавто-транспорта;ps_full_44;0
ЕРЦ Капчагай;ЕРЦ Капчагай;ЕРЦ Капчагай;ps_full_45;0
РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];ps_full_46;0
ТОО «Костанайский ЭнергоЦентр»*;ТОО «Костанайский ЭнергоЦентр»*;ТОО «Костанайский ЭнергоЦентр»*;ps_full_47;0
АРЭК-Энергосбыт.Интернациональное*;АРЭК-Энергосбыт.Интернациональное*;АРЭК-Энергосбыт.Интернациональное*;ps_full_48;0
АРЭК-Энергосбыт.Кощи*;АРЭК-Энергосбыт.Кощи*;АРЭК-Энергосбыт.Кощи*;ps_full_49;0
Астана Газ Сервис*;Астана Газ Сервис*;Астана Газ Сервис*;ps_full_50;0
БалхашЭнерго.Электроэнергия*;БалхашЭнерго.Электроэнергия*;БалхашЭнерго.Электроэнергия*;ps_full_51;0
Бурабай Су Арнасы*;Бурабай Су Арнасы*;Бурабай Су Арнасы*;ps_full_52;0
ТОО Горэлектросети*;ТОО Горэлектросети*;ТОО Горэлектросети*;ps_full_53;0
Павлодарлифт*;Павлодарлифт*;Павлодарлифт*;ps_full_54;0
АО Кызылжар су;АО Кызылжар су;АО Кызылжар су;ps_full_55;0
Ремстройсервис*;Ремстройсервис*;Ремстройсервис*;ps_full_56;0
Риддер-ТЭЦ*;Риддер-ТЭЦ*;Риддер-ТЭЦ*;ps_full_57;0
РСЦ*;РСЦ*;РСЦ*;ps_full_58;0
СевКазЭнерго* (Аккайынский РЭС);СевКазЭнерго* (Аккайынский РЭС);СевКазЭнерго* (Аккайынский РЭС);ps_full_59;0
СевКазЭнерго* (Благовещенский УСЭЭ) ;СевКазЭнерго* (Благовещенский УСЭЭ) ;СевКазЭнерго* (Благовещенский УСЭЭ) ;ps_full_60;0
СевКазЭнерго* (Возвышенский РПБ) ;СевКазЭнерго* (Возвышенский РПБ) ;СевКазЭнерго* (Возвышенский РПБ) ;ps_full_61;0
СевКазЭнерго* (Есильский УСЭЭ) ;СевКазЭнерго* (Есильский УСЭЭ) ;СевКазЭнерго* (Есильский УСЭЭ) ;ps_full_62;0
СевКазЭнерго* (Жамбыльский РЭС) ;СевКазЭнерго* (Жамбыльский РЭС) ;СевКазЭнерго* (Жамбыльский РЭС) ;ps_full_63;0
СевКазЭнерго* (Корнеевский РПБ) ;СевКазЭнерго* (Корнеевский РПБ) ;СевКазЭнерго* (Корнеевский РПБ) ;ps_full_64;0
СевКазЭнерго* (Кызылжарский РЭС) ;СевКазЭнерго* (Кызылжарский РЭС) ;СевКазЭнерго* (Кызылжарский РЭС) ;ps_full_65;0
СевКазЭнерго*  (М.Жумабаева РЭС) ;СевКазЭнерго*  (М.Жумабаева РЭС) ;СевКазЭнерго*  (М.Жумабаева РЭС) ;ps_full_66;0
СевКазЭнерго* (Мамлютский РЭС);СевКазЭнерго* (Мамлютский РЭС);СевКазЭнерго* (Мамлютский РЭС);ps_full_67;0
СевКазЭнерго* (Петропавловск) ;СевКазЭнерго* (Петропавловск) ;СевКазЭнерго* (Петропавловск) ;ps_full_68;0
СевКазЭнерго* (Соколовский УСЭЭ) ;СевКазЭнерго* (Соколовский УСЭЭ) ;СевКазЭнерго* (Соколовский УСЭЭ) ;ps_full_69;0
СевКазЭнерго* (Тимирязевский РЭС);СевКазЭнерго* (Тимирязевский РЭС);СевКазЭнерго* (Тимирязевский РЭС);ps_full_70;0
МодусKZ Караганды*;МодусKZ Караганды*;МодусKZ Караганды*;ps_full_71;0
МодусKZ Кокшетау*;МодусKZ Кокшетау*;МодусKZ Кокшетау*;ps_full_72;0
Термотранзит*;Термотранзит*;Термотранзит*;ps_full_73;0
ТОО «ГрКомТранс по г.Караганда» ; ТОО «ГрКомТранс по г.Караганда» ; ТОО «ГрКомТранс по г.Караганда» ;ps_full_74;0
ГКП «Оскемен Водоканал»;ГКП «Оскемен Водоканал»;ГКП «Оскемен Водоканал»;ps_full_75;0
ПКСК "Данко";ПКСК "Данко";ПКСК "Данко";ps_full_76;0
Атырауская теплоэлектроцентраль ;Атырауская теплоэлектроцентраль ;Атырауская теплоэлектроцентраль ;ps_full_77;0
ТОО "Астана-Тазарту";ТОО "Астана-Тазарту";ТОО "Астана-Тазарту";ps_full_78;0
Метаком-Семей;Метаком-Семей;Метаком-Семей;ps_full_79;0
РЦКУ-Уральск [Батыс ЭнергоРесурсы, Орал Таза Сервис, КазТрансГаз Аймак, прочие];РЦКУ-Уральск [Батыс ЭнергоРесурсы, Орал Таза Сервис, КазТрансГаз Аймак, прочие];РЦКУ-Уральск [Батыс ЭнергоРесурсы, Орал Таза Сервис, КазТрансГаз Аймак, прочие];ps_full_80;0
;РЦКУ-Запад (Актобе);[Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];РЦКУ-Запад (Актобе) [Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];РЦКУ-Запад (Актобе) [Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];ps_full_81;0
