en;ru;uk;translation_key;output_channel
Operations with the Document status;Действия;Дія;operationsWithDocStatus;W
User certificates;Сертификаты пользователя;Сертифікати користувача;userCertificates;W
Document Type;Тип документа;Тип документу;createDemandType_documentType;W
Bank details - Pension, social contributionsv;Реквизиты - Пенсионные, социальные отчисления;Реквізити - Пенсійні, соціальні відрахування;detailsPensionSocialContributions;W
CSC with this code already exists;КБК с таким кодом уже существует;КБК з таким кодом вже існує;kbkCodeAlreadyExists;W
Credit state;Состояние кредита;Стан кредиту;creditState;W
Loan currency;Валюта займа;Валюта займу;loanCurrency;W
Receiver;Получатель;Отримувач;invoice_receiver;W
A current calendar loading error. Please reload the page or try again later;Ошибка загрузки текущего календаря. Перезагрузите страницу или попробуйте позже;Помилка завантаження поточного календаря. Перезавантажте сторінку або спробуйте пізніше ;currentCalendarLoadingErrorReload;W
Done;Выполнен;Виконаний;common_done;W
International post address;Международный почтовый адрес;Міжнародна поштова адреса;intPostAddress;W
Create a new reason for the card block;Создать новую Причину блокировки карты;Створити нову Причину блокування карти;createCardBlockReason;W
Default organization;Организация по умолчанию;Підприємство за умовчуванням;personal_default_org;W
This field should not exceed 128 characters!;Это поле не должно превышать 128 символа!;Це пле не може перевищувати 128 символів!;noMore128Symbols;W
Jobs Type;Типы работ;Типи робіт;navigation_jobsType;W
view Edit Order Template;Просмотр / Редактирование Шаблона Платежного поручения;Перегляд/редагування Шаблону Платіжного відрахування;paymentOrder_viewEditTemplate;W
Cancel selection;Отменить выделение;Відмінити виділення;grid_cancelselection;W
Error loading currency. Refresh the page or try again later;Ошибка загрузки текущей валюты. Перезагрузите страницу или попробуйте позже;Помилка завантаження поточної валюти. Перезавантажте сторінку або спробуйте пізніше ;currency_error3;W
Error creating currency. Refresh the page or try again later;Ошибка создания валюты. Перезагрузите страницу или попробуйте позже;Помилка створення валюти. Перезаваньажте сторінку або спробуйте пізніше;currency_error2;W
Error updating currency. Refresh the page or try again later;Ошибка обновления валюты. Перезагрузите страницу или попробуйте позже;Помилка оновлення валюти. Перезавантажте сторінку або спробуйте пізніше;currency_error1;W
Any;Не важен;Не важливий;signingrules_withoutorder;W
The code must not exceed 6 digits;Код не должен превышать 6-х цифр;Код не повинен перевишувати 6-ти ціфр;noMore6Digits;W
The System module with this code already exists;Модуль системы с таким кодом уже существует;Модуль системи з таким кодом вже існує;systemModuleWithSameCodeAlreadyExists;W
Multicasting packages;Массовая рассылка;Масова розсилка;multicasting_packTitle;W
Add New Pension Template;Создание Шаблона Пенчионного отчисления;Створення Шаблону Пенсійного відрахування;paymentOrder_addNewPensionTemplate;W
Subject user name;Ф.И.О. измененного пользователя;П.І.Б. зміненого користувача;events_subjectname;W
Payers account;Счет плательщика;Рахунок платника;domTransfer_payerAccount;W
Customize issued currency;Настроить выдаваемые валюты;Налаштувати валюти до видачі;customizeIssuedCurrency;W
Fee currency;Валюта счета взимания комиссии;Валюта рахунку утримання комісії;intTransfer_feeCurrency;W
Status published : false;Статус публикации: не опубликовано;Статус публікації: не опубліковано;createDemandType_statusPublishedFalse;W
Current email;Текущий email;Поточний e-mail;personal_currentEmail;W
Events history;История действия;Історія подій;events_title;W
Chapter;Раздел;Розділ;page_menudetailstitle;W
Status;Статус;Статус;common_status;W
Viewing/Editing the Card product type;Просмотр и редактирование Вида карточных продуктов;Перегляд і редагування Виду карточних продуктів;viewingEditingCardProductType;W
Name;Наименование;Назва;paymentOrder_recipientName;W
Filter settings;Настройки фильтра счетов;Налаштування фільтру рахунків;demandType_filterSettings;W
Block requisites: document;Block requisites: document;Block requisites: document;documentBlock;W
Privileges;Привилегии;Привілеї;companyPersonEdit_privilegestabTitle;W
Organization's managers;Менеджеры организации;Менеджери організації;common_managers;W
Create employee;Создать сотрудника;Створити співробітника;employee_createEmployee;W
Organization;Организация;Організація;common_organization;W
Masage From Bank;Сообщение из банка;Повідомлення з банку;common_MasageFromBank;W
Viewing/Editing the Letter type;Просмотр и редактирование Типа письма;Перегляд і редагування Типу листа;viewingEditingLetterType;W
Сумма возврата;Сумма возврата;Сума повернення;refunds.amount;W
Incorrect passwords count;Количество неправильных паролей;Кількість невірних паролів;customeruser_incorrectPasswordCount;W
Etit Job;Редактирование задачи;Редагування задачі;jobs.edit_job.title;W
Document Date;Дата создания документа;Дата створення документу;common_documentDate;W
First name;Имя;Ім'я;customeruser_firstName;W
Deposit account;Счет депозита;Рахунок депозиту;depositAccount;W
Reject;Отказать;Відмовити;action_reject;W
Payment order;Платежное поручение;Платіжне доручення;domTransfer_paymentOrder;W
Respnse;Содержание ответа;Зміст відповіді;requests_response;W
Account;Счет;Рахунок;senderAccount;W
Account balance;Остаток на счете;Залишок;paymentOrder_accountBalanceKZT;W
Demand Category;Категории заявлений;Категорії заяв;CodeCategory_labelReference;W
Payer;Плательшик;Платник;invoice_payer;W
Receiver's BIN;БИН получателя;БІН отримувача;receiversBIN;W
Notifications type;Тип уведомлений;Тип повідомлень;alertsType;W
debit amount to;Сумма списания по;Сума списання по;accTransfer_debitAmountTo;W
Status;Статус;Статус;customeruser_status;W
Document status;Статус документа;Статус документу;common_docStatus;W
Receivers name;Имя получателя;Ім'я отримувача;domTransfer_receiverName;W
Blocked amount details;Детали заблокированой суммы;Деталі заблокованох суми;blockedAmountDetails;W
Calendar creating error. Is it a duplicate?;Ошибка при создании календаря. Возможно это дубликат?;Помилка при створенні календаря. Можливо це дублікат?;savingCalendarError;W
field type;тип поля;Тип поля;field_type;W
id;ид;ID;CodeCategory_id;W
Add account;Добавить счет;Додати рахунок;signingrules_addAccount;W
Creaition date;Дата создания;Дата створення;news_createDate;W
Amount;Сумма;Сума;invoice_amount;W
Exchange rates;Курсы валют;Курси валют;navigation_handbookExchangeRates;W
Manager action;Действие менеджера;Дія менеджера;events_manageraction;W
Jobs List;Список работ;Список робіт;jobs.List;W
Name;Наименование получателя;Назва отримувача;transferRequisites_recipientName;W
VAT KZT;НДС сумма KZT;ПДВ;paymentOrder_vatKZT;W
Session was blocked by administrator;Ваша сессия закрыта администратором банка;Ваша сесія припинена адміністратором банку;errorpage419_title;W
All events selected;Все события выбраны;Всі події обрані;events_allselected;W
New manager;Регистрация нового менеджера;Реєстрація нового менеджера;managers_add;W
Demand Detail;Детали заявления;Деталі заяви;demandCreate_demandDetail;W
Finish date;Заканчивая датой;Завершується датою;standing.order.to.date;W
Create new payment order;Создание Платежного поручения;Створення Платіжного доручення;paymentOrder_addNewOrder;W
Account number, the organization name, the organization BIN;№ счёта, Наименование организации, БИН организации;№ рахунку, Назва підприємства, BIN підприємства;accountNumberOrgNameOrgBin;W
Commission;Комиссия;Комісія;paymentOrder_commission;W
OTP tokens statuses;Статус OTP токенов;Статус ОТР токенов;otpTokensStatus;W
Ip address;IP адрес;IP адреса;sessions_terminalip;W
Documents;Документы;Документи;navigation_documents;W
Viewing/Editing the System module;Просмотр и редактирование Модуля системы;Перегляд і редагування Модуля системи;viewingEditingSystemModule;W
Input Template Name;Введите имя шаблона;Введіть ім'я шаблону;Payment_action_inputTemplateName;W
Security tooltips;Советы по безопасности;Поради з безпеки;login_tips;W
Current phone;Текущий телефон;Поточний телефон;personal_currentPhone;W
Budget payment code description;Описание КБК;Опис КБК;paymentOrder_budgetCodeDescription;W
Maximum incorrect passwords count;Максимальное количество неправильных паролей;Максимальна кількість невірних паролів;customeruser_maxIncorrectPasswordCount;W
Validity of the account;Срок действия счета;Строк дії рахунку;accountValidity;W
New user;Новый пользователь;Новий користувач;customerUser_add;W
Amount;Сумма;Сума;paymentOrder_amount;W
Deposit products types;Виды депозитных продуктов;Види депозитних продуктів;depositProductTypes;W
Viewing card blocking/unblocking history;Просмотр истории блокировок/разблокировок карты;Перегляд історії блокувань / розблокувань карти;viewHistoryCardLockUnlock;W
Re-issuance certificate requests;Запросы на перевыпуск сертификатов;Запит на перевипуск сертифікатів;certificationRequests;W
Сlient editable;Настраивается клиентом;Налаштовується клієнтом;notificationtype_iseditablebyclient;W
Rate;Курс;Курс;accTransfer_rate;W
Course scale;Масштаб курса;Масштаю курсу;exchangeRates_courseScale;W
Are you sure you want to delete the Deposit product type №;Вы действительно хотите удалить Вид депозитных продуктов №;Ви дійсно бажаєте видалити Вид депозитних продуктів №;sureYouWantDeleteDepositProductType;W
Fees types;Типы комиссий;Типи комісій;feesTypes;W
Provileges;Привилегии;Привілеї;roles_privileges;W
Payers tax code;ИИН/БИН плательщика;ІПН/БІН платника;domTransfer_payerTaxCode;W
KBE:;КБЕ:;КБЕ:;KBE;W
Login up to;Вход до;Вхід до;companyperson_validto;W
National name;Национальное название;Назва українською;district_name;W
No exchange rate;Курс валют отсутствует;Курс валют відсутній;paymentOrder_exchangeRateEmpty;W
Amount;Сумма;Сума;notification_amount;W
Incorrect password;Неверный пароль;Невірний пароль;personal_incorrectPass;W
Name;Наименование;Назва;global_settings.constants.table.col.name;W
Dictionaries;Справочники;Довідники;navigation_handbooks;W
Budget payment code;КБК;КБК;paymentOrder_budgetCode;W
Direction;Направление;Напрям;direction;W
Withdraw number;№ отзыва;№ відклику;withdraw_num;W
Create signature rule;Создать правило для подписи;Створити правило для підпису;signingrules_add;W
Payer bank's BIK;БИК Банка Плательщика;BIC банку Платника;transferRequisites_payerBankCode;W
The City with the same code already exists;Город с таким кодом уже существует;Місто з таким кодом вже існує;cityWithSameCodeAlreadyExists;W
Order;Порядок;Порядок;signingrules_order;W
Branch;Подразделение;Підрозділ;manager_subdivision;W
Document date;Дата документа;Дата документу;withdraw_doc_date;W
Organization TaxCode;ИИН Организации;ЄДРПОУ організації;common_orgTaxCode;W
Auth factors;Факторы авторизации;Фактори авторизації;companyPersonEdit_authtabTitle;W
International transfer;Международный перевод валюты;Міжнародний перевод валюти;intTransfer_title;W
ИИН/БИН отправителя;ИИН/БИН отправителя;ІПН/БІН відправника;invoice.payer.bin;W
Templates;Шаблоны;Шаблони;common_Templates;W
Enter the password for the key store;Введите пароль для хранилища ключей;Введіть пароль для сховища ключів;docSigning_inputProfilePassword;W
Current balance;Текущий остаток;Поточний залишок;currentBalance;W
Constant groups;Группы констант;Групи констант;navigation_group_constants;W
Balance of remuneration in the currency of the loan;Остаток вознаграждения в валюте займа;Залишок винагороди в валюті займу;balanceRemunerationCurrencyLoan;W
Blocked;Блокирован;Заблокований;signingrules_notactive;W
The three-symbol code;Трехсимвольный код;Трьохсимвольний код;threeSymbolCode;W
Accounts types;Виды счетов;Види рахунків;accountTypes;W
Short name;Сокращенное название;Скорочена назва;shortName;W
Updating district;Изменение области;Зміна області;districts_update;W
Customize accepted currency;Настроить принимаемые валюты;Налаштувати валюти до прийому;customizeAcceptedCurrency;W
This field should not exceed 255 characters!;Это поле не должно превышать 255 символа!;Це поле не може перевищувати 255 символів!;noMore255Symbols;W
Receiver's bank;Банк получателя;Банк отримувача;receiversBank;W
Values;Массив значений;Масив значень;global_settings.constants.values;W
Exist field with wrong data, save unavailable;Есть неправильно заполненные поля, сохранение выполнено не будет;Є невірно заповнені поля, збереження введених даних неможливе;createDemandType_saveMassage;W
Error Code;Код ошибки;Код помилки;jobs.errorCode;W
Passwords do not match;Пароли не совпадают;Паролі не співпадають;customeruser_passwordsnotequals;W
Operations with ATMs/Branches/Terminals;Действия;Дія;operationsWithAtmsBranchesTerminals;W
An import date;Дата импорта;Дата імпорту;importDate;W
User id;ИД пользователя;ID користувача;events_executorId;W
This field can have no more than 255 characters;Это поле не должно превышать 255 символов!;Це поле не може перевищувати 255 символів!;common_field_max255chars;W
Get from handbook;Заполнить из справочника;Заповнити з довідника;paymentOrder_getFromHandbook;W
National payments;Платежные поручения в национальной валюте;Платіжні доручення в національній валюті;domTransfer_nationalPayments;W
All calendars are selected;Все календари выбраны;Вмі календарі обрані;allCalendarsAreSelected;W
Working documents;Документы в работу;Документи в роботі;navigation_workingDocs;W
Type;Тип;Тип;withdraw_doc_type;W
Payment details;Детали платежа;Деталі платежу;paymentOrder_paymentDetail;W
Should not be 0;0 недопустимо;0 неприпустимо;common_greaterThanZero;W
View payroll;Просмотр Зарплатного отчисления;Перегляд зарплатного відрахування;paymentOrder_viewPayroll;W
Constants;Константы;Константи;navigation_constants;W
Pension requisites;Реквизиты - Пенсионные отчисления;Реквізити - Пенсійні зарахування;transferRequisites_pensionRequisites;W
Blocked amounts;Заблокированые суммы;Заблоковані суми;blockedAmounts;W
Exchange rate;Курс сделки;Курс угоди;paymentOrder_exchangeRate;W
Add New Social Template;Создание Шаблона Социального отчисления;Створення Шаблону Соціального відрахування;paymentOrder_addNewSocialTemplate;W
Message template;Шаблон сообщения;Шаблон повідомлення;notification_template;W
Contract number;Номер договора;Номер договору;contractNumber;W
Districts;Области;Області;district_districts;W
Money sender code/beneficiary code (CODE/KBE);Код отправителя денег/Код бенефициара(КОД/КБЕ);Код відправника коштів/Код бенефеціара(КОБ/КБЕ);senderCode;W
Status;Состояние документа;Стан документу;withdraw_doc_status;W
Clear settings;Сброс настроек;Скидання налаштувань;clear_settings;W
Card currency;Валюта карты;Валюта карти;cardCurrency;W
Accounts;Счета;Рахунки;signingrules_accounts;W
Arrested sum;Арестованная сумма;Заарештована сума;common_arrestedSum;W
OTP tokens;ОТП токены;ОТП токени;otpTokens;W
Receiver;Получатель;Отримувач;domTransfer_receiver;W
Server time for sync;Время сервера для синхронизации;Час серверу для синхронізації;serverTimeForSync;W
Contract number;№ контракта;№ контракту;common_contractNumber;W
Create new client;Создать нового клиента;Створити нового клієнта;organizationsCreate_create;W
Managers roles;Роли менеджеров;Ролі менеджерів;navigation_managersroles;W
Cards;Карты;Карти;cards;W
Main;Главная;Головна;common_main;W
Card products types;Виды карточных продуктов;Види карткових продуктів;cardProductTypes;W
Add;Добавить;Додати ;common_add;W
Debit currency;Валюта списания;Валюта списання;accTransfer_debitCurrency;W
Payment from account;Платеж со счета;Платіж з рахунку;actions_paymentFromAccount;W
Amount in account currency;Сумма в валюте счёта;Сума транзакції;amountInAccountCurrency;W
Loan payment;Платеж по кредиту;Платіж за кредитом;actions_loanPayment;W
Amount;Сумма;Сума;domTransfer_amountKZT;W
Channel;Канал;Канал;sessions_channel;W
Deposits;Депозиты;Депозити;navigation_deposits;W
Bank branch;Филиал банка;Філія банку;bankBranch;W
start;начало;початок;start;W
Document Type;Тип Документа;Тип документу;DocumentType;W
View and edit user;Просмотр и редактирование данных пользователя;Перегляд і редагування даних користувача;customeruser_editor_title;W
Available limit;Доступный лимит;Доступний ліміт;availableLimit;W
View social contribution;Просмотр Социального отчисления;Перегляд Соціального відрахування;paymentOrder_viewSocialContribution;W
End of action;Конец действия;Кінець дії;exchangeRates_end;W
Is multilanguage;Мультиязычная?;Мультимовна?;global_settings.constants.table.col.multi_lang;W
Incorrect input;Данные введены некорректно;Дані введено некоректно;common_incorrectSymbol;W
Published;Опубликовано;Опубліковано;demandType_public;W
Populated Locality;Населённый пункт;Населений пункт;banks_populatedLocality;W
Account closing date;Дата закрытия счёта;Дата закриття рахунку;account_closingDate;W
National bank BIK;БИК банка национальный;BIC банку національний;banks_bikBankNat;W
Error Message;Сообщение об ошибке;Повідомлення про помилку;jobs.errorMessage;W
Clear notification settings;Удалить настройки уведомлений;Видалити налаштування повідомлень;clear_notification_settings;W
operatingSystem;Операционная система;Операційна система;events_operatingSystem;W
The amount of the loan agreement in the currency of the loan;Сумма кредитного договора в валюте займа;сума кредитного договору в валюті займу;amountAgreementCurrencyLoan;W
Rows per page;Записей на странице;Записів на сторінці;grid_rowsperpage;W
Payment;Платеж;Платіж;payment;W
Date to;Период до;Період до;invoice_date_to;W
rate from;Курс исполнения с;Курс виконання з;accTransfer_rateFrom;W
Limit name;Название лимита;Назва ліміту;limit_name;W
Request for re-issuance of card;Заявка на перевыпуск карты;Заявка на перевипуск карти;reIssuanceCardRequest;W
Auto Filling;Автозаполнение реквизитов;Автозаповнення реквізитів;AutoFilling;W
Код Отправителя;Код Отправителя;Код відправника;refunds.sender.kod;W
;1 событие выбрано;1 подію обрано;events_1selected;W
ID;ИД;ID;currency_currencyid;W
class name;Название класса;Назва класу;jobs.class_name;W
Create demand type;Создать тип заявления;Створити тип заяви;create_demand_type;W
Amount from;Сумма от;Сума від;invoice_amount_from;W
Device category;Категория устройства;Категорія пристрою;events_deviceCategory;W
Blocked sum;Сумма в блоке;Сума в блоці;common_blockedSum;W
Creating a Letter type;Создание Типа письма;Створення типу листа;creatingLetterType;W
Clear all settings;Удалить все настройки;Видалити всі налаштування;clear_all_settings;W
A credit status;Статус кредита;Статус кредита;creditStatus;W
New card;Новая карта;Нова карта;applyForNewCard;W
Shipping requisites;Отправка реквизитов;Відправка реквізитів;common_shippingRequisites;W
Value date;Дата валютирования;Дата валютування;paymentOrder_valueDate;W
Close the account;Закрыть счёт;Закрити рахунки;actions_closeAccount;W
Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;Щоб увійти в систему, натисніть;errorpage420_message;W
Category Change;Изменить категорию;Змінити категорію;CodeCategory_Change;W
Save the day;Сохранить день;Зберегти день;saveDay;W
Information;Информация;Інформація;common_information;W
Import;Импортировать;Імпортувати;common.import;W
Invoices;Выставленные мне счета;Виставлені мені рахунки;invoice_name;W
Period;Период;Період;paymentOrder_period;W
Active;Включено;Включено;notification_active;W
Viewing and editing the Channel;Просмотр и редактирование канала;Перегляд і редагування канала;viewingEditingChannel;W
Create a new Deposit product type;Создать новый Вид депозитных продуктов;Створити новий Вид депозитних продуктів;createNewDepositProductType;W
Are you sure you want to delete the System module №;Вы действительно хотите удалить Модуль системы №;Ви дійсно бажаєте видалити Модуль системи №;sureYouWantDeleteSystemModule;W
Multicasting;Массовая рассылка;Масова розсилка;multicasting_packEditTitle;W
Manager;Менеджер;Менеджер;managers_user;W
events selected;событий выбрано;Подій обрано;events_X5selected;W
Last name;Фамилия;Прізвище;customeruser_lastName;W
Cards;Карты;Карти;navigation_corporatecards;W
New deposit;Новый депозит;Новий депозит;applyForNewDeposit;W
New;Новый;Новий;common_new;W
All;Все;Всі;common_all;W
Credit details;Детали кредита;Деталі кредиту;creditDetails;W
Are you sure you want to delete the Letter type;Вы действительно хотите удалить Тип письма;Ви дійсно бажаєте видалити Тип письма;sureYouWantDeleteLetterType;W
Card details;Детали карты;Деталі карти;cardDetails;W
Organization BIN;БИН организации;БІН організації;withdraw_org_bin;W
Document number;Номер;Номер;paymentOrder_documentNumber;W
Delete;Удалить;Видалити;common_delete;W
Deactivate;Деактивировать;Заблокувати;common_deactivate;W
Activate;Активировать;Активувати;common_activate;W
Code;Код;Код;role_code;W
Available;Доступно;Доступно;is_available;W
Ask period;Задать период;Задати період;standing_order_interval;W
Wrong format;Неверный формат;Невірний формат;invalidFormat;W
Approve;Утвердить;Затвердити;approve;W
"Can't sign the document! Possible password incorrect.";Не удалось подписать документ! Возможно, пароль введен неправильно.;Не вдалось підписати документ! Можливо, пароль введено невірно;docSigning_signErr;W
ABS id;Идентификатор в АБС;Ідентифікатор в АБС;manager_externalId;W
Clear all;Очистить все;Очистити все;common_allItems;W
International full name;Международное наименование;Міжнародне найменування;common_intFullName;W
demand checked;заявление выбрано;Заяву обрано;demand_demandChecked;W
Creating a Card unblocking reason;Создание Причины разблокировки карты;Створення причини розблокування карти;creatingCardUnblockreason;W
International address. District;Международный адрес. Область;Міжнародна адреса. Область;common_addressIntDistrict;W
New signature rule;Создание правила для подписи;Створення правилу для підпису;signingrules_new_title;W
Temporary blocking;Временная блокировка;Тимчасове блокування ;temporaryBlockage;W
To use all the features of Internet banking, click "Login".;Чтобы воспользоваться всеми функциями интернет-банкинга, нажмите "Вход".;Щоб скористатись усіма функціями інтернет-банкінгу, натисніть "Вхід";loginToUse;W
Social contribution;Социальное отчисление;Соціальне відрахування;domTransfer_socialContribution;W
Request;Содержание запроса;Зміст запиту;requests_request;W
Creating a ATM/Branch/Terminal;Создание Банкомата/отделения/терминала;Створення банкомату / відділення / терміналу;creatingAtmBranchesTerminals;W
Update client;Изменение клиента;Зміна клієнта;organizationsCreate_update;W
Viewing/Editing the Document type;Просмотр и редактирование Типа документа;Перегляд і редагування Типу документу;viewingEditingDocType;W
Not pair passwords;Пароли не совпадают;Паролі не співпадають;personal_notPairPass;W
Edit an exchange rate type;Изменить тип курса валют;Змінити тип курсу валют;editExchangeRateType;W
Card lock reason;Причина блокировки карты;Причини блокування карти;cardBlockingReason;W
Calendar management;Управление календарём;Управління календарем;calendarManagement;W
Day off;Выходной день;Вихідний день;DayResource.DayOff;W
Close;Закрыть;Закрити;common_close;W
Requisites;Реквизиты;Реквізити;withdraw_requisites;W
Account;Счет;Рахунок;transferRequisites_recipientAccount;W
Cards type with this code already exists;Вид карт с таким кодом уже существует;Вид карт з таким кодом вже існує;suchCardTypeAlreadyExist;W
Address (Agent bank);Адрес (Банка Посредника);Адреса (Банку - Посередника);intTransfer_agentBankAddress;W
Events types;Тип событий;Тип подій;eventsType;W
Job group;Группа типов задач для запуска по расписанию;Група типів задач для запуску за розкладом;navigation_jobsGroup;W
Accounts statuses;Статусы счетов;Статуси рахунків;accountStatuses;W
Type;Тип;Тип;common_type;W
Letter subject;Тема письма;Тема листа;letterSubject;W
Post zip;Почтовый индекс;Поштовий індекс;common_zip;W
Blocking;Блокировка;Блокування;blocking;W
Requests log;Журнал запросов;Журнал запитів;navigation_requests;W
New user;Регистрация нового пользователя;Реєстрація нового користувача;customeruser_new_title;W
Online chat;Онлайн-чат;Онлайн-чат;onlineChat;W
Term;Срок;Строк;term;W
Country;Страна;Країна;district_countryFullName;W
Error In Save Data;Произошла ошибка при сохранении данных;Виникла помилка при збереженні даних;common_ErrorInSaveData;W
Manager roles;Роли менеджеров;Ролі менеджерів;managerroles_title;W
IIN;ИИН;ІПН;common_iin;W
Creating a budget classification code (BCC);Создание кода бюджетной классификации(КБК);Створення кода бюджетної класифікації (КБК);kbkCreating;W
Edit filter;Настройки фильтра;Налаштування фільтру;common_editFilter;W
Today;За сегодня;За сьогодні;common_today;W
Revoke;Отозвать;Відкликати;personal_revoke;W
Назначение платежа;Назначение платежа;Призначення платежу;paymentOrder_purpose;W
Enter SMS password;Укажите СМС пароль;Вкажіть смс-пароль;login_enter_sms_password;W
Demand Type;Тип заявления;Тип заяви;demandCreate_demandType;W
Privileges;Привилегии;Привілеї;rolePermissions_title;W
Login;Вход;Вхід;login_enter;W
Day update error;Ошибка при обновления дня;Помилка при оновленні дня;dayUpdateError;W
Delete;Удалить;Видалити;common.remove;W
calendars selected;календаря выбрано;Календар обрано;calSelected;W
Week;За неделю;За тиждень;common_week;W
Наименование Отправителя;Наименование Отправителя;Назва Відправника;refunds.sender.name;W
Bank dictionaries;Банковские справочники;Банківські довідники;bankHandbooks;W
Sending notifications channels;Каналы отправки;Канали відправки;sendingNotificationsChannels;W
Country code (Agent bank);Код страны (Банка Посредника);Код країни (Банку Посередника);intTransfer_agentBankCountryCode;W
EGRPOU;ЕГРПОУ;ЄДРПОУ;paymentOrder_payerCode;W
Reply;Ответить;Відповісти;reply;W
Recipient detail;Получатель;Отримувач;paymentOrder_recipientDetail;W
This field must have at least 6 digits!;Это поле должно содержать 6 цифр!;Це поле має містити 6 цифр!;common_field_atleast6digits;W
users selected;пользователей выбрано;користувачів обрано;customeruser_X5selected;W
The currency;Валюта;Валюта;exchangeRates_currency;W
Wrong pair;Неправильная пара;Невірна пара;exchangeRates_wrongPair;W
Category name;Имя категории;Ім'я категорії;CodeCategory_name;W
Valid from;Действует с;Діє з;authfactor_from;W
Open filter;Открыть фильтр;Відкрити фільтр;requests_openfiler;W
Fee type;Тип комиссии;Тип комісії;intTransfer_feeType;W
Ordering details:;Отправитель;Відправник;senderDetailsBlock;W
I confirm that this payment/money transfer is not related to the financing of terrorist or extremist activities and otherwise supporting terrorism or extremism.;Подтверждаю, что данный платеж и (или) перевод денег не связан с финансированием террористической или экстремистской деятельности и иным пособничеством терроризму либо экстремизму.;Підтверджую, що даний платіж та (або) перевод коштів не пов'язаний з фінансуванням терористичної або екстреміської діяльності та іншого сприяння тероризму або екстремизму.;intTransfer_isNotLinkTerrorism;W
Document history;История документа;Історія документу;documentHistory_documentHistory;W
Create a new bank;Создать новый банк;Створити новий банк;createNewBank;W
Card product type;Вид карточного продукта;Вид карточного продукту;cardProductType;W
Date;Дата;Дата;common_date;W
Identificator;Идентификатор;Ідентифікатор;common_id2;W
Export to Excel;Экспорт в Excel;Експорт в Excel;CodeCategory_exportToExcel;W
Working time: from;Рабочее время: с;Робочий час: з;workingTimeFrom;W
Operations;Действия;Дія;common_documentOperations;W
Agent bank cor. account;Кор. счет Банка Посредника;Кор.рахунок Банку Посередника;intTransfer_agentBankAccount;W
Type;Тип константы;Тип константи;global_settings.constants.table.col.type;W
Export;Экспорт;Екпорт;common_export;W
I confirm that this payment/money transfer is not related to any foreign currency transaction which requires registration certificate, notification certificate or contract registration number.;Подтверждаю, что данный платеж и (или) перевод денег не связан с осуществлением физическим лицом валютной операции, требующей получения регистрационного свидетельства, свидетельства об уведомлении, учетного номера контракта.;Підтверджую, що даний платіжта (або) перевод грошей не пов'язаний зі здійсненням фізичною особою валютної операції, яка вимагає отримання реєстраційного свідоцтва, свідоцтва про повідомлення, реєстраційного номеру контракту;intTransfer_confirmation;W
Status;Статус;Статус;signingrules_status;W
Delete Current Row;Удалить текущее поле;Видалити поточне поле;demandType_deleteCurrentRow;W
create Key For Translate;Ключ для перевода;Ключ для переводу;demandType_createKeyForTranslate;W
Cancel;Отмена;Відміна;common_cancel;W
Role;Роль;Роль;manager_role;W
Currency;Валюта;Валюта;signingrules_currency;W
View / Edit;Просмотр/Изменение;Перегляд / Зміна;common_viewEdit;W
Tax Code;БИН;БІН;common_TaxCode;W
