en;ru;uk;translation_key;output_channel
Document Type;Тип документа;Тип документа;createDemandType_documentType;W
Bank details - Pension, social contributionsv;Реквизиты - Пенсионные, социальные отчисления;Реквизиты - Пенсионные, социальные отчисления;detailsPensionSocialContributions;W
CSC with this code already exists;КБК с таким кодом уже существует;КБК с таким кодом уже существует;kbkCodeAlreadyExists;W
Credit state;Состояние кредита;Состояние кредита;creditState;W
Loan currency;Валюта займа;Валюта займа;loanCurrency;W
Receiver;Получатель;Получатель;invoice_receiver;W
A current calendar loading error. Please reload the page or try again later;Ошибка загрузки текущего календаря. Перезагрузите страницу или попробуйте позже;Ошибка загрузки текущего календаря. Перезагрузите страницу или попробуйте позже;currentCalendarLoadingErrorReload;W
Done;Выполнен;Выполнен;common_done;W
International post address;Международный почтовый адрес;Международный почтовый адрес;intPostAddress;W
Create a new reason for the card block;Создать новую Причину блокировки карты;Создать новую Причину блокировки карты;createCardBlockReason;W
Default organization;Организация по умолчанию;Организация по умолчанию;personal_default_org;W
This field should not exceed 128 characters!;Это поле не должно превышать 128 символа!;Это поле не должно превышать 128 символа!;noMore128Symbols;W
Jobs Type;Типы работ;Типы работ;navigation_jobsType;W
view Edit Order Template;Просмотр / Редактирование Шаблона Платежного поручения;Просмотр / Редактирование Шаблона Платежного поручения;paymentOrder_viewEditTemplate;W
Cancel selection;Отменить выделение;Отменить выделение;grid_cancelselection;W
Error loading currency. Refresh the page or try again later;Ошибка загрузки текущей валюты. Перезагрузите страницу или попробуйте позже;Ошибка загрузки текущей валюты. Перезагрузите страницу или попробуйте позже;currency_error3;W
Error creating currency. Refresh the page or try again later;Ошибка создания валюты. Перезагрузите страницу или попробуйте позже;Ошибка создания валюты. Перезагрузите страницу или попробуйте позже;currency_error2;W
Error updating currency. Refresh the page or try again later;Ошибка обновления валюты. Перезагрузите страницу или попробуйте позже;Ошибка обновления валюты. Перезагрузите страницу или попробуйте позже;currency_error1;W
Any;Не важен;Не важен;signingrules_withoutorder;W
The code must not exceed 6 digits;Код не должен превышать 6-х цифр;Код не должен превышать 6-х цифр;noMore6Digits;W
The System module with this code already exists;Модуль системы с таким кодом уже существует;Модуль системы с таким кодом уже существует;systemModuleWithSameCodeAlreadyExists;W
Multicasting packages;Массовая рассылка;Массовая рассылка;multicasting_packTitle;W
Add New Pension Template;Создание Шаблона Пенчионного отчисления;Создание Шаблона Пенчионного отчисления;paymentOrder_addNewPensionTemplate;W
Subject user name;Ф.И.О. измененного пользователя;Ф.И.О. измененного пользователя;events_subjectname;W
Payers account;Счет плательщика;Счет плательщика;domTransfer_payerAccount;W
Customize issued currency;Настроить выдаваемые валюты;Настроить выдаваемые валюты;customizeIssuedCurrency;W
Fee currency;Валюта счета взимания комиссии;Валюта счета взимания комиссии;intTransfer_feeCurrency;W
Status published : false;Статус публикации: не опубликовано;Статус публикации: не опубликовано;createDemandType_statusPublishedFalse;W
Current email;Текущий email;Текущий email;personal_currentEmail;W
Events history;История действия;История действия;events_title;W
Chapter;Раздел;Раздел;page_menudetailstitle;W
Status;Статус;Статус;common_status;W
Viewing/Editing the Card product type;Просмотр и редактирование Вида карточных продуктов;Просмотр и редактирование Вида карточных продуктов;viewingEditingCardProductType;W
Name;Наименование;Наименование;paymentOrder_recipientName;W
Filter settings;Настройки фильтра счетов;Настройки фильтра счетов;demandType_filterSettings;W
Block requisites: document;Block requisites: document;Блок реквизитов: Документа;documentBlock;W
Privileges;Привилегии;Привилегии;companyPersonEdit_privilegestabTitle;W
Organization's managers;Менеджеры организации;Менеджеры организации;common_managers;W
Create employee;Создать сотрудника;Создать сотрудника;employee_createEmployee;W
Organization;Организация;Организация;common_organization;W
Masage From Bank;Сообщение из банка;Сообщение из банка;common_MasageFromBank;W
Viewing/Editing the Letter type;Просмотр и редактирование Типа письма;Просмотр и редактирование Типа письма;viewingEditingLetterType;W
Сумма возврата;Сумма возврата;Сумма возврата;refunds.amount;W
Incorrect passwords count;Количество неправильных паролей;Количество неправильных паролей;customeruser_incorrectPasswordCount;W
Etit Job;Редактирование задачи;Редактирование задачи;jobs.edit_job.title;W
Document Date;Дата создания документа;Дата создания документа;common_documentDate;W
First name;Имя;Имя;customeruser_firstName;W
Deposit account;Счет депозита;Счет депозита;depositAccount;W
Reject;Отказать;Отказать;action_reject;W
Payment order;Платежное поручение;Платежное поручение;domTransfer_paymentOrder;W
Respnse;Содержание ответа;Содержание ответа;requests_response;W
Account;Счет;Счет;senderAccount;W
Account balance;Остаток на счете;Остаток на счете;paymentOrder_accountBalanceKZT;W
Demand Category;Категории заявлений;Категории заявлений;CodeCategory_labelReference;W
Payer;Плательшик;Плательшик;invoice_payer;W
Receiver's BIN;БИН получателя;БИН получателя;receiversBIN;W
Notifications type;Тип уведомлений;Тип уведомлений;alertsType;W
debit amount to;Сумма списания по;Сумма списания по;accTransfer_debitAmountTo;W
Status;Статус;Статус;customeruser_status;W
Document status;Статус документа;Статус документа;common_docStatus;W
Receivers name;Имя получателя;Имя получателя;domTransfer_receiverName;W
Blocked amount details;Детали заблокированой суммы;Детали заблокированой суммы;blockedAmountDetails;W
Calendar creating error. Is it a duplicate?;Ошибка при создании календаря. Возможно это дубликат?;Ошибка при создании календаря. Возможно это дубликат?;savingCalendarError;W
field type;тип поля;тип поля;field_type;W
id;ид;ид;CodeCategory_id;W
Add account;Добавить счет;Добавить счет;signingrules_addAccount;W
Creaition date;Дата создания;Дата создания;news_createDate;W
Amount;Сумма;Сумма;invoice_amount;W
Exchange rates;Курсы валют;Курсы валют;navigation_handbookExchangeRates;W
Manager action;Действие менеджера;Действие менеджера;events_manageraction;W
Jobs List;Список работ;Список работ;jobs.List;W
Name;Наименование получателя;Наименование получателя;transferRequisites_recipientName;W
VAT KZT;НДС сумма KZT;НДС сумма KZT;paymentOrder_vatKZT;W
Session was blocked by administrator;Ваша сессия закрыта администратором банка;Ваша сессия закрыта администратором банка;errorpage419_title;W
All events selected;Все события выбраны;Все события выбраны;events_allselected;W
New manager;Регистрация нового менеджера;Регистрация нового менеджера;managers_add;W
Demand Detail;Детали заявления;Детали заявления;demandCreate_demandDetail;W
Finish date;Заканчивая датой;Заканчивая датой;standing.order.to.date;W
Create new payment order;Создание Платежного поручения;Создание Платежного поручения;paymentOrder_addNewOrder;W
Account number, the organization name, the organization BIN;№ счёта, Наименование организации, БИН организации;№ счёта, Наименование организации, БИН организации;accountNumberOrgNameOrgBin;W
Commission;Комиссия;Комиссия;paymentOrder_commission;W
OTP tokens statuses;Статус OTP токенов;Статус OTP токенов;otpTokensStatus;W
Ip address;IP адрес;IP адрес;sessions_terminalip;W
Documents;Документы;Документы;navigation_documents;W
Viewing/Editing the System module;Просмотр и редактирование Модуля системы;Просмотр и редактирование Модуля системы;viewingEditingSystemModule;W
Input Template Name;Введите имя шаблона;Введите имя шаблона;Payment_action_inputTemplateName;W
Security tooltips;Советы по безопасности;Советы по безопасности;login_tips;W
Current phone;Текущий телефон;Текущий телефон;personal_currentPhone;W
Budget payment code description;Описание КБК;Описание КБК;paymentOrder_budgetCodeDescription;W
Maximum incorrect passwords count;Максимальное количество неправильных паролей;Максимальное количество неправильных паролей;customeruser_maxIncorrectPasswordCount;W
Validity of the account;Срок действия счета;Срок действия счета;accountValidity;W
New user;Новый пользователь;Новый пользователь;customerUser_add;W
Amount;Сумма;Сумма;paymentOrder_amount;W
Deposit products types;Виды депозитных продуктов;Виды депозитных продуктов;depositProductTypes;W
Viewing card blocking/unblocking history;Просмотр истории блокировок/разблокировок карты;Просмотр истории блокировок/разблокировок карты;viewHistoryCardLockUnlock;W
Re-issuance certificate requests;Запросы на перевыпуск сертификатов;Запросы на перевыпуск сертификатов;certificationRequests;W
Сlient editable;Настраивается клиентом;Настраивается клиентом;notificationtype_iseditablebyclient;W
Rate;Курс;Курс;accTransfer_rate;W
Course scale;Масштаб курса;Масштаб курса;exchangeRates_courseScale;W
Are you sure you want to delete the Deposit product type №;Вы действительно хотите удалить Вид депозитных продуктов №;Вы действительно хотите удалить Вид депозитных продуктов №;sureYouWantDeleteDepositProductType;W
Fees types;Типы комиссий;Типы комиссий;feesTypes;W
Provileges;Привилегии;Привилегии;roles_privileges;W
Payers tax code;ИИН/БИН плательщика;ИИН/БИН плательщика;domTransfer_payerTaxCode;W
KBE:;КБЕ:;КБЕ:;KBE;W
Login up to;Вход до;Вход до;companyperson_validto;W
National name;Национальное название;Национальное название;district_name;W
No exchange rate;Курс валют отсутствует;Курс валют отсутствует;paymentOrder_exchangeRateEmpty;W
Amount;Сумма;Сумма;notification_amount;W
Incorrect password;Неверный пароль;Неверный пароль;personal_incorrectPass;W
Name;Наименование;Наименование;global_settings.constants.table.col.name;W
Dictionaries;Справочники;Справочники;navigation_handbooks;W
Budget payment code;КБК;КБК;paymentOrder_budgetCode;W
Direction;Направление;Направление;direction;W
Withdraw number;№ отзыва;№ отзыва;withdraw_num;W
Create signature rule;Создать правило для подписи;Создать правило для подписи;signingrules_add;W
Payer bank's BIK;БИК Банка Плательщика;БИК Банка Плательщика;transferRequisites_payerBankCode;W
The City with the same code already exists;Город с таким кодом уже существует;Город с таким кодом уже существует;cityWithSameCodeAlreadyExists;W
Order;Порядок;Порядок;signingrules_order;W
Branch;Подразделение;Подразделение;manager_subdivision;W
Document date;Дата документа;Дата документа;withdraw_doc_date;W
Organization TaxCode;ИИН Организации;ИИН Организации;common_orgTaxCode;W
Auth factors;Факторы авторизации;Факторы авторизации;companyPersonEdit_authtabTitle;W
International transfer;Международный перевод валюты;Международный перевод валюты;intTransfer_title;W
ИИН/БИН отправителя;ИИН/БИН отправителя;ИИН/БИН отправителя;invoice.payer.bin;W
Templates;Шаблоны;Шаблоны;common_Templates;W
Enter the password for the key store;Введите пароль для хранилища ключей;Введите пароль для хранилища ключей;docSigning_inputProfilePassword;W
Current balance;Текущий остаток;Текущий остаток;currentBalance;W
Constant groups;Группы констант;Группы констант;navigation_group_constants;W
Balance of remuneration in the currency of the loan;Остаток вознаграждения в валюте займа;Остаток вознаграждения в валюте займа;balanceRemunerationCurrencyLoan;W
Blocked;Блокирован;Блокирован;signingrules_notactive;W
The three-symbol code;Трехсимвольный код;Трехсимвольный код;threeSymbolCode;W
Accounts types;Виды счетов;Виды счетов;accountTypes;W
Short name;Сокращенное название;Сокращенное название;shortName;W
Updating district;Изменение области;Изменение области;districts_update;W
Customize accepted currency;Настроить принимаемые валюты;Настроить принимаемые валюты;customizeAcceptedCurrency;W
This field should not exceed 255 characters!;Это поле не должно превышать 255 символа!;Это поле не должно превышать 255 символа!;noMore255Symbols;W
Receiver's bank;Банк получателя;Банк получателя;receiversBank;W
Values;Массив значений;Массив значений;global_settings.constants.values;W
Exist field with wrong data, save unavailable;Есть неправильно заполненные поля, сохранение выполнено не будет;Есть неправильно заполненные поля, сохранение выполнено не будет;createDemandType_saveMassage;W
Error Code;Код ошибки;Код ошибки;jobs.errorCode;W
Passwords do not match;Пароли не совпадают;Құпиясөздер сәйкеспейді;customeruser_passwordsnotequals;W
Operations with ATMs/Branches/Terminals;Действия;Действия;operationsWithAtmsBranchesTerminals;W
An import date;Дата импорта;Дата импорта;importDate;W
User id;ИД пользователя;ИД пользователя;events_executorId;W
This field can have no more than 255 characters;Это поле не должно превышать 255 символов!;Это поле не должно превышать 255 символов!;common_field_max255chars;W
Get from handbook;Заполнить из справочника;Заполнить из справочника;paymentOrder_getFromHandbook;W
National payments;Платежные поручения в национальной валюте;Платежные поручения в национальной валюте;domTransfer_nationalPayments;W
All calendars are selected;Все календари выбраны;Все календари выбраны;allCalendarsAreSelected;W
Working documents;Документы в работу;Документы в работу;navigation_workingDocs;W
Type;Тип;Тип;withdraw_doc_type;W
Payment details;Детали платежа;Детали платежа;paymentOrder_paymentDetail;W
Should not be 0;0 недопустимо;0 недопустимо;common_greaterThanZero;W
View payroll;Просмотр Зарплатного отчисления;Просмотр Зарплатного отчисления;paymentOrder_viewPayroll;W
Constants;Константы;Константы;navigation_constants;W
Pension requisites;Реквизиты - Пенсионные отчисления;Реквизиты - Пенсионные отчисления;transferRequisites_pensionRequisites;W
Blocked amounts;Заблокированые суммы;Заблокированые суммы;blockedAmounts;W
Exchange rate;Курс сделки;Курс сделки;paymentOrder_exchangeRate;W
Add New Social Template;Создание Шаблона Социального отчисления;Создание Шаблона Социального отчисления;paymentOrder_addNewSocialTemplate;W
Message template;Шаблон сообщения;Шаблон сообщения;notification_template;W
Contract number;Номер договора;Номер договора;contractNumber;W
Districts;Области;Области;district_districts;W
Money sender code/beneficiary code (CODE/KBE);Код отправителя денег/Код бенефициара(КОД/КБЕ);Код отправителя денег/Код бенефициара(КОД/КБЕ);senderCode;W
Status;Состояние документа;Состояние документа;withdraw_doc_status;W
Clear settings;Сброс настроек;Сброс настроек;clear_settings;W
Card currency;Валюта карты;Валюта карты;cardCurrency;W
Accounts;Счета;Счета;signingrules_accounts;W
Arrested sum;Арестованная сумма;Арестованная сумма;common_arrestedSum;W
OTP tokens;ОТП токены;ОТП токены;otpTokens;W
Receiver;Получатель;Получатель;domTransfer_receiver;W
Server time for sync;Время сервера для синхронизации;Время сервера для синхронизации;serverTimeForSync;W
Contract number;№ контракта;№ контракта;common_contractNumber;W
Create new client;Создать нового клиента;Создать нового клиента;organizationsCreate_create;W
Managers roles;Роли менеджеров;Роли менеджеров;navigation_managersroles;W
Cards;Карты;Карты;cards;W
Main;Главная;Главная;common_main;W
Card products types;Виды карточных продуктов;Виды карточных продуктов;cardProductTypes;W
Add;Добавить;Добавить;common_add;W
Debit currency;Валюта списания;Валюта списания;accTransfer_debitCurrency;W
Payment from account;Платеж со счета;Платеж со счета;actions_paymentFromAccount;W
Amount in account currency;Сумма в валюте счёта;Сумма в валюте счёта;amountInAccountCurrency;W
Loan payment;Платеж по кредиту;Платеж по кредиту;actions_loanPayment;W
Amount;Сумма;Сумма;domTransfer_amountKZT;W
Channel;Канал;Канал;sessions_channel;W
Deposits;Депозиты;Депозиты;navigation_deposits;W
Bank branch;Филиал банка;Филиал банка;bankBranch;W
start;начало;начало;start;W
Document Type;Тип Документа;Тип Документа;DocumentType;W
View and edit user;Просмотр и редактирование данных пользователя;Просмотр и редактирование данных пользователя;customeruser_editor_title;W
Available limit;Доступный лимит;Доступный лимит;availableLimit;W
View social contribution;Просмотр Социального отчисления;Просмотр Социального отчисления;paymentOrder_viewSocialContribution;W
End of action;Конец действия;Конец действия;exchangeRates_end;W
Is multilanguage;Мультиязычная?;Мультиязычная?;global_settings.constants.table.col.multi_lang;W
Incorrect input;Данные введены некорректно;Данные введены некорректно;common_incorrectSymbol;W
Published;Опубликовано;Опубликовано;demandType_public;W
Populated Locality;Населённый пункт;Населённый пункт;banks_populatedLocality;W
Account closing date;Дата закрытия счёта;Дата закрытия счёта;account_closingDate;W
National bank BIK;БИК банка национальный;БИК банка национальный;banks_bikBankNat;W
Error Message;Сообщение об ошибке;Сообщение об ошибке;jobs.errorMessage;W
Clear notification settings;Удалить настройки уведомлений;Удалить настройки уведомлений;clear_notification_settings;W
operatingSystem;Операционная система;Операционная система;events_operatingSystem;W
The amount of the loan agreement in the currency of the loan;Сумма кредитного договора в валюте займа;Сумма кредитного договора в валюте займа;amountAgreementCurrencyLoan;W
Rows per page;Записей на странице;Записей на странице;grid_rowsperpage;W
Payment;Платеж;Платеж;payment;W
Date to;Период до;Период до;invoice_date_to;W
rate from;Курс исполнения с;Курс исполнения с;accTransfer_rateFrom;W
Limit name;Название лимита;Название лимита;limit_name;W
Request for re-issuance of card;Заявка на перевыпуск карты;Заявка на перевыпуск карты;reIssuanceCardRequest;W
Auto Filling;Автозаполнение реквизитов;Автозаполнение реквизитов;AutoFilling;W
Код Отправителя;Код Отправителя;Код Отправителя;refunds.sender.kod;W
;1 событие выбрано;1 событие выбрано;events_1selected;W
ID;ИД;ИД;currency_currencyid;W
class name;Название класса;Название класса;jobs.class_name;W
Create demand type;Создать тип заявления;Создать тип заявления;create_demand_type;W
Amount from;Сумма от;Сумма от;invoice_amount_from;W
Device category;Категория устройства;Категория устройства;events_deviceCategory;W
Blocked sum;Сумма в блоке;Сумма в блоке;common_blockedSum;W
Creating a Letter type;Создание Типа письма;Создание Типа письма;creatingLetterType;W
Clear all settings;Удалить все настройки;Удалить все настройки;clear_all_settings;W
A credit status;Статус кредита;Статус кредита;creditStatus;W
New card;Новая карта;Новая карта;applyForNewCard;W
Shipping requisites;Отправка реквизитов;Отправка реквизитов;common_shippingRequisites;W
Value date;Дата валютирования;Дата валютирования;paymentOrder_valueDate;W
Close the account;Закрыть счёт;Закрыть счёт;actions_closeAccount;W
Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;errorpage420_message;W
Category Change;Изменить категорию;Изменить категорию;CodeCategory_Change;W
Save the day;Сохранить день;Сохранить день;saveDay;W
Information;Информация;Информация;common_information;W
Import;Импортировать;Импортировать;common.import;W
Invoices;Выставленные мне счета;Выставленные мне счета;invoice_name;W
Period;Период;Период;paymentOrder_period;W
Active;Включено;Включено;notification_active;W
Viewing and editing the Channel;Просмотр и редактирование канала;Просмотр и редактирование канала;viewingEditingChannel;W
Create a new Deposit product type;Создать новый Вид депозитных продуктов;Создать новый Вид депозитных продуктов;createNewDepositProductType;W
Are you sure you want to delete the System module №;Вы действительно хотите удалить Модуль системы №;Вы действительно хотите удалить Модуль системы №;sureYouWantDeleteSystemModule;W
Multicasting;Массовая рассылка;Массовая рассылка;multicasting_packEditTitle;W
Manager;Менеджер;Менеджер;managers_user;W
events selected;событий выбрано;событий выбрано;events_X5selected;W
Last name;Фамилия;Фамилия;customeruser_lastName;W
Cards;Карты;Карты;navigation_corporatecards;W
New deposit;Новый депозит;Новый депозит;applyForNewDeposit;W
New;Новый;Новый;common_new;W
All;Все;барлық;common_all;W
Credit details;Детали кредита;Детали кредита;creditDetails;W
Are you sure you want to delete the Letter type;Вы действительно хотите удалить Тип письма;Вы действительно хотите удалить Тип письма;sureYouWantDeleteLetterType;W
Card details;Детали карты;Детали карты;cardDetails;W
Organization BIN;БИН организации;БИН организации;withdraw_org_bin;W
Document number;Номер;Номер;paymentOrder_documentNumber;W
Delete;Удалить;Удалить;common_delete;W
Deactivate;Деактивировать;Деактивировать;common_deactivate;W
Activate;Активировать;Активировать;common_activate;W
Code;Код;Код;role_code;W
Available;Доступно;қол жетімді;is_available;W
Ask period;Задать период;орнату кезеңі;standing_order_interval;W
Wrong format;Неверный формат;Неверный формат;invalidFormat;W
Approve;Утвердить;Утвердить;approve;W
"Can't sign the document! Possible password incorrect.";Не удалось подписать документ! Возможно, пароль введен неправильно.;Не удалось подписать документ! Возможно, пароль введен неправильно.;docSigning_signErr;W
ABS id;Идентификатор в АБС;Идентификатор в АБС;manager_externalId;W
Clear all;Очистить все;Барлығын тазалау;common_allItems;W
International full name;Международное наименование;Международное наименование;common_intFullName;W
demand checked;заявление выбрано;заявление выбрано;demand_demandChecked;W
Creating a Card unblocking reason;Создание Причины разблокировки карты;Создание Причины разблокировки карты;creatingCardUnblockreason;W
International address. District;Международный адрес. Область;Международный адрес. Область;common_addressIntDistrict;W
New signature rule;Создание правила для подписи;Создание правила для подписи;signingrules_new_title;W
Temporary blocking;Временная блокировка;Временная блокировка;temporaryBlockage;W
To use all the features of Internet banking, click "Login".;Чтобы воспользоваться всеми функциями интернет-банкинга, нажмите "Вход".;Чтобы воспользоваться всеми функциями интернет-банкинга, нажмите "Вход".;loginToUse;W
Social contribution;Социальное отчисление;Социальное отчисление;domTransfer_socialContribution;W
Request;Содержание запроса;Содержание запроса;requests_request;W
Creating a ATM/Branch/Terminal;Создание Банкомата/отделения/терминала;Создание Банкомата/отделения/терминала;creatingAtmBranchesTerminals;W
Update client;Изменение клиента;Изменение клиента;organizationsCreate_update;W
Viewing/Editing the Document type;Просмотр и редактирование Типа документа;Просмотр и редактирование Типа документа;viewingEditingDocType;W
Not pair passwords;Пароли не совпадают;Пароли не совпадают;personal_notPairPass;W
Edit an exchange rate type;Изменить тип курса валют;Изменить тип курса валют;editExchangeRateType;W
Card lock reason;Причина блокировки карты;Причина блокировки карты;cardBlockingReason;W
Calendar management;Управление календарём;Управление календарём;calendarManagement;W
Day off;Выходной день;Выходной день;DayResource.DayOff;W
Close;Закрыть;Закрыть;common_close;W
Requisites;Реквизиты;Реквизиты;withdraw_requisites;W
Account;Счет;Счет;transferRequisites_recipientAccount;W
Cards type with this code already exists;Вид карт с таким кодом уже существует;Вид карт с таким кодом уже существует;suchCardTypeAlreadyExist;W
Address (Agent bank);Адрес (Банка Посредника);Адрес (Банка Посредника);intTransfer_agentBankAddress;W
Events types;Тип событий;Тип событий;eventsType;W
Job group;Группа типов задач для запуска по расписанию;Группа типов задач для запуска по расписанию;navigation_jobsGroup;W
Accounts statuses;Статусы счетов;Статусы счетов;accountStatuses;W
Type;Тип;Тип;common_type;W
Letter subject;Тема письма;Тема письма;letterSubject;W
Post zip;Почтовый индекс;Почтовый индекс;common_zip;W
Blocking;Блокировка;Блокировка;blocking;W
Requests log;Журнал запросов;Журнал запросов;navigation_requests;W
New user;Регистрация нового пользователя;Регистрация нового пользователя;customeruser_new_title;W
Online chat;Онлайн-чат;Онлайн-чат;onlineChat;W
Term;Срок;Срок;term;W
Country;Страна;Страна;district_countryFullName;W
Error In Save Data;Произошла ошибка при сохранении данных;Произошла ошибка при сохранении данных;common_ErrorInSaveData;W
Manager roles;Роли менеджеров;Роли менеджеров;managerroles_title;W
IIN;ИИН;ИИН;common_iin;W
Creating a budget classification code (BCC);Создание кода бюджетной классификации(КБК);Создание кода бюджетной классификации(КБК);kbkCreating;W
Edit filter;Настройки фильтра;Настройки фильтра;common_editFilter;W
Today;За сегодня;За сегодня;common_today;W
Revoke;Отозвать;Отозвать;personal_revoke;W
Назначение платежа;Назначение платежа;Назначение платежа;paymentOrder_purpose;W
Enter SMS password;Укажите СМС пароль;Укажите СМС пароль;login_enter_sms_password;W
Demand Type;Тип заявления;Тип заявления;demandCreate_demandType;W
Privileges;Привилегии;Привилегии;rolePermissions_title;W
Login;Вход;Вход;login_enter;W
Day update error;Ошибка при обновления дня;Ошибка при обновления дня;dayUpdateError;W
Delete;Удалить;Удалить;common.remove;W
calendars selected;календаря выбрано;календаря выбрано;calSelected;W
Week;За неделю;За неделю;common_week;W
Наименование Отправителя;Наименование Отправителя;Наименование Отправителя;refunds.sender.name;W
Bank dictionaries;Банковские справочники;Банковские справочники;bankHandbooks;W
Sending notifications channels;Каналы отправки;Каналы отправки;sendingNotificationsChannels;W
Country code (Agent bank);Код страны (Банка Посредника);Код страны (Банка Посредника);intTransfer_agentBankCountryCode;W
EGRPOU;ЕГРПОУ;ЕГРПОУ;paymentOrder_payerCode;W
Reply;Ответить;Ответить;reply;W
Recipient detail;Получатель;Получатель;paymentOrder_recipientDetail;W
This field must have at least 6 digits!;Это поле должно содержать 6 цифр!;Это поле должно содержать 6 цифр!;common_field_atleast6digits;W
users selected;пользователей выбрано;пользователей выбрано;customeruser_X5selected;W
The currency;Валюта;Валюта;exchangeRates_currency;W
Wrong pair;Неправильная пара;Неправильная пара;exchangeRates_wrongPair;W
Category name;Имя категории;Имя категории;CodeCategory_name;W
Valid from;Действует с;Действует с;authfactor_from;W
Open filter;Открыть фильтр;Открыть фильтр;requests_openfiler;W
Fee type;Тип комиссии;Тип комиссии;intTransfer_feeType;W
Ordering details:;Отправитель;Отправитель:;senderDetailsBlock;W
I confirm that this payment/money transfer is not related to the financing of terrorist or extremist activities and otherwise supporting terrorism or extremism.;Подтверждаю, что данный платеж и (или) перевод денег не связан с финансированием террористической или экстремистской деятельности и иным пособничеством терроризму либо экстремизму.;Подтверждаю, что данный платеж и (или) перевод денег не связан с финансированием террористической или экстремистской деятельности и иным пособничеством терроризму либо экстремизму.;intTransfer_isNotLinkTerrorism;W
Document history;История документа;История документа;documentHistory_documentHistory;W
Create a new bank;Создать новый банк;Создать новый банк;createNewBank;W
Card product type;Вид карточного продукта;Вид карточного продукта;cardProductType;W
Date;Дата;Дата;common_date;W
Identificator;Идентификатор;Идентификатор;common_id2;W
Export to Excel;Экспорт в Excel;Экспорт в Excel;CodeCategory_exportToExcel;W
Working time: from;Рабочее время: с;Рабочее время: с;workingTimeFrom;W
Operations;Действия;Действия;common_documentOperations;W
Agent bank cor. account;Кор. счет Банка Посредника;Кор. счет Банка Посредника;intTransfer_agentBankAccount;W
Type;Тип константы;Тип константы;global_settings.constants.table.col.type;W
Export;Экспорт;Экспорт;common_export;W
I confirm that this payment/money transfer is not related to any foreign currency transaction which requires registration certificate, notification certificate or contract registration number.;Подтверждаю, что данный платеж и (или) перевод денег не связан с осуществлением физическим лицом валютной операции, требующей получения регистрационного свидетельства, свидетельства об уведомлении, учетного номера контракта.;Подтверждаю, что данный платеж и (или) перевод денег не связан с осуществлением физическим лицом валютной операции, требующей получения регистрационного свидетельства, свидетельства об уведомлении, учетного номера контракта.;intTransfer_confirmation;W
Status;Статус;Статус;signingrules_status;W
Delete Current Row;Удалить текущее поле;Удалить текущее поле;demandType_deleteCurrentRow;W
create Key For Translate;Ключ для перевода;Ключ для перевода;demandType_createKeyForTranslate;W
Cancel;Отмена;Отмена;common_cancel;W
Role;Роль;Роль;manager_role;W
Currency;Валюта;Валюта;signingrules_currency;W
View / Edit;Просмотр/Изменение;Просмотр/Изменение;common_viewEdit;W
Tax Code;БИН;БИН;common_TaxCode;W
Payer;Плательщик;Плательщик;standing.order.payer;W
New email;Новый email;Новый email;personal_newEmail;W
