en;ru;kk;translation_key
Show stopped cards;Показать закрытые карты;Жабық карталарды көрсету;privilege_corpCards_closed
Details of blocked amount;Детали заблокированной суммы;Бұғатталған соманың егжей-тегжейлері;privilege_corpCards_blocked_details
Transaction history;История транзакций;Транзакциялар тарихы;privilege_corpCards_history
Extract;Выписка;Үзінді көшірме;privilege_corpCards_statement
Card blocking ;Блокирование карты;Картаны бұғаттау;privilege_corpCards_block
Transfer/ currency conversion;Перевод/конвертация валюты;Валюта аударымы/конвертациясы;privilege_corpCards_transfer
Card replenishment;Пополнение карты;Картаны толтыру;privilege_corpCards_credit
Create a new;Создать новый;Жаңаны жасау;privilege_payments_add
Create a new;Создать новый;Жаңаны жасау;privilege_int_transfers_add
Create a new;Создать новый;Жаңаны жасау;privilege_refunds_add
Editing;Редактировать;Редакциялау;privilege_int_transfers_edit
Create;Создать;Жасау;privilege_message_add
Send;Отправить;Жөнелтуші;privilege_message_sent
Answer;Ответить;Жауап беру;privilege_message_reply
Export to Excel;Экспорт в Excel;Excel-ге экспорт;privilege_history_excel
Edit credit;Редактировать кредит;Кредитті редакциялау;privilege_credits_edit
Editing a corporate card;Редактирование корпоративной карты;Корпоративтік картаны редакциялау;privilege_corpCards_edit
Home menu;Главное меню;Бас мәзір;m_root
Customer data;Клиентские данные;Клиенттік деректер;m_clientdata
Invoices;Счета;Шоттар;m_accounts
Deposits;Депозиты;Депозиттер;m_deposits
Credits ;Кредиты;Кредиттер;m_credits
Corporate cards;Корпоративные карты;Корпоративтік  карталар;m_corp_cards
Documents ;Документы;Құжаттар;m_documents
Calendars;Календари;Күнтізбелер;m_calendars
Work with labour resources tokens;Работа с ОТР токенами;ОТР токендермен жұмыс;m_otp_tokens
Organizations;Организации;Ұйымдар;m_organisations
null;Уполномоченные лица;null;m_auth_persons
User management;Управление пользователями;Пайдаланушыны басқару;m_management
Users;Пользователи;Пайдаланушылар ;m_users
Managers;Менеджеры;Менеджерлер;m_managers
Event history;История событий;Оқиғалар тарихы;m_event_history
User sessions;Сессии пользователей;Пайдаланушылар сесииялары;m_sessions
Query log;Журнал запросов;Сұраулар журналы;m_requests
Lookup;Просмотр;Қарау;m_root_view
Lookup;Просмотр;Қарау;m_clientdata_view
Lookup;Просмотр;Қарау;m_account_view
history;история;тарих;m_account_history
Lookup;Просмотр;Қарау;m_deposits_view
history;история;тарих;m_deposits_history
Lookup;Просмотр;Қарау;m_credits_view
history;история;тарих;m_credits_history
Lookup;Просмотр;Қарау;m_corpCards_view
blocked amounts;заблокированные суммы;бұғатталған  сомалар;m_corpCards_blocked
history;история;тарих;m_corpCards_history
Lookup;Просмотр;Қарау;m_documents_view
Lookup;Просмотр;Қарау;m_transfers_view
Lookup;Просмотр;Қарау;m_convertion_view
Lookup;Просмотр;Қарау;m_standing_orders_view
Lookup;Просмотр;Қарау;m_cl_orders_view
Lookup;Просмотр;Қарау;m_handbooks_view
Letters;Письма;Хат;m_letters
News;Новости;Жаңалықтар;m_news
Conversion;Конвертация;Конвертация;m_convertion
Directories;Справочники;Анықтамалықтар;m_handbooks
Banking reference books;Банковские справочники;Банкілік анықтамалықтар ;m_bank_hb
System directories;Системные справочники;Жүйелік анықтамалықтар;m_system_hb
Setting of accesses;Настройка доступов;Қолжеткізулерді баптау;m_access
Standing orders ;Длительные поручения;Ұзақ тапсырмалар ;m_standing_orders
Customers’ applications;Заявления клиентов;Клиенттердің өтініштері;m_cl_orders
Transfer between own accounts ;Перевод между своими счетами;Өз шоттары арасындағы аударым;m_transfers
Constants;Константы;Константалар;m_constants
Application designer;Конструктор заявлений;Өтініштер құраушысы;m_constructor
Lookup;Просмотр;Қарау;m_bank_hb_view
Editing;Редактировать;Редакциялау;m_bank_hb_edit
Lookup;Просмотр;Қарау;m_calendars_view
Create;Создать;Жасау;m_calendars_add
Editing;Редактировать;Редакциялау;m_calendars_edit
Lookup;Просмотр;Қарау;m_system_hb_view
Editing;Редактировать;Редакциялау;m_system_hb_edit
Lookup;Просмотр;Қарау;m_constants_view
Editing;Редактировать;Редакциялау;m_constants_edit
Lookup;Просмотр;Қарау;m_access_view
Editing;Редактировать;Редакциялау;m_access_edit
Lookup;Просмотр;Қарау;m_constructor_view
Editing;Редактировать;Редакциялау;m_constructor_edit
Lookup;Просмотр;Қарау;m_management_view
Lookup;Просмотр;Қарау;m_users_view
Create;Создать;Жасау;m_users_add
Editing;Редактировать;Редакциялау;m_users_edit
Change password;смена пароля;Құпиясөзді ауыстыру;m_users_password
change of status;смена статуса;Мәртебені ауыстыру;m_users_status
Lookup;Просмотр;Қарау;m_managers_view
Create;Создать;Жасау;m_managers_add
Editing;Редактировать;Редакциялау;m_managers_edit
Change password;смена пароля;Құпиясөзді ауыстыру;m_managers_password
change of status;смена статуса;Мәртебені ауыстыру;m_managers_status
Lookup;Просмотр;Қарау;m_events_history_view
Lookup;Просмотр;Қарау;m_sessions_view
Deactivation;деактивация;қайта белсендіру;m_sessions_deactivate
Lookup;Просмотр;Қарау;m_requests_view
Lookup;Просмотр;Қарау;m_organisations_view
Create;Создать;Жасау;m_organisations_add
Editing;Редактировать;Редакциялау;m_organisations_edit
delete;удаление;Алып тастау;m_organisations_delete
Lookup;Просмотр;Қарау;m_auth_persons_view
Create;Создать;Жасау;m_auth_persons_add
Editing;Редактировать;Редакциялау;m_auth_persons_edit
Lookup;Просмотр;Қарау;m_otp_tokens_view
Import;импорт;импорт;m_otp_tokens_import
Lookup;Просмотр;Қарау;m_message_view
Create;Создать;Жасау;m_message_add
Answer;Ответить;Жауап беру;m_message_reply
Lookup;Просмотр;Қарау;m_news_view
Create;Создать;Жасау;m_news_add
Editing;Редактировать;Редакциялау;privilege_payments_edit
Create;Создать;Жасау;privilege_conversion_add
Editing;Редактировать;Редакциялау;privilege_conversion_edit
Create;Создать;Жасау;m_constructor_add
sending;отправка;жөнелтім;m_message_sent
Online chat;Онлайн чат;Онлайн чат;privilege_online_chat
Lookup;Просмотр;Қарау;m_singanurerule_view
Signature rules;Правила подписи;Қол қою ережелері;m_signaturerules
Create;Создать;Жасау;m_singanurerule_add
Editing;Редактировать;Редакциялау;m_singanurerule_edit
delete;удаление;Алып тастау;m_singanurerule_delete
Create;Создать;Жасау;privilege_transfers_add
Editing;Редактировать;Редакциялау;privilege_transfers_edit
Edit the status of documents;Редактировать статус документов;Құжат мәртебесін редакциялау;privilege_workflow_actions
Invoices for me;Выставленные мне счета;Маған  ұсынылған шоттар;page_invoices
Invoices from me;Выставленные мною счета;Мен ұсынған шоттар;page_expose_orders
Lookup;Просмотр;Қарау;privilege_invoice_view
Pay ;Оплатить;Төлеу;privilege_invoice_pay
Lookup;Просмотр;Қарау;privilege_exposedorders_view
Create;Создать;Жасау;privilege_exposedorders_add
Editing;Редактировать;Редакциялау;privilege_exposedorders_edit
Currency of account;Валюта Счета;Шот валютасы;accountCurrency
Text of agreement;Текст соглашения;Келісім мәтіні;agreementText
Purpose of account;Назначение счета;Шоттың атауы;accountPurpose
Account;Счет;Шот;custom_field_account
Closing condition;Условие Закрытия;Жабу талаптары;custom_field_close_condition
Unused sheet number in check book;Номера неиспользованных листов в чековой;Чек кітапшасындағы пайдаланылмаған парақтар нөмірі;custom_field_unused_sheet
Reason for closing the account;Причина закрытия счета;Шотты жабу себебі;custom_field_acc_closure_reason
Type of deposit;Вид вклада;Салым түрі;custom_field_deposit_type
Currency of deposit;Валюта вклада;Салым валютасы ;custom_field_deposit_currency
Term of deposit;Срок вклада;Салым мерзімі;custom_field_loan_term
Confirmation;Подтверждение;Растау;custom_field_confirmation
Text of agreement;Текст соглашения;Келісім мәтіні;custom_field_text_agreement
Purpose of contribution;Назначение вклада;Салымның белгіленуі;custom_field_deposit_agreement
Deposit;Депозит;Депозит;custom_field_deposit
Account for transfer;Счет для перечисления;Аударымға арналған шот;custom_field_account_for_transfer
Reason for closing;Причина закрытия;жабу себебі;custom_field_close_reason
Type of loan;Вид займа;Қарыз түрі;custom_field_loan_type
Borrowing currency;Валюта займа;Қарыз валютасы;custom_field_loan_currency
Loan term;Срок займа;Қарыз мерзімі;custom_field_loan_term_2
Loan amount;Сумма Займа;Қарыз сомасы;custom_field_loan_amount
Scanned copies of documents;Сканированные копии документов;Құжаттардың сканерленген көшірмелері;custom_field_scanned_copies
Confirmation of a loan;Подтверждение займа;Қарызды растау;custom_field_confirmation_loan
Text of agreement;Текст соглашения;Келісім мәтіні;custom_field_text_agreement_2
Purpose of loan;Назнаения займа;Қарыздың белгіленуі;custom_field_loan_purpose
Agreement with the term of opening an account;Согласие с условием открытия счета;Шот ашу талаптарына келісу;agreementOpeningAccounts
Credit;Кредит;Кредит;custom_field_credit
Repayment amount;Сумма погашения;Өтейтін сома;custom_field_maturity_value
Amount of principal debt;Сумма основного долга;Негізгі қарыз сомасы;custom_field_principal_debt
Accrued compensation;Начисленное вознаграждение;Есептелген сыйақы;accrued_compensation
Change of the payment schedule;Изменение графика платежа;Төлемдер кестесін өзгерту;custom_field_payment_schedule
Type of card product;Вид карточного продукт;Карталық өнімнің түрі;custom_field_type_card_products
Card currency;Валюта карты;Карта валютасы;custom_field_currency_card
Confirmation;Подтверждение;Растау;custom_field_confirmation_2
Text of agreement;Текст соглашения;Келісім мәтіні;custom_field_text_agreement_3
Purpose of the card;Назначение карты;Картаның белгіленуі;custom_field_appointment_cards
Card;Карта;Карта;custom_field_card
Reason for reissuing the card;Причина перевыпуска карты;Картан қайта шығару себебі;custom_field_reason_reissue
CASH;НАЛИЧНЫЙ;ҚОЛМА-ҚОЛ АҚША ;exchange_rate_cash
Cashless;БЕЗНАЛИЧНЫЙ;ҚОЛМА-ҚОЛСЫН;exchange_rate_cashless
NATIONAL BANK;НАЦИОНАЛЬНЫЙ БАНК;ҰЛТТЫҚ БАНК;exchange_rate_national
CROSS;КРОСС;КРОСС;exchange_rate_cross
Pound sterling;Фунт стерлингов;Фунт стерлинг;currency_gbr
Quick links ;Быстрые ссылки;Жылдам сілтеме;m_quick_link
Editing;Редактировать;Редакциялау;m_quicklink_edit
Certificates re-issue;Перевыпуск сертификатов;Сертификаттарды қайта шығару;m_cert_reissuing
Download of accounts;Загрузка счетов;Шоттарды жүктеу;job_ACCOUNT
Currency exchange request;Запрос курсов валют;Валюталар бағамын сұрату;job_EXCHANGE_RATE
Document status request;Запрос состояния документа;Құжаттың күйі сұранымы;job_DOC_STATE_CHANGED
International transfer;Международный перевод;Халықаралық аударым;job_EXPORT_INTERNATIONAL
Transfer between own accounts ;Перевод между своими счетами;Өз шоттары арасындағы аударым;page_inner_transactions
Transfer in national currency;Перевод в национальной валюте;Ұлттық валютадағы аударым;job_EXPORT_DOMESTIC_TRANSFER
Integration objectives;Задачи интеграции;Интеграция тапсырмалары;job_group_integration
Tasks on documents;Задачи по документам;Құжаттар бойынша тапсырмалар;job_group_documents
Invoices issue ;Выставленные счета;Ұсынылған шоттар;job_exposedOrder
Types of exchange rates;Типы курсов валют;Валюта курстар типтері;job_CURRENCY_RATE_TYPE
Regions;Регионы;Аймақтар;job_REGION
Cities;Города;Қалалар;job_CITY
Notifications;Уведомления;Хабарларамалар;job_NOTIFICATIONS
Create keys;Создать ключи;Кілт жасау;vc_keysRequest
Add type;Добавить тип;Типін қосу;signingrules_addDocType
Refused;Отказан;Бас тартылды;document.state.Refused
Show stopped cards;Показать закрытые карты;Жабық карталарды көрсету;showClosedCards
Symbol;Символ;Белгі;currency_currencycode
Value (setting, entry, meaning);Значение;Мәні;global_settings.constants.table.col.value
Calendar name;Название календаря;Күнтізбенің атауы;calendarName
Approved;Утверждён;Бекітілді;approved
Viewing/Editing;Просмотр/Редактирование;Қарау / Редакциялау;invoice_edit
Create a Document Type;Создание Типа документа;Құжат типін жасау;creatingDocType
Payer;Плательщик;Төлеуші;paymentOrder_payerDetail
IP terminal ;IP терминала;терминалдың IP;requests_terminal
Wrong e-mail;Неверный email;Дұрыс емес email;common_incorrectEmail
Create a new document;Создать новый документ;жаңа құжат жасау;common_createDocument
Start;Старт;Старт;jobs.started
Password confirmation;Подтверждение пароля;Құпиясөзді растау;customeruser_passwordConfirmation
View through;Просмотреть;Қарау / көру;organizations_details
Create a new System Module;Создать новый Модуль системы;Жаңа жүйе модулін жасау;createNewSystemModule
The first and second characters should be KZ.;Первый и второй символы должны быть KZ.;Бірінші және екінші белгі KZ. болуы тиіс;paymentOrder_valid_firstCharsKZ
General;Общее;Жалпы;companyPersonEdit_maintabTitle
Name;Имя;Аты ;paymentOrder_firstName
Show balance of all accounts;Показать остаток по всем счетам;Барлық шоттар бойынша қалдықты көрсету;common_showBalance
Sending notification  channel;Канал отправки уведомлений;Хабарламаларды жіберу арнасы;sendingNotificationsChannel
Go to;Перейти на;Келесіге көшу;notFound_go_to_the
Create a country;Создание страны;Ел жасау;countryCreating
Confirm the action:;Подтвердите действие:;Әрекетті растаңыз:;common_confirmAction
Information from the Bank;Информация из Банка;Банктен ақпарат;paymentOrder_bankInfo
Actions ;Действия;Әрекеттер;operationsWithCardProductType
Invalid login or password;Неверный логин или пароль;Дұрыс емес логин немесе құпиясөз;login.IncorrectLoginOrPassword
Valid keys are absent ;Валидные ключи отсутствуют;Валидті кілттер жоқ;docSigning_noValidKeys
Block/Arrest reason;Причина блокировки/ареста;Бұғаттау/тыйым салу себебі;common_arrestBlockReason
Add new currency;Добавить новую валюту;Жаңа валютаны қосу;currency_addnewcurrency
View Edit Pension Template;Просмотр / Редактирование Шаблона  Пенсионного отчисления;null;paymentOrder_viewEditPensionTemplate
Create a bank;Создание банка;Банк жасау;bankCreating
Create a Multifactor Authorization;Создание многофакторной авторизации;Көпфакторлы авторландыру жасау;authfactorcreate_title
Name;Наименование;Атауы;paymentOrder_payerName
Actions ;Действия;Әрекеттер;operationsWithDocStatus
Export to 1C;Экспорт в 1C;1С-ке экспорт;domestic_documentExport1c
Starting date of an action must precede the closing date;Дата начала действия должна предшествовать дате окончания;Әрекеттің басталу күні аяқталу күніне дейін болуы тиіс;exchangeRate.date.conflict
User certificates;Сертификаты пользователя;Пайдаланушылар сертификаттары;userCertificates
Agreement with the term of opening an account;Согласие с условием открытия счета;Шот ашу талаптарына келісу;demandCreate_agreeWithCondition
IIN is repeated;ИИН повторяется;ЖСН қайталанады;paymentOrder_taxCodeRepeated
Document type;Тип документа;Құжат типі;createDemandType_documentType
Bank details - Pension, social contributionsv;Реквизиты - Пенсионные, социальные отчисления;null;detailsPensionSocialContributions
An error in;ошибка в;...-дағы қате;common_error_in
BCC (budgetary classification code) with such code already exists;КБК с таким кодом уже существует;Мұндай кодымен БЖК ендіге бар;kbkCodeAlreadyExists
Loan status;Состояние кредита;Кредит жағдайы;creditState
Borrowing currency;Валюта займа;Қарыз валютасы;loanCurrency
Recipient;Получатель;Алушы;invoice_receiver
Error of loading the current calendar. Please reload the page or try again later.;Ошибка загрузки текущего календаря. Перезагрузите страницу или попробуйте позже;Ағымдағы күнтізбені жүктеу қатесі. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз;currentCalendarLoadingErrorReload
Completed;Выполнен;Орындалды;common_done
International mailing address;Международный почтовый адрес;Халықаралық почта мекенжайы;intPostAddress
Create a new reason for blocking the card;Создать новую Причину блокировки карты;Картаны бұғаттаудың жаңа себебін жасау;createCardBlockReason
Default Organization;Организация по умолчанию;Ұйым үнсіздік бойынша;personal_default_org
This field should not exceed 128 characters!;Это поле не должно превышать 128 символа!;Бұл жолда 128 белгіден артық болмауы тиіс!;noMore128Symbols
Types of work;Типы работ;Жұмыс типтері;navigation_jobsType
Message:;Message:;Message:;error.message
Editing of bank order template;Просмотр / Редактирование Шаблона Платежного поручения;Төлемдік тапсырма Шаблонын қарау / Редакциялау ;paymentOrder_viewEditTemplate
Deselect all;Отменить выделение;Бөлуді болдырмау;grid_cancelselection
Error of loading current currency. Please reload the page or try again later.;Ошибка загрузки текущей валюты. Перезагрузите страницу или попробуйте позже;Ағымдағы валютаны жүктеу қатесі. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз;currency_error3
Error of Create currency. Please reload the page or try again later.;Ошибка создания валюты. Перезагрузите страницу или попробуйте позже;Валюта жасағандағы қате. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз!;currency_error2
Error of currency update. Please reload the page or try again later.;Ошибка обновления валюты. Перезагрузите страницу или попробуйте позже;Валютаны жаңалау қатесі. Бетті қайта жүктеңіз немесе кейінірек қайта байқап көріңіз;currency_error1
Input error;Ошибка ввода;Енгізу қатесі;common_InputError
Not important;Не важен;Мыңызды емес;signingrules_withoutorder
The code should not exceed 6 digits;Код не должен превышать 6-х цифр;Код 6 саннан аспауы тиіс;noMore6Digits
The module of the system with this code already exists;Модуль системы с таким кодом уже существует;Мұндай кодымен жүйенің модулі ендіге бар;systemModuleWithSameCodeAlreadyExists
Bulk mailing;Массовая рассылка;Жаппай жіберу;multicasting_packTitle
Add New Pension Template;Создание Шаблона Пенчионного отчисления;Создание Шаблона Пенчионного отчисления;paymentOrder_addNewPensionTemplate
Full name of  the changed user;Ф.И.О. измененного пользователя;Өзгертілген пайдаланушының аты-жөні;events_subjectname
Payer's account;Счет плательщика;Алушы шоты;domTransfer_payerAccount
Enter your login;Укажите логин;Логинді көрсетіңіз;login_enter_login
Configure the issued currencies;Настроить выдаваемые валюты;Берілетін валюталарды баптау;customizeIssuedCurrency
Currency of account commission ;Валюта счета взимания комиссии;Комиссияны алу шотының валютасы;intTransfer_feeCurrency
Publication Status: Not Published;Статус публикации: не опубликовано;Жариялау мәртебесі: жарияланған жоқ;createDemandType_statusPublishedFalse
Password;Пароль;Құпиясөз;login_factor_Password
Current email;Текущий email;Ағымдағы еmail;personal_currentEmail
Action activity;История действия;Әрекет тарихы;events_title
Section;Раздел;Тарау;page_menudetailstitle
Company person id is not present;Company person id is not present;Company person id is not present;letter.validation.company.person
Status;Статус;Мәртебе;common_status
View and Editing of card products type;Просмотр и редактирование Вида карточных продуктов;Карталық өнімдер түрін қарау және редакциялау;viewingEditingCardProductType
User ID (ID in the system);Идентификатор Пользователя(Id в системе);Пайдаланушы сәйкестендіргіш (жүйедегі Id);EventsExcelCreator.ExecutorId
Name;Наименование;Атауы;paymentOrder_recipientName
Accounts filter settings;Настройки фильтра счетов;Шоттар сүзгісін баптаулар;demandType_filterSettings
Block requisites: document;Block requisites: document;null;documentBlock
Privilege;Привилегии;Артықшылықтар;companyPersonEdit_privilegestabTitle
Log on;Вход в систему;Жүйеге кіру;login_title
New;Новый;Жаңа ;ps_New
Organization managers;Менеджеры организации;Ұйымның менеджерлері;common_managers
Create an employee;Создать сотрудника;Қызметкер жасау;employee_createEmployee
Organization;Организация;Ұйым;common_organization
Message from the bank;Сообщение из банка;Банкіден хабарлама;common_MasageFromBank
View and Editing of the letter type;Просмотр и редактирование Типа письма;Хат типін қарау және редакциялау;viewingEditingLetterType
Refund amount;Сумма возврата;Қайтару сомасы;refunds.amount
Type of directory;Тип справочника;Анықтамалық типі;global_settings.constants.table.col.handbook_type
Maximum length is 1000 characters!;Максимальная длина 1000 символов!;Максималды ұзындығы 1000 символ!;global_settings.constants.validation.max.1000
The number of incorrect passwords;Количество неправильных паролей;Дұрыс емес құпиясөздер саны;customeruser_incorrectPasswordCount
Editing a task;Редактирование задачи;Міндетті редакциялау;jobs.edit_job.title
1 deposit selected;1 депозит выбран;1 депозит таңдалды;oneDepositIsSelected
Document creation date;Дата создания документа;Құжатты жасау күні;common_documentDate
Name;Имя;Аты ;customeruser_firstName
Deposit account;Счет депозита;Депозит шоты;depositAccount
Refuse;Отказать;Бас тарту;action_reject
Document №;Документ номер;Құжат нөмірі;upload_docNumber
Bank order;Платежное поручение;Төлемдік тапсырма;domTransfer_paymentOrder
Make visible;Сделать видимым;Көрінетін ету;common_makeVisible
Content of the answer;Содержание ответа;Жауап мазмұны;requests_response
Account;Счет;Шот;senderAccount
Account balance;Остаток на счете;Шоттағы қалдық;paymentOrder_accountBalanceKZT
Categories of applications;Категории заявлений;Өтініш санаттары;CodeCategory_labelReference
Payer;Плательшик;Төлеуші;invoice_payer
Payee's BIN;БИН получателя;Алушының БСН;receiversBIN
Notification type;Тип уведомлений;Хабарламалар типі;alertsType
Invalid current password;Неверный текущий пароль;Дұрыс емес ағымдағы құпиясөз;personal_incorrectCurrentPass
Amount of write-off for;Сумма списания по;бойынша есептен шығару сомасы;accTransfer_debitAmountTo
Status;Статус;Мәртебе;customeruser_status
Status of document;Статус документа;Құжат мәртебесі;common_docStatus
Per month;За месяц;Бір ай үшін;common_forMonth
Receiver name;Имя получателя;Алушының аты;domTransfer_receiverName
Details of blocked amount;Детали заблокированой суммы;Бұғатсыздандырылған соманың егжей-тегжейлері;blockedAmountDetails
Cash sales;Продажа Наличный;Қолма-қол ақшамен сату;CASH_SALE
Recalled;Отозван;Кері шақыртылды;document.state.Revoked
Error of calendar creation. Is this a duplicate?;Ошибка при создании календаря. Возможно это дубликат?;Күнтізбе жасағандағы қате. Мүмкін бұл телдана?;savingCalendarError
Full name;ФИО;Аты-жөні;EventsExcelCreator.ExecutorName
field type;тип поля;Жол типі;field_type
id;ид;сд;CodeCategory_id
Add account;Добавить счет;Шотты қосу;signingrules_addAccount
Date of creation;Дата создания;Құрылу күні;news_createDate
Closed;Закрытый;Жабық ;ps_Closed
Amount;Сумма;Сома;invoice_amount
Exchange rates;Курсы валют;Валюталардың бағамдары;navigation_handbookExchangeRates
Messenger action;Действие менеджера;Менеджердің әрекеті;events_manageraction
List of works;Список работ;Жұмыстар тізімі;jobs.List
Your request cannot be processed;Your request cannot be processed;null;error.title
Name of recipient;Наименование получателя;Алушының атауы;transferRequisites_recipientName
VAT amount in KZT;НДС сумма KZT;ҚҚС сомасы KZT;paymentOrder_vatKZT
Your session is closed by the bank manager;Ваша сессия закрыта администратором банка;Сіздің сессияңыз банктің әкімшісімен жабық;errorpage419_title
All events are selected;Все события выбраны;Барлық оқиғалар таңдалды;events_allselected
Error is occurred when document signing;Возникла ошибка при подписи документа;Құжатқа қол қою кезінде қате туындады ;signature.signError
Registration of a new manager;Регистрация нового менеджера;Жаңа менеджерді тіркеу;managers_add
Statement details;Детали заявления;Өтініштің егжей-тегжейлері;demandCreate_demandDetail
Ending on the date;Заканчивая датой;Күнмен аяқталып;standing.order.to.date
Create a Payment Order;Создание Платежного поручения;Төлемдік тапсырма жасау;paymentOrder_addNewOrder
Account №, name of organization, BIN of organization;№ счёта, Наименование организации, БИН организации;Шоттың №, Ұйымның атауы, ұйымның БСН;accountNumberOrgNameOrgBin
Commission;Комиссия;Комиссия;paymentOrder_commission
Labor resources token status;Статус OTP токенов;ОТР токендер мәртебесі;otpTokensStatus
