en;ru;kk;translation_key;output_channel
Default organization;Организация по умолчанию;Әдепкі қалпы бойынша ұйымдастыру;personal_default_org;W
This field should not exceed 128 characters!;Это поле не должно превышать 128 символа!;Бұл жол 128 таңбадан аспауы тиіс!;noMore128Symbols;W
Jobs Type;Типы работ;Жұмыс түрлері;navigation_jobsType;W
view Edit Order Template;Просмотр / Редактирование Шаблона Платежного поручения;Төлем тапсырмасының үлгісін қарау / редакциялау;paymentOrder_viewEditTemplate;W
Cancel selection;Отменить выделение;Бөліп көрсетуді болдырмау;grid_cancelselection;W
Error loading currency. Refresh the page or try again later;Ошибка загрузки текущей валюты. Перезагрузите страницу или попробуйте позже;Ағымдағы валютаны қотару қателігі. Бетті қайта қотарыңыз немесе кейін тағы бір рет талпынып көріңіз;currency_error3;W
Error creating currency. Refresh the page or try again later;Ошибка создания валюты. Перезагрузите страницу или попробуйте позже;Валюта жасау қателігі. Бетті қайта қотарыңыз немесе кейін тағы бір рет талпынып көріңіз;currency_error2;W
Error updating currency. Refresh the page or try again later;Ошибка обновления валюты. Перезагрузите страницу или попробуйте позже;Валютаны жаңарту қателігі. Бетті қайта қотарыңыз немесе кейін тағы бір рет талпынып көріңіз;currency_error1;W
Any;Не важен;Маңызды емес;signingrules_withoutorder;W
The code must not exceed 6 digits;Код не должен превышать 6-х цифр;Код 6 саннан аспауы тиіс;noMore6Digits;W
The System module with this code already exists;Модуль системы с таким кодом уже существует;Коды осындай жүйенің модулі бар;systemModuleWithSameCodeAlreadyExists;W
Multicasting packages;Массовая рассылка;Көпшілікке жіберу;multicasting_packTitle;W
Add New Pension Template;Создание Шаблона Пенсионного отчисления;Зейнетақы аударымының үлгісін жасау;paymentOrder_addNewPensionTemplate;W
Subject user name;Ф.И.О. измененного пользователя;Өзгертілген пайдаланушының Т.А.Ә.;events_subjectname;W
Payers account;Счет плательщика;Төлеушінің шоты;domTransfer_payerAccount;W
Customize issued currency;Настроить выдаваемые валюты;Берілетін валюталарды баптау;customizeIssuedCurrency;W
Fee currency;Валюта счета взимания комиссии;Комиссия өндіріп алу шотының валютасы;intTransfer_feeCurrency;W
Status published : false;Статус публикации: не опубликовано;Жариялау күйі: жарияланбаған;createDemandType_statusPublishedFalse;W
Current email;Текущий email;Ағымдағы email;personal_currentEmail;W
Events history;История действия;Әрекет тарихы;events_title;W
Chapter;Раздел;Бөлімі;page_menudetailstitle;W
Status;Статус;Мәртебесі;common_status;W
Viewing/Editing the Card product type;Просмотр и редактирование Вида карточных продуктов;Карта өнімдерінің түрін қарау және редакциялау;viewingEditingCardProductType;W
Name;Наименование;Атауы;paymentOrder_recipientName;W
Filter settings;Настройки фильтра счетов;Шоттар сүзгісінің баптаулары;demandType_filterSettings;W
Block requisites: document;Block requisites: document;Деректемелер блогы: Құжаттың;documentBlock;W
Privileges;Привилегии;Артықшылықтар;companyPersonEdit_privilegestabTitle;W
New;Новый;Жаңа;ps_New;W
Organization's managers;Менеджеры организации;Ұйымның менеджерлері;common_managers;W
Create employee;Создать сотрудника;Қызметкер жасау;employee_createEmployee;W
Organization;Организация;Ұйым;common_organization;W
Message from Bank;Сообщение из банка;Банктен келген хабарлама;common_MasageFromBank;W
Viewing/Editing the Letter type;Просмотр и редактирование Типа письма;Хат түрін қарау және редакциялау;viewingEditingLetterType;W
Сумма возврата;Сумма возврата;Қайтару сомасы;refunds.amount;W
Incorrect passwords count;Количество неправильных паролей;Қате құпиясөздердің саны;customeruser_incorrectPasswordCount;W
Edit job;Редактирование задачи;Мақсатты редакциялау;jobs.edit_job.title;W
Document Date;Дата создания документа;Құжаттың жасалған күні;common_documentDate;W
First name;Имя;Аты;customeruser_firstName;W
Deposit account;Счет депозита;Депозит шоты;depositAccount;W
Reject;Отказать;Қабылдамау;action_reject;W
Payment order;Платежное поручение;Төлем тапсырмасы;domTransfer_paymentOrder;W
Respnse;Содержание ответа;Жауаптың мазмұны;requests_response;W
Account;Счет;Шот;senderAccount;W
Account balance;Остаток на счете;Шоттағы қалдық;paymentOrder_accountBalanceKZT;W
Demand Category;Категории заявлений;Өтініштер санаттары;CodeCategory_labelReference;W
Payer;Плательщик;Төлеуші;invoice_payer;W
Receiver's BIN;БИН получателя;Алушының БСН;receiversBIN;W
Notifications type;Тип уведомлений;Хабарламалар түрі;alertsType;W
debit amount to;Сумма списания по;... бойынша есептен шығару сомасы;accTransfer_debitAmountTo;W
Status;Статус;Мәртебесі;customeruser_status;W
Document status;Статус документа;Құжаттың мәртебесі;common_docStatus;W
Receivers name;Имя получателя;Алушының аты;domTransfer_receiverName;W
Blocked amount details;Детали заблокированой суммы;Бұғатталған соманың егжей-тегжейі;blockedAmountDetails;W
Calendar creating error. Is it a duplicate?;Ошибка при создании календаря. Возможно это дубликат?;Күнтізбені жасаған кездегі қателік. Бұл телнұсқасы емес пе?;savingCalendarError;W
field type;тип поля;жолдың түрі;field_type;W
id;ид;ID;CodeCategory_id;W
Add account;Добавить счет;Шот қосу;signingrules_addAccount;W
Creaition date;Дата создания;Жасалған күні;news_createDate;W
Closed;Закрытый;Жабық;ps_Closed;W
Amount;Сумма;Сомасы;invoice_amount;W
Exchange rates;Курсы валют;Валюталар бағамдары;navigation_handbookExchangeRates;W
Manager action;Действие менеджера;Менеджердің әрекеті;events_manageraction;W
Jobs List;Список работ;Жұмыстар тізімі;jobs.List;W
Name;Наименование получателя;Алушының атауы;transferRequisites_recipientName;W
VAT KZT;НДС сумма KZT;ҚҚС KZT сомасы;paymentOrder_vatKZT;W
Session was blocked by administrator;Ваша сессия закрыта администратором банка;Сессияңызды банк әкімшісі жауып қойған;errorpage419_title;W
All events selected;Все события выбраны;Барлық оқиғалар таңдалды;events_allselected;W
New manager;Регистрация нового менеджера;Жаңа менеджерді тіркеу;managers_add;W
Demand Detail;Детали заявления;Өтініштің егжей-тегжейі;demandCreate_demandDetail;W
Finish date;Заканчивая датой;Күнімен аяқталады;standing.order.to.date;W
Create new payment order;Создание Платежного поручения;Төлем тапсырмасын жасау;paymentOrder_addNewOrder;W
Account number, the organization name, the organization BIN;№ счёта, Наименование организации, БИН организации;Шот №, Ұйымның атауы, Ұйымның БСН;accountNumberOrgNameOrgBin;W
Commission;Комиссия;Комиссиясы;paymentOrder_commission;W
OTP tokens statuses;Статус OTP токенов;OTP токендердің күйі;otpTokensStatus;W
Ip address;IP адрес;IP мекенжайы;sessions_terminalip;W
Documents;Документы;Құжаттар;navigation_documents;W
Viewing/Editing the System module;Просмотр и редактирование Модуля системы;Жүйенің модулін қарау және редакциялау;viewingEditingSystemModule;W
Input Template Name;Введите имя шаблона;Үлгінің атын енгізіңіз;Payment_action_inputTemplateName;W
Security tooltips;Советы по безопасности;Қауіпсіздік жөніндегі кеңестер;login_tips;W
Current phone;Текущий телефон;Ағымдағы телефон;personal_currentPhone;W
Budget payment code description;Описание КБК;БСК сипаттамасы;paymentOrder_budgetCodeDescription;W
Maximum incorrect passwords count;Максимальное количество неправильных паролей;Қате құпиясөздердің максималды саны;customeruser_maxIncorrectPasswordCount;W
Validity of the account;Срок действия счета;Шоттың қолданыс мерзімі;accountValidity;W
New user;Новый пользователь;Жаңа пайдаланушы;customerUser_add;W
Amount;Сумма;Сомасы;paymentOrder_amount;W
Deposit products types;Виды депозитных продуктов;Депозит өнімдерінің түрлері;depositProductTypes;W
Viewing card blocking/unblocking history;Просмотр истории блокировок/разблокировок карты;Картаны бұғаттау/бұғаттан шығару тарихын қарау;viewHistoryCardLockUnlock;W
Re-issuance certificate requests;Запросы на перевыпуск сертификатов;Сертификаттарды қайта шығаруға сұратымдар;certificationRequests;W
Сlient editable;Настраивается клиентом;Клиент баптайды;notificationtype_iseditablebyclient;W
Rate;Курс;Бағамы;accTransfer_rate;W
Course scale;Масштаб курса;Бағамның ауқымы;exchangeRates_courseScale;W
Are you sure you want to delete the Deposit product type №  ?;Вы действительно хотите удалить Вид депозитных продуктов №  ?;Сіз № депозит өнімдерінің түрін шынымен жойғыңыз келеді ме?;sureYouWantDeleteDepositProductType;W
Fees types;Типы комиссий;Комиссия түрлері;feesTypes;W
Provileges;Привилегии;Артықшылықтар;roles_privileges;W
Payers tax code;ИИН/БИН плательщика;Төлеушінің ЖСН/БСН;domTransfer_payerTaxCode;W
KBE:;КБЕ:;БеК:;KBE;W
Login up to;Вход до;дейін кіру;companyperson_validto;W
National name;Национальное название;Ұлттық атауы;district_name;W
No exchange rate;Курс валют отсутствует;Валюталар бағамы жоқ;paymentOrder_exchangeRateEmpty;W
Amount;Сумма;Сомасы;notification_amount;W
Incorrect password;Неверный пароль;Қате құпиясөз;personal_incorrectPass;W
Name;Наименование;Атауы;global_settings.constants.table.col.name;W
Dictionaries;Справочники;Анықтамалықтар;navigation_handbooks;W
Budget payment code;КБК;БСК;paymentOrder_budgetCode;W
Direction;Направление;Бағыты;direction;W
Withdraw number;№ отзыва;Қайтарып алу №;withdraw_num;W
Create signature rule;Создать правило для подписи;Қол қоюға арналған ережені жасау;signingrules_add;W
Payer bank's BIK;БИК Банка Плательщика;Төлеуші банктің БСК;transferRequisites_payerBankCode;W
The City with the same code already exists;Город с таким кодом уже существует;Коды осындай қала бар;cityWithSameCodeAlreadyExists;W
Order;Порядок;Тәртібі;signingrules_order;W
Branch;Подразделение;Бөлімі;manager_subdivision;W
Document date;Дата документа;Құжаттың күні;withdraw_doc_date;W
Organization TaxCode;ИИН Организации;Ұйымның ЖСН;common_orgTaxCode;W
Auth factors;Факторы авторизации;Қуаттау факторлары;companyPersonEdit_authtabTitle;W
International transfer;Международный перевод валюты;Халықаралық валюта аударымы;intTransfer_title;W
ИИН/БИН отправителя;ИИН/БИН отправителя;Жіберушінің ЖСН/БСН;invoice.payer.bin;W
Templates;Шаблоны;Үлгілер;common_Templates;W
Enter the password for the key store;Введите пароль для хранилища ключей;Кілттер сақтайтын орынға арналған құпиясөзді енгізіңіз;docSigning_inputProfilePassword;W
Current balance;Текущий остаток;Ағымдағы қалдық;currentBalance;W
Constant groups;Группы констант;Констант топтары;navigation_group_constants;W
Balance of remuneration in the currency of the loan;Остаток вознаграждения в валюте займа;Қарыз валютасындағы сыйақының қалдығы;balanceRemunerationCurrencyLoan;W
Blocked;Блокирован;Бұғатталған;signingrules_notactive;W
The three-symbol code;Трехсимвольный код;Үш таңбалы код;threeSymbolCode;W
Accounts types;Виды счетов;Шот түрлері;accountTypes;W
Short name;Сокращенное название;Қысқартылған аты;shortName;W
Updating district;Изменение области;Облысты өзгерту;districts_update;W
Customize accepted currency;Настроить принимаемые валюты;Қабылданатын валюталарды баптау;customizeAcceptedCurrency;W
This field should not exceed 255 characters!;Это поле не должно превышать 255 символа!;Бұл жол 255 таңбадан аспауы тиіс!;noMore255Symbols;W
Receiver's bank;Банк получателя;Алушының банкі;receiversBank;W
Values;Массив значений;Мәндер ауқымы;global_settings.constants.values;W
Exist field with wrong data, save unavailable;Есть неправильно заполненные поля, сохранение выполнено не будет;Қате толтырылған жолдар болғандықтан сақталу орындалмайды;createDemandType_saveMassage;W
Error Code;Код ошибки;Қателіктің коды;jobs.errorCode;W
Passwords do not match;Пароли не совпадают;Құпиясөздер сәйкеспейді;customeruser_passwordsnotequals;W
Operations with ATMs/Branches/Terminals;Действия;Әрекеттер;operationsWithAtmsBranchesTerminals;W
An import date;Дата импорта;Импорттау күні;importDate;W
User id;ID пользователя;Пайдаланушының ID;events_executorId;W
This field can have no more than 255 characters;Это поле не должно превышать 255 символов!;Бұл жол 255 таңбадан аспауы тиіс!;common_field_max255chars;W
Get from handbook;Заполнить из справочника;Анықтамалықтан толтыру;paymentOrder_getFromHandbook;W
National payments;Платежные поручения в национальной валюте;Ұлттық валютадағы төлем тапсырмалары;domTransfer_nationalPayments;W
All calendars are selected;Все календари выбраны;Барлық күнтізбелер таңдалды;allCalendarsAreSelected;W
Working documents;Документы в работу;Құжаттарды жұмысқа;navigation_workingDocs;W
Type;Тип;Түрі;withdraw_doc_type;W
Payment details;Детали платежа;Төлемнің егжей-тегжейі;paymentOrder_paymentDetail;W
Should not be 0;0 недопустимо;0 жарамайды;common_greaterThanZero;W
View payroll;Просмотр Зарплатного отчисления;Еңбекақы аударымын қарау;paymentOrder_viewPayroll;W
Constants;Константы;Константтар;navigation_constants;W
Pension requisites;Реквизиты - Пенсионные отчисления;Деректемелер - Зейнетақы аударымдары;transferRequisites_pensionRequisites;W
Blocked amounts;Заблокированые суммы;Бұғатталған сомалар;blockedAmounts;W
Exchange rate;Курс сделки;Мәміле бағамы;paymentOrder_exchangeRate;W
Add New Social Template;Создание Шаблона Социального отчисления;Әлеуметтік аударымның үлгісін жасау;paymentOrder_addNewSocialTemplate;W
Message template;Шаблон сообщения;Хабар үлгісі;notification_template;W
Contract number;Номер договора;Шарттың нөмірі;contractNumber;W
Districts;Области;Облыстар;district_districts;W
Money sender code/beneficiary code (CODE/KBE);Код отправителя денег/Код бенефициара(КОД/КБЕ);Ақша жіберушінің коды/Бенефициардың коды (АЖК/БеК);senderCode;W
Status;Состояние документа;Құжаттың күйі;withdraw_doc_status;W
Clear settings;Сброс настроек;Баптауларды ысыру;clear_settings;W
Card currency;Валюта карты;Картаның валютасы;cardCurrency;W
Accounts;Счета;Шоттар;signingrules_accounts;W
Arrested sum;Арестованная сумма;Тыйым салынған сома;common_arrestedSum;W
OTP tokens;ОТП токены;ОТП токендері;otpTokens;W
Receiver;Получатель;Алушы;domTransfer_receiver;W
Server time for sync;Время сервера для синхронизации;Қадамдастыруға кететін сервердің уақыты;serverTimeForSync;W
Contract number;№ контракта;Келісім-шарттың №;common_contractNumber;W
Create new client;Создать нового клиента;Жаңа клиент жасау;organizationsCreate_create;W
Managers roles;Роли менеджеров;Менеджерлердің рөлдері;navigation_managersroles;W
Cards;Карты;Карталар;cards;W
Main;Главная;Басты бет;common_main;W
Card products types;Виды карточных продуктов;Карта өнімдерінің түрлері;cardProductTypes;W
Add;Добавить;Қосу;common_add;W
Debit currency;Валюта списания;Есептен шығару валютасы;accTransfer_debitCurrency;W
Payment from account;Платеж со счета;Шоттан төлеу;actions_paymentFromAccount;W
Amount in account currency;Сумма в валюте счёта;Шот валютасындағы сомасы;amountInAccountCurrency;W
Loan payment;Платеж по кредиту;Кредит бойынша төлем;actions_loanPayment;W
Amount;Сумма;Сомасы;domTransfer_amountKZT;W
Channel;Канал;Арнасы;sessions_channel;W
Deposits;Депозиты;Депозиттер;navigation_deposits;W
Bank branch;Филиал банка;Банктің филиалы;bankBranch;W
start;начало;басы;start;W
Document Type;Тип Документа;Құжат түрі;DocumentType;W
View and edit user;Просмотр и редактирование данных пользователя;Пайдаланушының деректерін қарау және редакциялау;customeruser_editor_title;W
Blocked;Заблокирован;Бұғатталған;ps_Blocked;W
Available limit;Доступный лимит;Қолжетімді лимит;availableLimit;W
View social contribution;Просмотр Социального отчисления;Әлеуметтік аударымды қарау;paymentOrder_viewSocialContribution;W
End of action;Конец действия;Әрекет аяқталды;exchangeRates_end;W
Multilanguage flag;Признак мультиязычности;Көптілділік белгісі;global_settings.constants.table.col.multi_lang;W
Incorrect input;Данные введены некорректно;Деректер қате енгізілді;common_incorrectSymbol;W
Published;Опубликовано;Жарияланды;demandType_public;W
Populated Locality;Населённый пункт;Елді мекен;banks_populatedLocality;W
Account closing date;Дата закрытия счёта;Шоттың жабылған күні;account_closingDate;W
National bank BIK;БИК Национального банка;Ұлттық банктің БСК;banks_bikBankNat;W
Error Message;Сообщение об ошибке;Қателік туралы хабар;jobs.errorMessage;W
Clear notification settings;Удалить настройки уведомлений;Хабарландыру баптауларын жою;clear_notification_settings;W
operatingSystem;Операционная система;Амалдық жүйе;events_operatingSystem;W
The amount of the loan agreement in the currency of the loan;Сумма кредитного договора в валюте займа;Қарыз валютасындағы кредит шартының сомасы;amountAgreementCurrencyLoan;W
Rows per page;Записей на странице;Беттегі жазбалар;grid_rowsperpage;W
Payment;Платеж;Төлем;payment;W
Date to;Период до;дейінгі кезең;invoice_date_to;W
rate from;Курс исполнения с;орындау бағамы ... бастап;accTransfer_rateFrom;W
Limit name;Название лимита;Лимиттің аты;limit_name;W
Request for re-issuance of card;Заявка на перевыпуск карты;Картаны қайта шығаруға өтінім;reIssuanceCardRequest;W
Auto Filling;Автозаполнение реквизитов;Деректемелерді автотолтыру;AutoFilling;W
Код Отправителя;Код Отправителя;Жіберушінің коды;refunds.sender.kod;W
;1 событие выбрано;1 оқиға таңдалды;events_1selected;W
ID;ID;ID;currency_currencyid;W
class name;Название класса;Cыныбының аты;jobs.class_name;W
Create demand type;Создать тип заявления;Өтініш түрін жасау;create_demand_type;W
Amount from;Сумма от;Сома ... бастап;invoice_amount_from;W
Device category;Категория устройства;Құрылғы санаты;events_deviceCategory;W
Blocked sum;Сумма в блоке;Блоктағы сомасы;common_blockedSum;W
Creating a Letter type;Создание Типа письма;Хат түрін жасау;creatingLetterType;W
Clear all settings;Удалить все настройки;Барлық баптауларды жою;clear_all_settings;W
A credit status;Статус кредита;Кредит мәртебесі;creditStatus;W
New card;Новая карта;Жаңа карта;applyForNewCard;W
Shipping requisites;Отправка реквизитов;Деректемелерді жіберу;common_shippingRequisites;W
Value date;Дата валютирования;Валюталандыру күні;paymentOrder_valueDate;W
Close the account;Закрыть счёт;Шотты жабу;actions_closeAccount;W
Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;Жүйеге кіру үшін басыңыз;errorpage420_message;W
Category Change;Изменить категорию;Санатты өзгерту;CodeCategory_Change;W
Save the day;Сохранить день;Күнді сақтау;saveDay;W
Information;Информация;Ақпарат;common_information;W
Import;Импортировать;Импорттау;common.import;W
Invoices;Выставленные мне счета;Маған ұсынылған шоттар;invoice_name;W
Period;Период;Кезеңі;paymentOrder_period;W
Active;Включено;Қосулы;notification_active;W
Viewing and editing the Channel;Просмотр и редактирование канала;Арнаны қарау және редакциялау;viewingEditingChannel;W
Create a new Deposit product type;Создать новый Вид депозитных продуктов;Депозит өнімдерінің жаңа түрін жасау;createNewDepositProductType;W
Are you sure you want to delete the System module № ?;Вы действительно хотите удалить Модуль системы № ?;Сіз шынымен № жүйенің модулін жойғыңыз келеді ме?;sureYouWantDeleteSystemModule;W
Multicasting;Массовая рассылка;Көпшілікке жіберу;multicasting_packEditTitle;W
Manager;Менеджер;Менеджері;managers_user;W
events selected;событий выбрано;таңдалған оқиғалар;events_X5selected;W
Last name;Фамилия;Тегі;customeruser_lastName;W
Cards;Карты;Карталар;navigation_corporatecards;W
New deposit;Новый депозит;Жаңа депозит;applyForNewDeposit;W
New;Новый;Жаңа;common_new;W
All;Все;Барлығы;common_all;W
Credit details;Детали кредита;Кредиттің егжей-тегжейі;creditDetails;W
Are you sure you want to delete the letter type?;Вы действительно хотите удалить тип письма?;Сіз шынымен хат түрін жойғыңыз келеді ме?;sureYouWantDeleteLetterType;W
Card details;Детали карты;Картаның егжей-тегжейі;cardDetails;W
Organization BIN;БИН организации;Ұйымның БСН;withdraw_org_bin;W
Document number;Номер;Нөмірі;paymentOrder_documentNumber;W
Delete;Удалить;Жою;common_delete;W
Deactivate;Деактивировать;Белсенсіздендіру;common_deactivate;W
Activate;Активировать;Белсендіру;common_activate;W
Code;Код;Коды;role_code;W
Available;Доступно;Қолжетімді;is_available;W
Ask period;Задать период;Кезеңді белгілеу;standing_order_interval;W
Wrong format;Неверный формат;Қате формат;invalidFormat;W
Approve;Утвердить;Бекіту;approve;W
Can't sign the document! Possible password incorrect.;Не удалось подписать документ! Возможно, пароль введен неправильно.;Құжатқа қол қою мүмкін болмады! Бәлкім, құпиясөз қате енгізілген шығар.;docSigning_signErr;W
ABS id;Идентификатор в АБС;АБС-дағы сәйкестендіргіш;manager_externalId;W
Clear all;Очистить все;Барлығын тазалау;common_allItems;W
International full name;Международное наименование;Халықаралық атауы;common_intFullName;W
demand checked;заявление выбрано;өтініш таңдалды;demand_demandChecked;W
Creating a Card unblocking reason;Создание Причины разблокировки карты;Карты бұғаттан шығару себебін жасау;creatingCardUnblockreason;W
International address. District;Международный адрес. Область;Халықаралық мекенжайы. Облысы;common_addressIntDistrict;W
New signature rule;Создание правила для подписи;Қол қоюға арналған ереже жасау;signingrules_new_title;W
Temporary blocking;Временная блокировка;Уақытша бұғаттау;temporaryBlockage;W
To use all the features of Internet banking, click "Login".;Чтобы воспользоваться всеми функциями интернет-банкинга, нажмите "Вход".;Интернет-банкингтің барлық қызметтерін пайдалану үшін "Кіруді" басыңыз.;loginToUse;W
Social contribution;Социальное отчисление;Әлеуметтік аударым;domTransfer_socialContribution;W
Request;Содержание запроса;Сұратымның мазмұны;requests_request;W
Creating a ATM/Branch/Terminal;Создание Банкомата/отделения/терминала;Банкоматты/бөлімшені/терминалды жасау;creatingAtmBranchesTerminals;W
Update client;Изменение клиента;Клиентті өзгерту;organizationsCreate_update;W
Viewing/Editing the Document type;Просмотр и редактирование Типа документа;Құжат түрін қарау және редакциялау;viewingEditingDocType;W
Not pair passwords;Пароли не совпадают;Құпиясөздер сәйкеспейді;personal_notPairPass;W
Edit an exchange rate type;Изменить тип курса валют;Валюталар бағамын өзгерту;editExchangeRateType;W
Card lock reason;Причина блокировки карты;Картаны бұғаттау себебі;cardBlockingReason;W
Calendar management;Управление календарём;Күнтізбені басқару;calendarManagement;W
Day off;Выходной день;Демалыс күні;DayResource.DayOff;W
Close;Закрыть;Жабу;common_close;W
Requisites;Реквизиты;Деректемелері;withdraw_requisites;W
Account;Счет;Шоты;transferRequisites_recipientAccount;W
Cards type with this code already exists;Вид карт с таким кодом уже существует;Коды осындай карталардың түрі бар;suchCardTypeAlreadyExist;W
Address (Agent bank);Адрес (Банка Посредника);Мекенжайы (Делдал банктің);intTransfer_agentBankAddress;W
Events types;Тип событий;Оқиғалар түрі;eventsType;W
Job group;Группа типов задач для запуска по расписанию;Кесте бойынша іске қосуға арналған түрлер тобы;navigation_jobsGroup;W
Accounts statuses;Статусы счетов;Шоттардың күйі;accountStatuses;W
Type;Тип;Түрі;common_type;W
Letter subject;Тема письма;Хаттың тақырыбы;letterSubject;W
Post zip;Почтовый индекс;Пошта индексі;common_zip;W
Blocking;Блокировка;Бұғаттау;blocking;W
Requests log;Журнал запросов;Сұратымдар журналы;navigation_requests;W
New user;Регистрация нового пользователя;Жаңа пайдаланушыны тіркеу;customeruser_new_title;W
Online chat;Онлайн-чат;Онлайн-чат;onlineChat;W
Term;Срок;Мерзімі;term;W
Country;Страна;Елі;district_countryFullName;W
Error In Save Data;Произошла ошибка при сохранении данных;Деректерді сақтаған кезде қате кетті;common_ErrorInSaveData;W
Manager roles;Роли менеджеров;Менеджерлердің рөлдері;managerroles_title;W
KNP;КНП;ТТК;paymentOrder_purposeCode;W
IIN;ИИН;ЖСН;common_iin;W
Creating a budget classification code (BCC);Создание кода бюджетной классификации(КБК);Бюджеттік сыныптама кодын (БСК) жасау;kbkCreating;W
Edit filter;Настройки фильтра;Сүзгінің баптары;common_editFilter;W
Today;За сегодня;Бүгінге;common_today;W
Revoke;Отозвать;Қайтарып алу;personal_revoke;W
Назначение платежа;Назначение платежа;Төлемнің тағайындалуы;paymentOrder_purpose;W
Enter SMS password;Укажите СМС пароль;СМС құпиясөзін көрсетіңіз;login_enter_sms_password;W
Demand Type;Тип заявления;Өтініштің түрі;demandCreate_demandType;W
Privileges;Привилегии;Артықшылықтар;rolePermissions_title;W
Login;Вход;Кіру;login_enter;W
Day update error;Ошибка при обновления дня;Күнді жаңартқандағы қателік;dayUpdateError;W
Delete;Удалить;Жою;common.remove;W
calendars selected;календари выбраны;күнтізбелер таңдалды;calSelected;W
Week;За неделю;Аптасына;common_week;W
Наименование Отправителя;Наименование Отправителя;Жіберушінің атауы;refunds.sender.name;W
Bank dictionaries;Банковские справочники;Банк анықтамалықтары;bankHandbooks;W
Sending notifications channels;Каналы отправки;Жіберу арналары;sendingNotificationsChannels;W
Country code (Agent bank);Код страны (Банка Посредника);Елдің коды (Делдал банктің);intTransfer_agentBankCountryCode;W
BIN/IIN;БИН/ИИН;БСН/ЖСН;paymentOrder_payerCode;W
Reply;Ответить;Жауап беру;reply;W
Recipient detail;Получатель;Алушы;paymentOrder_recipientDetail;W
This field must have at least 6 digits!;Это поле должно содержать 6 цифр!;Бұл жолда 6 сан болуы тиіс!;common_field_atleast6digits;W
users selected;пользователей выбрано;пайдаланушы таңдалды;customeruser_X5selected;W
The currency;Валюта;Валюта;exchangeRates_currency;W
