"id";"ru";"translation_key"
1130;Показать закрытые карты;privilege_corpCards_closed
1131;Детали заблокированной суммы;privilege_corpCards_blocked_details
1132;История транзакций;privilege_corpCards_history
1133;Выписка;privilege_corpCards_statement
1134;Блокирование карты;privilege_corpCards_block
1135;Перевод/конвертация валюты;privilege_corpCards_transfer
1136;Пополнение карты;privilege_corpCards_credit
1137;Создать новый;privilege_payments_add
1138;Создать новый;privilege_int_transfers_add
1139;Создать новый;privilege_refunds_add
1140;Редактировать;privilege_int_transfers_edit
1141;Создать;privilege_message_add
1142;Отправить;privilege_message_sent
1143;Ответить;privilege_message_reply
1144;Создать;privilege_payment_service_add
1145;Просмотр;privilege_payment_service_view
1146;Редактировать;privilege_payment_service_edit
1147;Экспорт в excel;privilege_history_excel
1148;Редактировать кредит;privilege_credits_edit
1149;Редактирование корпоративной карты;privilege_corpCards_edit
1150;Главное меню;m_root
1151;Клиентские данные;m_clientdata
1152;Счета;m_accounts
1153;Депозиты;m_deposits
1154;Кредиты;m_credits
1155;Корпоративные карты;m_corp_cards
1156;Документы;m_documents
1157;Календари;m_calendars
1158;Работа с ОТР токенами;m_otp_tokens
1159;Организации;m_organisations
1160;Уполномоченные лица;m_auth_persons
1161;Управление пользователями;m_management
1162;Пользователи;m_users
1163;Менеджеры;m_managers
1164;История событий;m_event_history
1165;Сессии пользователей;m_sessions
1166;Журнал запросов;m_requests
1167;Просмотр;m_root_view
1168;Просмотр;m_clientdata_view
1169;Просмотр;m_account_view
1170;История;m_account_history
1171;Просмотр;m_deposits_view
1172;История;m_deposits_history
1173;Просмотр;m_credits_view
1174;История;m_credits_history
1175;Просмотр;m_corpCards_view
1176;Заблокированные суммы;m_corpCards_blocked
1177;История;m_corpCards_history
1178;Просмотр;m_documents_view
1179;Просмотр;m_transfers_view
1180;Просмотр;m_convertion_view
1181;Просмотр;m_standing_orders_view
1182;Просмотр;m_cl_orders_view
1183;Просмотр;m_handbooks_view
1184;Письма;m_letters
1185;Новости;m_news
1186;Конвертация;m_convertion
1187;Справочники;m_handbooks
1188;Банковские справочники;m_bank_hb
1189;Системные справочники;m_system_hb
1190;Настройка доступов;m_access
1191;Длительные поручения;m_standing_orders
1192;Заявления клиентов;m_cl_orders
1193;Перевод между своими счетами;m_transfers
1194;Константы;m_constants
1195;Конструктор заявлений;m_constructor
1196;Просмотр;m_bank_hb_view
1197;Редактировать;m_bank_hb_edit
1198;Просмотр;m_calendars_view
1199;Создать;m_calendars_add
1200;Редактировать;m_calendars_edit
1201;Просмотр;m_system_hb_view
1202;Редактировать;m_system_hb_edit
1203;Просмотр;m_constants_view
1204;Редактировать;m_constants_edit
1205;Просмотр;m_access_view
1206;Редактировать;m_access_edit
1207;Просмотр;m_constructor_view
1208;Редактировать;m_constructor_edit
1209;Просмотр;m_management_view
1210;Просмотр;m_users_view
1211;Создать;m_users_add
1212;Редактировать;m_users_edit
1213;Смена пароля;m_users_password
1214;Смена статуса;m_users_status
1215;Просмотр;m_managers_view
1216;Создать;m_managers_add
1217;Редактировать;m_managers_edit
1218;Смена пароля;m_managers_password
1219;Смена статуса;m_managers_status
1220;Просмотр;m_events_history_view
1221;Просмотр;m_sessions_view
1222;Деактивация;m_sessions_deactivate
1223;Просмотр;m_requests_view
1224;Просмотр;m_organisations_view
1225;Создать;m_organisations_add
1226;Редактировать;m_organisations_edit
1227;Удаление;m_organisations_delete
1228;Просмотр;m_auth_persons_view
1229;Создать;m_auth_persons_add
1230;Редактировать;m_auth_persons_edit
1231;Просмотр;m_otp_tokens_view
1232;Импорт;m_otp_tokens_import
1233;Просмотр;m_message_view
1234;Создать;m_message_add
1235;Ответить;m_message_reply
1236;Просмотр;m_news_view
1237;Создать;m_news_add
1238;Редактировать;privilege_payments_edit
1239;Создать;privilege_conversion_add
1240;Редактировать;privilege_conversion_edit
1241;Создать;m_constructor_add
1242;Отправка;m_message_sent
1243;Онлайн чат;privilege_online_chat
1244;Просмотр;m_singanurerule_view
1245;Правила подписи;m_signaturerules
1246;Создать;m_singanurerule_add
1247;Редактировать;m_singanurerule_edit
1248;Удаление;m_singanurerule_delete
1249;Создать;privilege_transfers_add
1250;Редактировать;privilege_transfers_edit
1251;Редактировать статус документов;privilege_workflow_actions
1252;Выставленные мне счета;page_invoices
1253;Выставленные мною счета;page_expose_orders
1254;Просмотр;privilege_invoice_view
1255;Оплатить;privilege_invoice_pay
1256;Просмотр;privilege_exposedorders_view
1257;Создать;privilege_exposedorders_add
1258;Редактировать;privilege_exposedorders_edit
1259;Валюта Счета;accountCurrency
1260;Текст соглашения;agreementText
1261;Назначение счета;accountPurpose
1262;Счет;custom_field_account
1263;Условие Закрытия;custom_field_close_condition
1264;Номера неиспользованных листов в чековой;custom_field_unused_sheet
1265;Причина закрытия счета;custom_field_acc_closure_reason
1266;Вид депозита;custom_field_deposit_type
1267;Валюта депозита;custom_field_deposit_currency
1268;Срок депозита;custom_field_loan_term
1269;Подтверждение;custom_field_confirmation
1270;Текст Соглашения;custom_field_text_agreement
1271;Назначение вклада;custom_field_deposit_agreement
1272;Депозит;custom_field_deposit
1273;Счет для перечисления;custom_field_account_for_transfer
1274;Причина закрытия;custom_field_close_reason
1275;Вид займа;custom_field_loan_type
1276;Валюта займа;custom_field_loan_currency
1277;Срок займа;custom_field_loan_term_2
1278;Сумма Займа;custom_field_loan_amount
1279;Сканированные копии документов;custom_field_scanned_copies
1405;Сумма депозитов;depositsSum
1280;Подтверждение займа;custom_field_confirmation_loan
1281;Текст соглашения;custom_field_text_agreement_2
1282;Назнаения займа;custom_field_loan_purpose
1283;Согласие с условием открытия счета;agreementOpeningAccounts
1284;Кредит;custom_field_credit
1285;Сумма погашения;custom_field_maturity_value
1286;Сумма основного долга;custom_field_principal_debt
1287;Изменение графика платежа;custom_field_payment_schedule
1288;Вид карточного продукт;custom_field_type_card_products
1289;Валюта карты;custom_field_currency_card
1290;Подтверждение;custom_field_confirmation_2
1291;Текст соглашения;custom_field_text_agreement_3
1292;Назначение карты;custom_field_appointment_cards
1293;Карта;custom_field_card
1294;Причина перевыпуска;custom_field_reason_reissue
1295;НАЛИЧНЫЙ;exchange_rate_cash
1296;БЕЗНАЛИЧНЫЙ;exchange_rate_cashless
1297;НАЦИОНАЛЬНЫЙ БАНК;exchange_rate_national
1298;КРОСС;exchange_rate_cross
1299;Фунт стерлингов;currency_gbr
1300;Быстрые ссылки;m_quick_link
1301;Редактировать;m_quicklink_edit
1302;Перевыпуск сертификатов;m_cert_reissuing
1303;Загрузка счетов;job_ACCOUNT
1304;Запрос курсов валют;job_EXCHANGE_RATE
1305;Запрос состояния документа;job_DOC_STATE_CHANGED
1306;Международный перевод;job_EXPORT_INTERNATIONAL
1307;Перевод между своими счетами;page_inner_transactions
1308;Перевод в национальной валюте;job_EXPORT_DOMESTIC_TRANSFER
1309;Задачи интеграции;job_group_integration
1310;Задачи по документам;job_group_documents
1311;Выставленные счета;job_exposedOrder
1312;Типы курсов валют;job_CURRENCY_RATE_TYPE
1313;Регионы;job_REGION
1314;Интеграция;job_common
1315;Города;job_CITY
1316;Уведомления;job_NOTIFICATIONS
1317;Справочник Российские банки;job_RU_BANK
1318;Депозиты;job_DEPOSIT
1319;Виды депозитов;job_DEPOSIT_KIND
1320;Виды кредитов;job_CREDIT_KIND
1321;Виды платежей по кредитам;job_CREDIT_PAYMENT_KIND
1322;Виды карточных продуктов;job_CARD_PRODUCT_KIND
1323;Виды карт;job_CARD_KIND
1325;Календарь рабочих дней;job_CALENDAR
1326;Банкоматы / отделения / терминалы;job_SERVICE_POINT
1327;Режим работы банкоматов / отделений / терминалов;job_SERVICE_POINT_SCHEDULE
1328;Создать новый документ;common_createDocument
1329;Показать остаток по всем счетам;common_showBalance
1330;Перейти на;notFound_go_to_the
1331;Неверный логин или пароль;login.IncorrectLoginOrPassword
1332;Валидные ключи отсутствуют;docSigning_noValidKeys
1333;Экспорт в 1C;domestic_documentExport1c
1334;Дата начала действия должна предшествовать дате окончания;exchangeRate.date.conflict
1335;Согласие с условием открытия счета;demandCreate_agreeWithCondition
1336;ИИН повторяется;paymentOrder_taxCodeRepeated
1337;ошибка в;common_error_in
1338;Message:;error.message
1339;Ошибка ввода;common_InputError
1340;Укажите логин;login_enter_login
1341;Пароль;login_factor_Password
1342;Идентификатор Пользователя(Id в системе);EventsExcelCreator.ExecutorId
1343;Вход в систему;login_title
1344;Тип справочника;global_settings.constants.table.col.handbook_type
1345;Максимальная длина 1000 символов!;global_settings.constants.validation.max.1000
1346;"1 депозит выбран";oneDepositIsSelected
1347;Документ номер;upload_docNumber
1348;Сделать видимым;common_makeVisible
1349;Неверный текущий пароль;personal_incorrectCurrentPass
1350;За месяц;common_forMonth
1351;Продажа Наличный;CASH_SALE
1352;ФИО;EventsExcelCreator.ExecutorName
1353;Your request cannot be processed;error.title
1354;Возникла ошибка при подписи документа;signature.signError
1355;Код назначение платежа;common_purposeCode
1356;Ваш профиль удален;login.ProfileDeleted
1357;Название фактора авторизации;authfactor_name
1358;Неверный смс пароль;login.IncorrectSMSPassword
1359;Отправить в банк;paymentOrder_sentToBank
1360;Подпись не требуется;signature.signIsNotRequired
1361;Логин;UsersExcelCreator.Login
1362;ФИО;EventsExcelCreator.SubjectName
1363;налоговый код бенефициара;common_benefTaxCode
1364;Показать сертификат;companyperson_certificate_display
1365;Остаток по всех счетах;common_balanceByAllAccounts
2002;Новое;common_new_mail
1366;Детали корпоративной карты;corporateCardDetails
1367;Активен;organization.active
1368;Скрыть закрытые счета;common_hideClosedAccounts
1369;Просрочен;common_overdue
1370;Настройки фильтра сообщений;letterFilterSettings
1371;Покупка Безналичный;CASHLESS_PURCHASE
1372;Пользователь не определен;workflow_userNotDetected
1373;Счет отправителя и счет получателя не должны быть одинаковыми;paymentOrder_dontDuplicateAccount
1374;Открыть депозит;common_openDeposit
1375;Импорт документов из 1с;common_documentImport1c
1376;назначение платежа;common_purpose
1377;Вид документов;common_kindDocument
1378;Разблокировка;unblocking
1379;Сохранить Документ;common_saveDocument
1380;Выберите хранилище ключей;docSigning_chooseProfile
1381;Минимальная длина 6 символов;auth.opt.token.min_length
1382;Общий размер файлов не должен превышать;common_totalFileSizeShouldNotExceed
1383;Сумма всех неисполненных платежей;nonOutstandingPayments
1384;Международный почтовый индекс;common_intZip
1385;Наличные;CASH
1386;Получить ключи;docSigning_loadKeys
1387;Организации;excel.organizations
1388; депозитов выбрано;depAreSelected
1389;Неработоспособность;IsInoperability
1390;Персональная страница;personal_index
1391;Выставленные мной счета список;exposeOrder.list
1392;Создать контрагента;counterparty_create
1393;Номер счета повторяется;counterparty_accountNumberRepeated
1394;Чтобы войти в систему, нажмите;errorpage419_message
1395;Покупка;PURCHASE
1396;Подписание документа;docSigning_title
1397;Добавить счет;counterparty_addAccount
1398;Последнне продление;sessions_valid_to
1399;Просмотр/редактирование контрагента;counterparty_edit
1400;Кросс-курс;CROSS
1401;Логин должен быть меньше 10 символов;login_login_req
1402;Закрыть фильтр;requests_closefiler
1403;По логину;login__passwordtab
1404;Войти по логину и паролю;login_enter_loginpass
1406;Календарь обновлён!;calendarIsUpdated
1407;Пользователи;UsersExcelCreator.Title
1408;Sorry, an error has occurred.;error.subtitle
1409;Ответ;answer
1410;Справочник: Локальные банки;banks_handbookLocalBanks
1411;Пользователь с таким логином уже существует;common.validation.creation.customer.id.exist
1412;Профили отсутствуют;docSigning_noValidProfiles
1413;Работа с ОТП токенами;navigation_otp
1414;Детали;common_detail
1415;Код страны/Страна:;counterparty_countryCodeCountry
1416;Назад;back
1417;Перетяните сюда файл с отп токенами или кликните для вибора файла;otp.import.downloadArea
1418;Безналичный продажа;exchangeRates_cashlessSale
1419;Расширенный фильтр;common_full_search
1420;Создать новый канал;createNewChannel
1421;"1 счёт выбран";common_oneAccountSelected
1422;Канал;EventsExcelCreator.Channel
1423;Создать заявление на отзыв платежа;withdraw_create
1424;Дата;withndraw_doc_date
1425;Ещё новости;moreNews
1426;Дополнительная аутентификация;additionallogin_title
1427;Не более;noMore
1428;Закрыть депозит;common_closeDeposit
1429;Заблокированная сумма;blockedAmount
1430;Календарь сохранён!;calendarIsSaved
1431;Управления задачами;navigation_job_management
1432;Введите пароль;docSigning_inputPassword
1433;Дейсвия с письмом;letterActions
1434;Просмотр и редактирование Банкомата/отделения/терминала;viewingEditingAtmBranchTerminal
1435;Не оплачен;document.state.Accepted
1436;Доступность в чате;managerView_isChat
1437;Состояние документа финальное;workflow_stateisfinal
1438;Международное;international
1439;Города;cities
1440;Просмотр организации;viewingOrganization
1441;БИК/SWIFT Банка;counterparty_bankCode
1442;Заголовок;header
1443;Доходы и расходы;incomeAndExpenses
1444;Новости банка;bankNews
1445;ОБщая ошибка печати документов;document.printError.general
1446;Получено;received
1447;Не назначена пользователем;personal_noDefault
3493;Печать;paymentOrder_print
1448;Скрытые депозиты;hiddenDeposits
1449;#;line.number.table.header
1450;Список заявлений;demand.list
1451;Кросс-курс безналичный;CASHLESS_CROSS_COURSE
1452;Создание канала;creatingChannel
1453;Счет не принадлежит текущей организации;common_The_account_does_not_belong_to_the_current_organization
1454;Свернуть;common_rollUp
1455;Национальный банк Республики Казахстан;NBRK
1457;Неверная попытка. Количество оставшихся попыток: {};otp.fail_attempt.limit
1458;Справочник не выбран!;global_settings.constants.validation.no_handbook_selected
1459;Не найдена наша организация;common_cantFindCustomer
1460;Показать остаток по всех картах;showAllCardsBalance
1461;Дата платежа;paymentDate
1462;Должен присутствовать идентификатор валюты;exchangeRate.currency.id.mustExists
1463;Версия операционной системы, браузера;events_osversion
1464;Счета контрагента;counterparty_accounts
1465;Текущая организация не является владельцем документа;currentCustomerIsNotDocumentOwner
1466;Скрыть остаток по всех кредитам;hideAllCreditsBalance
1467;Электронная цифровая подпись;signature
1468;Цифровая подпись успешно прошла проверку;signature.valid
1469;Максимальная длина 8 символов;auth.opt.token.max_length
1471;Удален;jobs.is_deleted
1472;Реквизиты контрагента;counterparty_requisites
1473;Это шаблон;document.isTemplate
1474;Цифровая подпись не прошла проверку;signature.invalid
1475;Прикрепление цифровой подписи;docSigning_attaching
1476;На ваш телефон отправлена смс;login_sms_send
1477;Роли;navigation_roles
1478;Неправильный пароль или внутренняя ошибка;docSigning_errorText
1479;Выбор элементов;choosingItems
1480;Скрыть закрытые карты;hideClosedCards
1481;Dear {0};email.activation.greeting
1482;Показать остаток;showBalance
1556;Просмотр страны;countryViewing
1483;Пароль не должен быть пустым;common.validation.password.required
1484; депозита выбрано;depositsAreDelected
1485;Просмотр/редактирование международного перевода валюты;intTransfer_viewEdit
1486;Название;page_pagename
1487;код бенефициара;common_benefBankCode
1488;Имя;UsersExcelCreator.Name
1489;Просмотр локального банка;banks_viewLocalBank
1490;Хранилище ключей;docSigning_profile
1491;Показать закрытые счета;common_showClosedAccounts
1492;Чтобы войти в систему, нажмите;errorpage418_message
1493;Продажа;SALE
1494;Автентификация по токену Вам не доступна;otp.otp_auth_not_allowed
1495;Формат файла;fileFormat
1496;Действия;organizations_operations
1497;Константы;global_settings.constants.table.name
1498;Действие;EventsExcelCreator.Action
1499; счетов выбрано;common_accsSelected
1500;Статус;UsersExcelCreator.Status
1501;ibank Team.;email.signature
1502;При входе по логину и паролю доступен только информационный сервис;login_alert
1503;Сохранить сотрудников;paymentOrder_saveEmployees
1504;Логическое значение;global_settings.constants.logical_value
1505;Dear {0};email.reset.greeting
1506;Вы используете технологический ключ. Перевыпустить на год?;reissuanceMessage
1507;Алгоритм;algorithm
1508;Суммарный остаток;sum_balance
1509;История;paymentOrder_history
1510;Такое назначение платежа уже существует;paymentOrder_purposeAlreadyExist
1511;Ошибка при установки полей;Error_in_setFields
1512;На просрочке;ps_Overdie
1513;Дата;EventsExcelCreator.EventDateTime
1514;ИД валюты должно быть цифрой;exchangeRate.currency.id.mustBeNumeric
1515;здесь;notFound_here
1516;Отсутствуют факторы авторизации;signature.noAuthFactors
1517;БИК международный;bikInt
1518;Выбранный файл;common_selectedFile
1519;ibank account activation;email.activation.title
1520;Роль используется;role_roleUsed
1521;Список отзывов документов;documentWithdrow.list
1522;Нацбанк;NB
1523;Мб;Mb
1557;Returns;navigation_refunds
3902; месяца;months
1524;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;login.ProfileIsNotActive
1525;Regards,;email.reset.text2
1526;For your ibank account a password reset was requested, please click on the URL below to reset it:;email.reset.text1
1527;Введите имя получателя или счет;invoice_search
1528;Поиск по наименованию или номеру счета;common_searchNameNumber
1529;Документ без ошибок;Document_does_not_has_error
1530;Ключ;docSigning_Key
1531;Сумма кредитов:;credit_creditsSum
1532;Просмотр/редактирование Перевода между своими счетами / Конвертации валюты;paymentOrder_viewEditAccountTransfer
1533;Скачивайте мобильный банкинг;login_mobile
1534;Текущая организация не является владельцем документа;signature.orgNotOwnerDoc
1535;Копировать заявление;demandCreate_repeat
1536;Назначение платежа не должно превышать 420 символов;paymentOrder_lessThen420Symbols
1537;Вы уже вошли в систему;login.UserAlreadyLoggedIn
1538;Максимальная длина 500 символов!;global_settings.constants.validation.max.500
1539;Your ibank account has been created, please click on the URL below to access it:;email.creation.text1
1540;Наличный продажа;exchangeRates_cashSale
1541;Развернуть;common_Expand
1542;В данном состоянии документа подпись невозможна;signature.cantBeSigned
1543;Список документов;document.list
1544;Счета выставленные мне;InvoiceOrder.list
1545;Просмотр транзакции;transactionsViewing
1546;Импорту XML файлов для OTP;otp.screen.import.title
1547;Двухбуквенный код;twoLetterCode
1548;Общие;rolePermissions_common
1549;Дополнительная проверка по;common_additionalCheckingBy
1550;Дополнительный аккаунт;additionalAccount
1551;Predefined value;global_settings.constants.predefined_value
1552;Просмотр заявления;demandCreate_ViewDemand
1553;Новый пароль введен не правильно;login.NewPasswordIncorrect
1554;Показать остаток по всех кредитам;showAllCreditsBalance
1555;Номер;invoice_number
1558;Не правильный формат пароля;common.validation.password.pattern
1559;Скрыть закрытые депозиты;hideClosedDeposits
1560;Логин;sessions_login
1561;Имя шаблона;document.templateName
1562;Безналичный;CASHLESS
1563;Удалить текущее поле;createDemandType_deleteCurrentField
1564;конец;ENDLowerCase
1565;Комментарий;EventsExcelCreator.Comment
1566;Покупка Наличный;CASH_PURCHASE
1567;Войти по ЕЦП;login__signaturetab
1568;Отзыв документа;withdraw_doc
1569;Перевод;transfer
1570;Даты не должны быть одинаковыми;exchangeRate.date.same
1571;Пропустить и войти;login_skipandlogin
1572;Your ibank account has been created, please click on the URL below to activate it:;email.activation.text1
1573;Regards,;email.activation.text2
1574;Начать чат;startChat
1575;Не заполнен ИИН сотрудника;common_taxCodeIsEmpty
1576;Справочник: Страны;handbookCountries
1577;Код резидента бенефициара;common_benefResidencyCode
1578;Введите сообщение;enterMessage
1579;Все счета выбраны;common_allAccountsSelected
1580;Меню менеджера;navigation_menutree_manager
1581;Создать заявку на открытие счёта;common_applyNewAccount
1582;Отменен;common_canceled
1583;Создать письмо;letterCreate
1584;ОТП;login_factor_Generator
1585;Неверная попытка;otp.fail_attempt
1586;Скрыть остаток по всем счетам;common_hideBalance
1587;Просмотр деталей;banks_localBankOperations
1588;в;common_in
1589;IP;EventsExcelCreator.Terminal
1590;Назначение платежа не изменилось;paymentOrder_paymentHasNotChanged
1591;Импорт завершен;common_imported
1592;Просмотр письма;letterViewing
1593;Сертификат;companyperson_certificate
1594;Выставленный мне счет;invoice_view_title
1595;История сообщений;messageHistory
1596;Удалить шаблон;common_deleteTemplates
1597;Главная страница;notFound_main_page
1598;Действия;paymentOrder_paymentPurposeOperations
1599;ИД валют должны быть разными;exchangeRate.currency.id.same
1600;Нет записей для экспорта;jobs.exportToExcel.emptyList
1601;Безналичный покупка;exchangeRates_cashlessPurchase
1602;Редактировать;company.persons.change
1643;Мб;common_MB
1603;поле не заполнено -;common_field_is_empty
1604;Status:;error.status
1605;Вы должны предоставить действительные данные!;valid.data.shouldExists
1606;Роли;companyperson_roles
1607;Правило подписи не найдено;workflow_signatureRuleNotFound
1608;Скрыть закрытые кредиты;hideClosedCredits
1609;Продажа Безналичный;CASHLESS_SALE
1610;есть ошибки;common_has_error
1611; счёта выбрано;common_accountsSelected
1612;Статус документа не определен;workflow_statusNotFound
1613;Закрытые депозиты;showClosedDeposits
1614;Список валютных контрактов;counterparty_contractsList
1615;Неверный тип файла. Допустимы;wrongFileType
1616;Импорт документа;common_documentImport
1617;Справочник полномочий;menutree_title
1618;Личный кабинет;navigation_personalOffice
1619;ibution=Просмотр/редактирование Пенсионноого отчисления;paymentOrder_viewEditPensionContr
1620;Версия операционной системы, браузера;EventsExcelCreator.Osversion
1621;Завершен;common_completed
1622;Дата документа;invoice_date
1623;Импорт ОТП токенов;navigation_otp.import
1624;Трехбуквенный код;threeLetterCode
1625;Отправить на подпись;paymentOrder_sendForSignature
1626;Хранилища не найдены;docSigning_errorKeyList
1627;Дата чата;chatDate
1628;Переход не найден;workflow_actionNotFound
1629;Необходимо указать идентификатор;id.shouldExists
1630;Создать Шаблон;common_createTemplate
1631;Id пользователя должно быть пустым;common.validation.creation.customer.id
1632;Статус с таким кодом уже существует;statusWithSameCodeAlreadyExists
1633;Company person is not visible for this manager;letter.validation.invalid.company.person
1634;Создать новый статус;createNotificationType
1635;Скрыть остаток по всех картах;hideAllCardsBalance
1636;Поле руководитель пустое;common_director_is_empty
1637;Дублирующиеся Бин сотрудников;common_duplicateEmployeeTaxCode
1638;Действия;cardOperations
1639;Ответ на письмо;letterReply
1640;За неделю;common_forWeek
1641;Заблокировать в УЦ;vc_block
1642;Сохранить получателя;paymentOrder_saveCounterparty
1644;Настройки;navigation_settings
1645;текущее значение сохранено;CreateDemandType_curentItemSaved
1646;Действия;invoice_operations
1647;Показать закрытые кредиты;showClosedCredits
1648;Добавить валютный контракт;counterparty_addContract
1649;Выберите валюту платежа;intTransfer_chooseCurrency
1650;Все документы выбраны;allDocsSelected
1651;Счета организации(Номер счета);accTransfer_accounts
1652;За сегодня;common_forDay
1653;Вы действительно хотите удалить назначение платежа;paymentOrder_deletePaymentPurpose
1654;Оплачен;document.state.Paid
1655;Документ не найден;workflow_docNotFound
1656;Токен заблокирован;otp.otp_token_blocked
1657;ibank password reset;email.reset.title
1658;Скрыть остаток;hideBalance
1659;Детальнее/Редактировать;accTransfer_detailEdit
1660;Выберите ключ;docSigning_chooseKey
1661;Срок до;termTo
1662;Признак блокировки;organization.grid.column.blocked.status
1663;Максимальная длина 255 символов!;global_settings.constants.validation.max.255
1664;Наличный покупка;exchangeRates_cashPurchase
1665;Произошла ошибка во время парсинга файла в строке -;ImportPaymentExeption_error_while_parsing_in_line
1666;Счет повторяется;paymentOrder_accountRepeated
1667;История событий;EventsExcelCreator.Events
1668;Создание типа уведомления;creatingNotificationType
1669;КНП;invoice_knp
1670;Войти с помощью отпечатка пальца;login_byfingerprint
1671;ФИО;fio
1672;Время;common_time
1673;Купюрность;denomination
1674;сумма снятия наличных денег меньше 2 миллионов казахстанских тенге или 20 тысяч долларов США или 15 тысяч  евро;demand_cash_validation_failed_message
1675;валютирования меньше текущей;common_lessThenCurrent
1676;между ;jobs.between
1677;и ;jobs.and
1678;месяцем;jobs.of_the_month
1679;Японская йена;currency_jap
1680;уведомлений;notifications_notifications
1681;Заказ наличности;actions_DemandCash
1682;Заказ наличности;navigation_Cash
1683;Не активна;jobs.isNotActive
1859;Описание;common_operation_desc
1684;Просмотр/редактирование;edit_exposed
1685;Создание счета;create_exposed
1686;Китайский юань;currency_chin
1687;На подтверждение;action_sendForConfirmation
1688;Текущий;acc_current
1689;Депозитный;acc_deposit
1690;Кредитный;acc_credit
1691;Карточный;acc_card
1692;Валюты счетов не должны различатся;error_differentCurrency
1693;Пароль не должен соответствовать логину;customeruser_passwordeqlogin
1694;Пользователь с таким логином уже существует;customeruser_alreadyexist
1695;Пользователь не найден;customeruser_notfound
1696;Язык поумолчанию;clear_notification_defaultLanuage
1697;Raiffeisen Bank International AG;EUR_CORRESPONDENT_BANK_NAME
1698;ООО «Экспобанк», Россия;USD_CORRESPONDENT_BANK_NAME
1699;ООО «Экспобанк», Россия;GBP_CORRESPONDENT_BANK_NAME
1700;ООО «Экспобанк», Россия;RUB_CORRESPONDENT_BANK_NAME
1701;ООО «Экспобанк», Россия;CHF_CORRESPONDENT_BANK_NAME
1702;Восстановление пароля;login_recovery
1703;АО «Банк ЭкспоКредит»;KZT_BANK_NAME
1704;Открытие Счета;OpenAccount
