category;code;name_id_ru;external_id;name_id_en;name_id_kk
LimitType;4;На год;94;На год;На год
ManagerAction;deleteManagerRole;Удаление роли менеджера;95;Удаление роли менеджера;Удаление роли менеджера
ManagerAction;updateUserRolePermissions;Назначение прав роли клиента;96;Назначение прав роли клиента;Назначение прав роли клиента
ManagerAction;updateUserRoles;Назначение ролей клиенту;97;Назначение ролей клиенту;Назначение ролей клиенту
ManagerAction;updateUserPersonalPermissions;Назначение индивидуальных полномочий клиенту;98;Назначение индивидуальных полномочий клиенту;Назначение индивидуальных полномочий клиенту
CertificateType;1;Регистрационное свидетельство для электронной цифровой подписи (ЭЦП) – регистрационное свидетельство, предназначенное для определения лица, подписавшего электронный документ;99;Регистрационное свидетельство для электронной цифровой подписи (ЭЦП) – регистрационное свидетельство, предназначенное для определения лица, подписавшего электронный документ;Регистрационное свидетельство для электронной цифровой подписи (ЭЦП) – регистрационное свидетельство, предназначенное для определения лица, подписавшего электронный документ
CertificateType;2;Регистрационное свидетельство для аутентификации – регистрационное свидетельство, предназначенное для определения лица, проходящего через процедуру входа (аутентификации) в интернет-ресурс или ИС;100;Регистрационное свидетельство для аутентификации – регистрационное свидетельство, предназначенное для определения лица, проходящего через процедуру входа (аутентификации) в интернет-ресурс или ИС;Регистрационное свидетельство для аутентификации – регистрационное свидетельство, предназначенное для определения лица, проходящего через процедуру входа (аутентификации) в интернет-ресурс или ИС
CertificateType;3; Регистрационное свидетельство SSL – регистрационное свидетельство предназначенное для использования интернет-ресурсом или ИС для обеспечения процедуры аутентификации;101; Регистрационное свидетельство SSL – регистрационное свидетельство предназначенное для использования интернет-ресурсом или ИС для обеспечения процедуры аутентификации; Регистрационное свидетельство SSL – регистрационное свидетельство предназначенное для использования интернет-ресурсом или ИС для обеспечения процедуры аутентификации
OrganizationRank;1;Главная компания;102;Главная компания;Главная компания
OrganizationRank;2;Дочерняя компания;103;Дочерняя компания;Дочерняя компания
OtpTokenStatus;1;Активный;104;Активный;Активный
OtpTokenStatus;2;Заблокированый;105;Заблокированый;Заблокированый
CreditStatus;1;Работает;106;Работает;Работает
CreditStatus;2;Не работает;107;Не работает;Не работает
CreditStatus;4;Закрыт;108;Закрыт;Закрыт
DepositeProductType;1;Сберегательные депозиты;109;Сберегательные депозиты;Сберегательные депозиты
DepositeProductType;2;Накопительные депозиты;110;Накопительные депозиты;Накопительные депозиты
DepositeProductType;3;Расчетные депозиты;111;Расчетные депозиты;Расчетные депозиты
DepositeProductType;4;Специализированные депозиты;112;Специализированные депозиты;Специализированные депозиты
DepositeProductType;5;Валютные депозиты;113;Валютные депозиты;Валютные депозиты
DepositeProductType;6;Мультивалютные депозиты;114;Мультивалютные депозиты;Мультивалютные депозиты
DepositeProductType;7;Металлические депозиты;115;Металлические депозиты;Металлические депозиты
CreditProductType;1;экспресс-кредит;116;экспресс-кредит;экспресс-кредит
CreditProductType;2;микрокредит;117;микрокредит;микрокредит
CreditProductType;3;малый кредит;118;малый кредит;малый кредит
CreditPaymentType;1;дифференцированный;119;дифференцированный;дифференцированный
CreditPaymentType;2;аннуитетный;120;аннуитетный;аннуитетный
CardProductType;1;зарплатные;134;зарплатные;зарплатные
CardProductType;2;корпоративные;135;корпоративные;корпоративные
CardType;1;кредитные;136;кредитные;кредитные
CardType;2;депозитные;137;депозитные;депозитные
SystemModule;1;модуль1;138;модуль1;модуль1
SystemModule;2;модуль2;139;модуль2;модуль2
CustomerAction;createLetter;Создание письма в банк;144;Создание письма в банк;Создание письма в банк
CustomerAction;editLetter;Редактирование письма в банк;145;Редактирование письма в банк;Редактирование письма в банк
CustomerAction;sendingLetter;Отправка письма в банк;146;Отправка письма в банк;Отправка письма в банк
ManagerAction;createLetter;Создание письма клиенту;147;Создание письма клиенту;Создание письма клиенту
ManagerAction;editLetter;Редактирование письма клиенту;148;Редактирование письма клиенту;Редактирование письма клиенту
ManagerAction;sendingLetter;Отправка письма клиенту;149;Отправка письма клиенту;Отправка письма клиенту
UserType;Manager;Менеджер;150;Менеджер;Менеджер
UserType;CustomerUser;Пользователь;151;Пользователь;Пользователь
SignLevel;A;A;152;A;A
SignLevel;B;B;153;B;B
SignLevel;C;C;154;C;C
UserStatus;active;Активный;155;Активный;Активный
UserStatus;inactive;Блокирован;156;Блокирован;Блокирован
UserStatus;deleted;Удален;157;Удален;Удален
SignLevel;D;D;158;D;D
SignLevel;E;E;159;E;E
SignLevel;F;F;160;F;F
SignLevel;G;G;161;G;G
SignLevel;H;H;162;H;H
ManagerAction;deleteUserRole;Удаление роли клиента;163;Удаление роли клиента;Удаление роли клиента
DocumentState;receivedInABS;Отправлен а АБС;170;Отправлен а АБС;Отправлен а АБС
DocumentState;Signed;Подписан;171;Подписан;Подписан
DocumentState;Draft;Черновик;172;Черновик;Черновик
DocumentState;AwaitsSignature;Ожидает подписи;173;Ожидает подписи;Ожидает подписи
DocumentState;Deleted;Удалён;174;Удалён;Удалён
DocumentState;SentToRBS;Отправлен в ДБО;175;Отправлен в ДБО;Отправлен в ДБО
DocumentState;AcceptedInRBS;Принят в ДБО;176;Принят в ДБО;Принят в ДБО
DocumentState;AcceptedInABS;Принят в АБС;177;Принят в АБС;Принят в АБС
DocumentState;NotAcceptedInABS;Не принят в АБС;178;Не принят в АБС;Не принят в АБС
DocumentState;Revoked;Отозван;179;Отозван;Отозван
DocumentState;Paid;Оплачен;181;Оплачен;Оплачен
DocumentState;Refused;Отказан;182;Отказан;Отказан
DocumentState;Suspended;Приостановлен;192;Приостановлен;Приостановлен
OrganizationRole;head;Руководитель;183;Руководитель;Руководитель
OrganizationRole;accountant;Главный бухгалтер;184;Главный бухгалтер;Главный бухгалтер
OrganizationRole;operator;Оператор;185;Оператор;Оператор
DocumentState;Executed;Исполнен;186;Исполнен;Исполнен
DocumentState;Accepted;Принят;187;Принят;Принят
DocumentState;Pay;К оплате;188;К оплате;К оплате
DocumentState;Return;Возврат от банка получателя;189;Возврат от банка получателя;Возврат от банка получателя
PersonType;LegalEntity;Юридическое лицо;190;Юридическое лицо;Юридическое лицо
PersonType;PrivatePerson;Физическое лицо;191;Физическое лицо;Физическое лицо
Regions;1;Центральный;201;Центральный;Центральный
Regions;2;Восточный;202;Восточный;Восточный
Regions;3;Южный;203;Южный;Южный
AccountStatus;111;Открытый;204;Открытый;Открытый
ExternalSystem;1;System 1;205;System 1;System 1
ExternalSystem;2;System 2;206;System 2;System 2
ExternalSystem;3;System 3;207;System 3;System 3
PropertyType;1;Частная собственность;208;Частная собственность;Частная собственность
PropertyType;2;Государственная собственность;209;Государственная собственность;Государственная собственность
PropertyType;3;Коллективная собственность;210;Коллективная собственность;Коллективная собственность
LetterType;1;Обычное;235;Обычное;Обычное
LetterType;2;Специальное;236;Специальное;Специальное
EventType;1;Новое;237;Новое;Новое
EventType;2;Событие;238;Событие;Событие
CommissionType;1;Комиссия за выпуск карты;239;Комиссия за выпуск карты;Комиссия за выпуск карты
CommissionType;2;Комиссия за годовое обслуживание карты;240;Комиссия за годовое обслуживание карты;Комиссия за годовое обслуживание карты
CommissionType;3;Комиссия за перевыпуск карты;241;Комиссия за перевыпуск карты;Комиссия за перевыпуск карты
CommissionType;4;Комиссия за снятие наличных средств;242;Комиссия за снятие наличных средств;Комиссия за снятие наличных средств
CardStatusShow;1;Новая;243;Новая;Новая
CardStatusShow;2;Активная;244;Активная;Активная
CardStatusShow;3;Заблокированая;245;Заблокированая;Заблокированая
CardStatusShow;4;Закрытая;246;Закрытая;Закрытая
DocumentStateShow;1;Новый;247;Новый;Новый
DocumentStateShow;2;Подписаный;248;Подписаный;Подписаный
DocumentStateShow;3;Обработка;249;Обработка;Обработка
DocumentTypeShow;1;Тип документа;250;Тип документа;Тип документа
CardLockReason;1;Карта потеряна;401;Карта потеряна;Карта потеряна
CardLockReason;2;Карта украдена;402;Карта украдена;Карта украдена
CardLockReason;3;Компрометация карты;403;Компрометация карты;Компрометация карты
CardLockReason;4;Другие;404;Другие;Другие
CardUnlockReason;1;Карта найдена;405;Карта найдена;Карта найдена
CardUnlockReason;2;Другие;406;Другие;Другие
City;1;Алматы;440;Алматы;Алматы
City;2;Астана;441;Астана;Астана
City;3;Актау;442;Актау;Актау
City;4;Караганда;443;Караганда;Караганда
CustomRequestFieldType;Label;Label;500;Label;Label
CustomRequestFieldType;descr;descr;501;descr;descr
CustomRequestFieldType;Hidden;Hidden;502;Hidden;Hidden
CustomRequestFieldType;Text;Text;503;Text;Text
CustomRequestFieldType;Number;Number;504;Number;Number
CustomRequestFieldType;Email;Email;505;Email;Email
CustomRequestFieldType;MultiLine;MultiLine;506;MultiLine;MultiLine
CustomRequestFieldType;date_type;date_type;507;date_type;date_type
CustomRequestFieldType;Select;Select;508;Select;Select
CustomRequestFieldType;MultiSelect;MultiSelect;509;MultiSelect;MultiSelect
CustomRequestFieldType;Checkbox;Checkbox;510;Checkbox;Checkbox
CustomRequestFieldType;Files;Files;511;Files;Files
LoanTerm;1;1;550;1;1
LoanTerm;2;2;551;2;2
LoanTerm;3;3;552;3;3
LoanTerm;4;4;553;4;4
LoanTerm;5;5;554;5;5
CustomRequestFieldsReference;OrgName;OrgName;560;OrgName;OrgName
CustomRequestFieldsReference;UserName;UserName;561;UserName;UserName
CustomRequestFieldsReference;TaxCode;TaxCode;562;TaxCode;TaxCode
CustomRequestFieldsReference;ChooseAccount;ChooseAccount;563;ChooseAccount;ChooseAccount
CustomRequestFieldsReference;ChooseDeposit;ChooseDeposit;564;ChooseDeposit;ChooseDeposit
CustomRequestFieldsReference;ChooseCredit;ChooseCredit;565;ChooseCredit;ChooseCredit
CustomRequestFieldsReference;ChooseCard;ChooseCard;566;ChooseCard;ChooseCard
CustomRequestCategory;Счета;Счета;580;Счета;Счета
CustomRequestCategory;Кредиты;Кредиты;581;Кредиты;Кредиты
CustomRequestCategory;Депозиты;Депозиты;582;Депозиты;Депозиты
CustomRequestCategory;Карты;Карты;583;Карты;Карты
BooleanType;true;Да;600;Да;Да
BooleanType;false;Нет;601;Нет;Нет
DemandEndPoint;awp;Управление в АРМ;603;Управление в АРМ;Управление в АРМ
DemandEndPoint;email;только email;604;только email;только email
DemandEndPoint;xml;xml;605;xml;xml
RelatedButton;CloseAccount;Закрыть счет;610;Закрыть счет;Закрыть счет
RelatedButton;OpenAccount;Открыть счет;611;Открыть счет;Открыть счет
RelatedButton;OpenDeposit;Открыть депозит;612;Открыть депозит;Открыть депозит
RelatedButton;CloseDeposit;Закрыть депозит;613;Закрыть депозит;Закрыть депозит
RelatedButton;OpenCredit;Открыть кредит;614;Открыть кредит;Открыть кредит
RelatedButton;CloseCredit;Закрыть кредит;615;Закрыть кредит;Закрыть кредит
RelatedButton;CreateCard;Создание карты;616;Создание карты;Создание карты
RelatedButton;ReCreateCard;Создание карты;617;Создание карты;Создание карты
RelatedButton;BlockCard;Блокирование карты;618;Блокирование карты;Блокирование карты
RelatedButton;Cash;Заказ наличности;619;Заказ наличности;Заказ наличности
FeeType;OUR;комиссию оплачивает отправитель;630;комиссию оплачивает отправитель;комиссию оплачивает отправитель
FeeType;SHA;расходы на стороне отправителя платит отправителб, расходы на стороне получателя платит получатель;631;расходы на стороне отправителя платит отправителб, расходы на стороне получателя платит получатель;расходы на стороне отправителя платит отправителб, расходы на стороне получателя платит получатель
FeeType;BEN;расходы по платежу несет получатель;632;расходы по платежу несет получатель;расходы по платежу несет получатель
AccountType;Credit;Кредитный;713;Кредитный;Кредитный
AccountType;Deposit;Депозитный;714;Депозитный;Депозитный
AccountType;Card;Карточный;715;Карточный;Карточный
AccountType;Current;Текущий;716;Текущий;Текущий
Currency;JPY;Японская Иена;794;Японская Иена;Японская Иена
Currency;GBP;Британский фунт;795;Британский фунт;Британский фунт
Currency;CNY;Китайский юань;796;Китайский юань;Китайский юань
StandingType;Weekly;Каждую неделю;900;Каждую неделю;Каждую неделю
StandingType;Monthly;Каждый месяц;901;Каждый месяц;Каждый месяц
StandingType;Every3Months;Каждые 3 месяца;902;Каждые 3 месяца;Каждые 3 месяца
StandingType;Annual;Ежегодно;903;Ежегодно;Ежегодно
ResidencyAndEconomic;11;Резидент. Центральное Правительство.;920;Резидент. Центральное Правительство.;Резидент. Центральное Правительство.
ResidencyAndEconomic;12;Резидент. Региональные и местные органы управления.;921;Резидент. Региональные и местные органы управления.;Резидент. Региональные и местные органы управления.
ResidencyAndEconomic;13;Резидент. Центральные (национальные) банки.;922;Резидент. Центральные (национальные) банки.;Резидент. Центральные (национальные) банки.
ResidencyAndEconomic;14;Резидент. Другие депозитные организации.;923;Резидент. Другие депозитные организации.;Резидент. Другие депозитные организации.
ResidencyAndEconomic;15;Резидент. Другие финансовые организации.;924;Резидент. Другие финансовые организации.;Резидент. Другие финансовые организации.
ResidencyAndEconomic;16;Резидент. Государственные нефинансовые организации.;925;Резидент. Государственные нефинансовые организации.;Резидент. Государственные нефинансовые организации.
ResidencyAndEconomic;17;Резидент. Негосударственные нефинансовые организации.;926;Резидент. Негосударственные нефинансовые организации.;Резидент. Негосударственные нефинансовые организации.
ResidencyAndEconomic;18;Резидент. Некоммерческие организации, обслуживающие домашние хозяйства.;927;Резидент. Некоммерческие организации, обслуживающие домашние хозяйства.;Резидент. Некоммерческие организации, обслуживающие домашние хозяйства.
ResidencyAndEconomic;19;Резидент. Домашние хозяйства.;928;Резидент. Домашние хозяйства.;Резидент. Домашние хозяйства.
ResidencyAndEconomic;21;Нерезидент. Центральное Правительство.;929;Нерезидент. Центральное Правительство.;Нерезидент. Центральное Правительство.
ResidencyAndEconomic;22;Нерезидент. Региональные и местные органы управления.;930;Нерезидент. Региональные и местные органы управления.;Нерезидент. Региональные и местные органы управления.
ResidencyAndEconomic;23;Нерезидент. Центральные (национальные) банки.;931;Нерезидент. Центральные (национальные) банки.;Нерезидент. Центральные (национальные) банки.
ResidencyAndEconomic;24;Нерезидент. Другие депозитные организации.;932;Нерезидент. Другие депозитные организации.;Нерезидент. Другие депозитные организации.
ResidencyAndEconomic;25;Нерезидент. Другие финансовые организации.;933;Нерезидент. Другие финансовые организации.;Нерезидент. Другие финансовые организации.
ResidencyAndEconomic;26;Нерезидент. Государственные нефинансовые организации.;934;Нерезидент. Государственные нефинансовые организации.;Нерезидент. Государственные нефинансовые организации.
ResidencyAndEconomic;27;Нерезидент. Негосударственные нефинансовые организации.;935;Нерезидент. Негосударственные нефинансовые организации.;Нерезидент. Негосударственные нефинансовые организации.
ResidencyAndEconomic;28;Нерезидент. Некоммерческие организации, обслуживающие домашние хозяйства.;936;Нерезидент. Некоммерческие организации, обслуживающие домашние хозяйства.;Нерезидент. Некоммерческие организации, обслуживающие домашние хозяйства.
ResidencyAndEconomic;29;Нерезидент. Домашние хозяйства.;937;Нерезидент. Домашние хозяйства.;Нерезидент. Домашние хозяйства.
CurrencyOperationType;1010;Продажа резидентом иностранной валюты за валюту Российской Федерации;1300;Продажа резидентом иностранной валюты за валюту Российской Федерации;Продажа резидентом иностранной валюты за валюту Российской Федерации
CurrencyOperationType;1030;Покупка резидентом иностранной валюты за валюту Российской Федерации;1301;Покупка резидентом иностранной валюты за валюту Российской Федерации;Покупка резидентом иностранной валюты за валюту Российской Федерации
CurrencyOperationType;1040;Покупка (продажа) резидентом одной иностранной валюты за другую иностранную валюту;1302;Покупка (продажа) резидентом одной иностранной валюты за другую иностранную валюту;Покупка (продажа) резидентом одной иностранной валюты за другую иностранную валюту
CurrencyOperationType;2010;Покупка нерезидентом валюты Российской Федерации за иностранную валюту;1303;Покупка нерезидентом валюты Российской Федерации за иностранную валюту;Покупка нерезидентом валюты Российской Федерации за иностранную валюту
CurrencyOperationType;2020;Продажа нерезидентом валюты Российской Федерации за иностранную валюту;1304;Продажа нерезидентом валюты Российской Федерации за иностранную валюту;Продажа нерезидентом валюты Российской Федерации за иностранную валюту
CurrencyOperationType;10100;Расчеты нерезидента в виде предварительной оплаты резиденту товаров, вывозимых с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 22 настоящего Перечня;1305;Расчеты нерезидента в виде предварительной оплаты резиденту товаров, вывозимых с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 22 настоящего Перечня;Расчеты нерезидента в виде предварительной оплаты резиденту товаров, вывозимых с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 22 настоящего Перечня
CurrencyOperationType;10200;Расчеты нерезидента при предоставлении резидентом отсрочки платежа за товары, вывезенные с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения (отсрочка платежа), за исключением расчетов, указанных в группе 22 настоящего Перечня;1306;Расчеты нерезидента при предоставлении резидентом отсрочки платежа за товары, вывезенные с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения (отсрочка платежа), за исключением расчетов, указанных в группе 22 настоящего Перечня;Расчеты нерезидента при предоставлении резидентом отсрочки платежа за товары, вывезенные с территории Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения (отсрочка платежа), за исключением расчетов, указанных в группе 22 настоящего Перечня
CurrencyOperationType;10800;Расчеты резидента в пользу нерезидента, связанные с возвратом излишне полученных денежных средств при вывозе товаров с территории Российской Федерации, за исключением расчетов по коду 22800;1307;Расчеты резидента в пользу нерезидента, связанные с возвратом излишне полученных денежных средств при вывозе товаров с территории Российской Федерации, за исключением расчетов по коду 22800;Расчеты резидента в пользу нерезидента, связанные с возвратом излишне полученных денежных средств при вывозе товаров с территории Российской Федерации, за исключением расчетов по коду 22800
CurrencyOperationType;11100;Расчеты резидента в виде предварительной оплаты нерезиденту товаров, ввозимых на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 23 настоящего Перечня;1308;Расчеты резидента в виде предварительной оплаты нерезиденту товаров, ввозимых на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 23 настоящего Перечня;Расчеты резидента в виде предварительной оплаты нерезиденту товаров, ввозимых на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (авансовый платеж), за исключением расчетов, указанных в группе 23 настоящего Перечня
CurrencyOperationType;11200;Расчеты резидента при предоставлении нерезидентом отсрочки платежа за товары, ввезенные на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (отсрочка платежа), за исключением расчетов, указанных в группе 23 настоящего Перечня;1309;Расчеты резидента при предоставлении нерезидентом отсрочки платежа за товары, ввезенные на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (отсрочка платежа), за исключением расчетов, указанных в группе 23 настоящего Перечня;Расчеты резидента при предоставлении нерезидентом отсрочки платежа за товары, ввезенные на территорию Российской Федерации, в том числе по договору комиссии (агентскому договору, договору поручения) (отсрочка платежа), за исключением расчетов, указанных в группе 23 настоящего Перечня
CurrencyOperationType;11900;Расчеты нерезидента в пользу резидента, связанные с возвратом излишне полученных денежных средств при ввозе товаров на территорию Российской Федерации, за исключением расчетов по коду 23900;1310;Расчеты нерезидента в пользу резидента, связанные с возвратом излишне полученных денежных средств при ввозе товаров на территорию Российской Федерации, за исключением расчетов по коду 23900;Расчеты нерезидента в пользу резидента, связанные с возвратом излишне полученных денежных средств при ввозе товаров на территорию Российской Федерации, за исключением расчетов по коду 23900
CurrencyOperationType;12050;Расчеты нерезидента в пользу резидента за товары, продаваемые за пределами территории Российской Федерации без их ввоза на территорию Российской Федерации, за исключением расчетов по кодам 22110, 22210, 22300;1311;Расчеты нерезидента в пользу резидента за товары, продаваемые за пределами территории Российской Федерации без их ввоза на территорию Российской Федерации, за исключением расчетов по кодам 22110, 22210, 22300;Расчеты нерезидента в пользу резидента за товары, продаваемые за пределами территории Российской Федерации без их ввоза на территорию Российской Федерации, за исключением расчетов по кодам 22110, 22210, 22300
CurrencyOperationType;12060;Расчеты резидента в пользу нерезидента за товары, продаваемые за пределами территории Российской Федерации без их ввоза на территорию Российской Федерации, за исключением расчетов по кодам 23110, 23210, 23300;1312;Расчеты резидента в пользу нерезидента за товары, продаваемые за пределами территории Российской Федерации без их ввоза на территорию Российской Федерации, за исключением расчетов по кодам 23110, 23210, 23300;Расчеты резидента в пользу нерезидента за товары, продаваемые за пределами территории Российской Федерации без их ввоза на территорию Российской Федерации, за исключением расчетов по кодам 23110, 23210, 23300
