google_id;name_id_en;name_id_ru;name_id_kk
ChIJt4gNHn_Ts0MRnu0H0L7-PIQ;Mamlyutka;п. Мамлютка;п. Мамлют
ChIJHYFPB9bK-UIRm4FBjAOeDkg;Pavlodar;г. Павлодар;г. Павлодар
ChIJ3aOaPTg6skMRb4-TlWwiSVM;Petropavl;г. Петропавловск;г. Петропавл
ChIJD8kjXWUZckIRqoh_pGcx8pQ;Priozersk;Приозёрск;Приозерск
ChIJRSqRq3uN6kIRjiH746yU0mk;Ridder;Риддер;Риддер
ChIJZdusTPICzUMRRc8KXNyFeXs;Rudny;Рудный;Рудный
ChIJWQyZQshxQ0IRcKzEpMXNUN4;Saran;Сарань;Саран
ChIJsfxtOiMZgUIRHyCJiZPZBEY;Sarķand;Сарканд;Сарқан
ChIJzdcTV1yRrjgRHAq_I_DkS1A;Saryagash;Сарыагаш;Сарыағаш
ChIJQ-l2Z1pkPUIRLGOo6zapa2k;Satpayev;Сатпаев;Сәтбаев
ChIJn32bFI5k8kIRz8OVmLIdWh4;Semey;г. Семей;г. Семей
ChIJWaaAujYwlUIR9_A5LRjCP-g;Serebryansk;Серебрянск;Серебрянск
ChIJjYFqUjL7tEMRmVcWmBi9e-w;Sergeevka;Сергеевка;Сергеев
ChIJ1cROwJN0Q0IRhkoB3CvN20A;Shakhtinsk;Шахтинск;Шахтинск
ChIJKw5nYYjhjkERNMFdiyQB8D0;Shalkar;Шалкар;Шалқар
ChIJNQAqKBDyrDgRYp4Tb_sUEo4;Shardara;Шардара;Шардара
ChIJads0WfFNTEIRRCl249SgJi8;Shchuchinsk;Щучинск;Щучинск
ChIJHxtQqxxu7EIRH-zloEMUppE;Shemonaikha;Шемонаиха;Шемонаиха
ChIJW8B6tPXrnzgRpcdrO43SrWg;Shu;Шу;Шу
ChIJu4FmVFbyqDgRmzZb54K1Z6E;Shymkent;г. Шымкент;г. Шымкент
ChIJtaTa1pDgUUIR5X0mjJpckI0;Stepnogorsk;Степногорск;Степногорск
ChIJk8Kx5THHTUIRLtPxmijHyfw;Stepnyak;Степняк;Степняк
ChIJTzNhJdT_fkIRMJSVWzHGCMs;Taldykorgan;г. Талдыкорган;г. Талдықорған
ChIJU83XfICegzgR8JkyNs5fKw0;Talgar;Талгар;Талғар
ChIJr3eOq90CpzgR7I2LxAEf7Bo;Taraz;г. Тараз;г. Тараз
ChIJ8b_tCPDTskMRH09leJLY1ZY;Tayinsha;Тайынша;Тайынша
ChIJV30A7RK_f0IRi4KDqtQAco0;Tekeli;г. Текели;г. Текелі
ChIJM-ZE-XichEERlpjct53XGls;Temir;Темир;Темир
ChIJ7-PcJOZYQ0IRmeTsTuSN81M;Temirtau;Темиртау;Теміртау
ChIJv8amYGHCAEIRdXjFeTkxWsI;Turkistan;Туркестан;Түркістан
ChIJfUv5dji6cUERG8xqWfPwcWc;Uralsk;г. Уральск;г. Орал
ChIJdwkRNZJdhEIRpkTESKE5nQE;Usharal;Ушарал;Yшарал
ChIJzSf6oyfrfkIRJthtK_HI7IY;Ushtobe;Уштобе;Үштөбе
ChIJqck09tBF60IR5QRki6uN-ns;Ust'-Kamenogorsk;г. Усть-Каменогорск;г. Өскемен
ChIJabahTqE3vUIRgUvlw_ANzIA;Zaysan;Зайсан;Зайсан
ChIJURbKF_bEyUER7U8X_FEUruk;Zhanaozen;Жанаозен;Жаңаөзен
ChIJ1XGruSK5B0IRL2AIaPAGlt4;Zhanatas;Жанатас;Жаңатас
ChIJveDy5qmmfzgRx0mWNSJKN7M;Zharkent;Жаркент;Жаркент
ChIJFTlnFIMj00MRnKoDx9OxYr8;Zhetikara;Житикара;Жітіқара
ChIJ0ZBuaKiirTgRp_YI_mQE8Xc;Zhetisay;Жетысай;Жетісай
ChIJXyXVLoTXF0IRFpE5LZYaJ90;Zhezqazghan;Жезказган;Жезқазған
ChIJl87ooMnxv0IRhfLzAM_ZLQg;Zyryanovsk;Зыряновск;Зырян
ChIJ_dc0zpP_90ERTsgSAuof-IY;Kyzylorda;г. Кызылорда;г. Кызылорда
