is_deleted;name;field_type;is_need_for_sign
0;internBeneficiary.intermediaryBankName;InternationalTransfer;1
0;internBeneficiary.intermediaryBankCode;InternationalTransfer;1
0;internBeneficiary.intermediaryBankCountry;InternationalTransfer;1
0;internBeneficiary.intermediaryCorrAccount;InternationalTransfer;1
0;internBeneficiary.intermediaryBankCity;InternationalTransfer;1
0;internBeneficiary.intermediaryBankAddress;InternationalTransfer;1
0;feeAccount.number;InternationalTransfer;1
0;feeAccount.currency;InternationalTransfer;1
0;payment.valueDate;InternationalTransfer;1
0;payment.amount;InternationalTransfer;1
0;payment.purposeCode;InternationalTransfer;1
0;payment.purpose;InternationalTransfer;1
0;payment.account.currency;InternationalTransfer;1
0;payment.account.number;InternationalTransfer;1
0;payment.beneficiary.taxCode;InternationalTransfer;1
0;payment.beneficiary.name;InternationalTransfer;1
0;payment.beneficiary.residencyAndEconomicCode;InternationalTransfer;1
0;payment.beneficiary.account;InternationalTransfer;1
0;payment.beneficiary.bankCode;InternationalTransfer;1
0;payment.document.number;InternationalTransfer;1
0;payment.document.created;InternationalTransfer;1
0;payment.document.info;InternationalTransfer;1
0;payment.document.customer.organization.intlName;InternationalTransfer;1
0;payment.document.customer.organization.taxCode;InternationalTransfer;1
0;payment.document.customer.organization.residencyAndEconomicCode;InternationalTransfer;1
0;payment.document.director.userAccount.shortName;InternationalTransfer;1
0;payment.document.accountant.userAccount.shortName;InternationalTransfer;1

0;expireDate;ExposedOrder;1
0;bankMessage;ExposedOrder;1
0;vat;ExposedOrder;1
0;payer.name;ExposedOrder;1
0;payer.taxCode;ExposedOrder;1
0;payer.account;ExposedOrder;1
0;payer.residencyAndEconomicCode;ExposedOrder;1
0;payer.bankCode;ExposedOrder;1
0;payment.valueDate;ExposedOrder;1
0;payment.amount;ExposedOrder;1
0;payment.purposeCode;ExposedOrder;1
0;payment.purpose;ExposedOrder;1
0;payment.account.currency;ExposedOrder;1
0;payment.account.number;ExposedOrder;1
0;payment.document.number;ExposedOrder;1
0;payment.document.created;ExposedOrder;1
0;payment.document.info;ExposedOrder;1
0;payment.document.customer.organization.name;ExposedOrder;1
0;payment.document.customer.organization.taxCode;ExposedOrder;1
0;payment.document.customer.organization.residencyAndEconomicCode;ExposedOrder;1
0;payment.document.director.userAccount.shortName;ExposedOrder;1
0;payment.document.accountant.userAccount.shortName;ExposedOrder;1

0;type;StandingOrder;1
0;periodic;StandingOrder;1
0;startDate;StandingOrder;1
0;finishDate;StandingOrder;1
0;standingDate;StandingOrder;1
0;draftDocument.number;StandingOrder;1
0;draftDocument.created;StandingOrder;1
0;draftDocument.info;StandingOrder;1
0;draftDocument.customer.organization.name;StandingOrder;1
0;draftDocument.customer.organization.taxCode;StandingOrder;1
0;draftDocument.customer.organization.residencyAndEconomicCode;StandingOrder;1
0;draftDocument.director.userAccount.shortName;StandingOrder;1
0;draftDocument.accountant.userAccount.shortName;StandingOrder;1
0;request.document.type;StandingOrder;1
0;request.document.created;StandingOrder;1
0;request.document.customer.organization.name;StandingOrder;1
0;request.document.customer.organization.taxCode;StandingOrder;1
0;request.document.customer.organization.residencyAndEconomicCode;StandingOrder;1
