customer_id;created;document_number;document_state;document_type;director_id;workflow_state_id;custom_request_type_id;is_template;template_name;bank_response;manager;updated
Частный клиент;2017-06-01 08:00:00;12/2I;AwaitsSignature;InternationalTransfer;62;3;null;0;null;;;2017-08-22 11:23:00
Частный клиент;2017-06-01 08:00:00;12/3I;Draft;InternationalTransfer;62;2;null;0;null;;;2017-08-22 11:24:00
Частный клиент;2017-06-01 08:00:00;12/4A;AcceptedInRBS;AccountTransfer;62;7;null;0;null;;;2017-08-22 11:25:00
Частный клиент;2017-06-01 08:00:00;12/5A;AcceptedInRBS;AccountTransfer;62;7;null;0;null;;;2017-08-22 11:26:00
ТОО БЕТОН;2017-06-01 08:00:00;12/6E;Draft;ExposedOrder;1;25;null;0;null;;;2017-08-22 11:27:00
ТОО БЕТОН;2017-06-01 08:00:00;12/7E;Signed;ExposedOrder;1;27;null;0;null;;;2017-08-22 11:28:00
ТОО БЕТОН;2017-06-01 08:00:00;12/8E;Signed;ExposedOrder;1;27;null;0;null;;;2017-08-22 11:29:00
ТОО БЕТОН;2017-06-01 08:00:00;12/9E;AwaitsSignature;ExposedOrder;1;26;null;0;null;;;2017-08-22 11:30:00
ТОО БЕТОН;2017-06-01 08:00:00;12/10E;Draft;ExposedOrder;1;25;null;0;null;;;2017-08-22 11:31:00
ТОО БЕТОН;2017-06-01 08:00:00;12/11E;Draft;ExposedOrder;1;25;null;0;null;;;2017-08-22 11:32:00
ТОО БЕТОН;2017-06-01 08:00:00;12/12E;Draft;ExposedOrder;1;25;null;0;null;;;2017-08-22 11:33:00
ТОО БЕТОН;2017-06-01 08:00:00;11/13inv;Accepted;Invoice;1;55;null;0;null;;;2017-08-22 11:34:00
ТОО БЕТОН;2017-06-01 08:00:00;11/14inv;Accepted;Invoice;1;55;null;0;null;;;2017-08-22 11:35:00
ТОО БЕТОН;2017-06-01 08:00:00;11/15inv;Pay;Invoice;1;56;null;0;null;;;2017-08-22 11:36:00
ТОО БЕТОН;2017-06-01 08:00:00;11/16inv;Accepted;Invoice;1;55;null;0;null;;;2017-08-22 11:37:00
ТОО БЕТОН;2017-06-01 08:00:00;17/2D;AcceptedInRBS;DomesticTransfer;1;7;null;0;null;Системная ошибка;Oleg Poliukhovych;2017-08-22 11:38:00
ТОО БЕТОН;2017-06-01 08:00:00;17/24D;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:39:00
ТОО БЕТОН;2017-06-01 08:00:00;11/6AI;Draft;DocumentWithdraw;1;13;null;0;null;;;2017-08-22 11:40:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1FF;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:41:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1ZE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:42:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1GE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:43:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1JE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:44:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1KE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:45:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1LE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:46:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1ME;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:47:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1WE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:48:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1VE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:49:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1UE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:50:00
ТОО БЕТОН;2017-06-01 08:00:00;12/1UE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:51:00
ТОО БЕТОН;2017-06-01 08:00:00;11/1OE;Return;DomesticTransfer;1;7;null;0;null;Возврат в связи с ...;Roman Troyan;2017-08-22 11:52:00
