en;ru;uk;kk;translation_key
Account Purpose;Назначение счета;Призначення рахунку;Назначение счета;accountPurpose
Account;Счет;Рахунок;Счет;custom_field_account
Close condition;Условие Закрытия;Умова Закриття ;Условие Закрытия;custom_field_close_condition
unused sheets Rooms in checkbook;Номера неиспользованных листов в чековой;Номери невикористаних листків в чековій книжці;Номера неиспользованных листов в чековой;custom_field_unused_sheet
The reason for account closure;Причина закрытия счета;Причина закриття рахунку;Причина закрытия счета;custom_field_acc_closure_reason
Deposit type;Вид депозита;Вид депозиту;Салымның түрі;custom_field_deposit_type
Deposit currency;Валюта депозита;Валюта депозиту;Салым валютасы;custom_field_deposit_currency
Length of deposit;Срок депозита;Строк депозиту;Салымның мерзімі;custom_field_loan_term
confirmation;Подтверждение;Підтвердження;Подтверждение;custom_field_confirmation
text agreement;Текст Соглашения;Текст угоди;Текст Соглашения;custom_field_text_agreement
deposit agreement;Назначение вклада;Призначення вкладу;Назначение вклада;custom_field_deposit_agreement
Deposit;Депозит;Депозити;Депозит;custom_field_deposit
Account for transfer;Счет для перечисления;Рахунок для перерахування;Аударуға арналған шот;custom_field_account_for_transfer
close reason;Причина закрытия;Причина закриття;Причина закрытия;custom_field_close_reason
Loan type;Вид займа;Вид займу;Вид займа;custom_field_loan_type
Loan Currency;Валюта займа;Валюта займу;Валюта займа;custom_field_loan_currency
Loan term;Срок займа;Строк займу;Срок займа;custom_field_loan_term_2
Loan amount;Сумма Займа;Сума займу;Сумма Займа;custom_field_loan_amount
Scanned copies of documents;Сканированные копии документов;Скановані копії документів;Сканированные копии документов;custom_field_scanned_copies
confirmation of the loan;Подтверждение займа;Підтвердження займу;Подтверждение займа;custom_field_confirmation_loan
text agreement;Текст соглашения;Текст угоди;Текст соглашения;custom_field_text_agreement_2
Loan purpose;Назнаения займа;Призначення займу;Назнаения займа;custom_field_loan_purpose
The agreement on the opening of accounts;Согласие с условием открытия счета;Згода з умовою відкриття рахунку;Согласие с условием открытия счета;agreementOpeningAccounts
Credit;Кредит;Кредити;Кредит;custom_field_credit
maturity value;Сумма погашения;Сума погашення;Сумма погашения;custom_field_maturity_value
Principal debt;Сумма основного долга;Сума основного боргу;Сумма основного долга;custom_field_principal_debt
Changing the payment schedule;Изменение графика платежа;Зміна графіку платежу;Изменение графика платежа;custom_field_payment_schedule
Type of card products;Вид карточного продукт;Вид карточного продукту;Вид карточного продукт;custom_field_type_card_products
Currency card;Валюта карты;Валюта карти;Валюта карты;custom_field_currency_card
confirmation;Подтверждение;Підтвердження;Подтверждение;custom_field_confirmation_2
text of the agreement;Текст соглашения;Текст угоди;Текст соглашения;custom_field_text_agreement_3
Appointment cards;Назначение карты;Призначення карти;Назначение карты;custom_field_appointment_cards
card;Карта;Карта;Карта;custom_field_card
Ground of re-issue;Причина перевыпуска;Причина перевипуску;Қайта шығару себебі;custom_field_reason_reissue
CASH;НАЛИЧНЫЙ;Готівковий;НАЛИЧНЫЙ;exchange_rate_cash
CASHLESS;БЕЗНАЛИЧНЫЙ;БЕЗГОТІВКОВИЙ;БЕЗНАЛИЧНЫЙ;exchange_rate_cashless
NATIONAL;НАЦИОНАЛЬНЫЙ БАНК;Національний банк України;НАЦИОНАЛЬНЫЙ БАНК;exchange_rate_national
CROSS;КРОСС;КРОС;КРОСС;exchange_rate_cross
Pound sterling;Фунт стерлингов;Фунт стерлінгів;Фунт стерлинг;currency_gbr
Quick Links;Быстрые ссылки;Швидкі посилання;Быстрые ссылка;m_quick_link
Edit;Редактировать;Редагувати;Редактировать;m_quicklink_edit
Certificates reissuing;Перевыпуск сертификатов;Перевипуск сертифікатів;Перевыпуск сертификатов;m_cert_reissuing
Load accounts;Загрузка счетов;Загрузка рахунків;Загрузка счетов;job_ACCOUNT
Load exchange rate;Запрос курсов валют;Загрузка курсів валют;Запрос курсов валют;job_EXCHANGE_RATE
Request document state;Запрос состояния документа;Запит статусу документу;Запрос состояния документа;job_DOC_STATE_CHANGED
International transfer;Международный перевод;Міжнародний перевод;Международный перевод;job_EXPORT_INTERNATIONAL
Account transfer;Перевод между своими счетами;Платежі між власними рахунками;Перевод между своими счетами;page_inner_transactions
Domestic transfer;Перевод в национальной валюте;Платіж в національній валюті;Перевод в национальной валюте;job_EXPORT_DOMESTIC_TRANSFER
Integration tasks;Задачи интеграции;Завдання інтеграції;Задачи интеграции;job_group_integration
Document tasks;Задачи по документам;Завдання по документах;Задачи по документам;job_group_documents
Exposed documents;Выставленные счета;Виставлені рахунки;Выставленные счета;job_exposedOrder
Currency rate type;Типы курсов валют;Типи курсів валют;Типы курсов валют;job_CURRENCY_RATE_TYPE
Regions;Регионы;Регіони;Регионы;job_REGION
Integration;Интеграция;Інтеграція;Интеграция;job_common
Cities;Города;Міста;Города;job_CITY
Notifications;Уведомления;Повідомлень;Уведомления;job_NOTIFICATIONS
Directory of Russian banks;Справочник Российские банки;Довідник Російські банки;Справочник Российские банки;job_RU_BANK
Deposits;Депозиты;Депозити;Депозиты;job_DEPOSIT
Deposit kinds;Виды депозитов;Види депозитів;Виды депозитов;job_DEPOSIT_KIND
Credit kinds;Виды кредитов;Види кредитів;Виды кредитов;job_CREDIT_KIND
Credit payment kinds;Виды платежей по кредитам;Види платежів по кредитах;Виды платежей по кредитам;job_CREDIT_PAYMENT_KIND
Card product kinds;Виды карточных продуктов;Види карткових продуктів;Виды карточных продуктов;job_CARD_PRODUCT_KIND
Card kinds;Виды карт;Види карт;Виды карт;job_CARD_KIND
Currency;Валюта;Отримання списку валют;Валюта;job_CURRENCY
Calendar;Календарь рабочих дней;Календар робочих днів;Календарь рабочих дней;job_CALENDAR
Service Point;Банкоматы / отделения / терминалы;Банкомати / Відділення / Термінали;Банкоматы / отделения / терминалы;job_SERVICE_POINT
Service Point Schedule;Режим работы банкоматов / отделений / терминалов; Режим роботи банкоматів / відділень / терміналів;Режим работы банкоматов / отделений / терминалов;job_SERVICE_POINT_SCHEDULE
Create new document;Создать новый документ;Створити новий документ;Создать новый документ;common_createDocument
Show the balance of all accounts;Показать остаток по всем счетам;Відобразити залишок за всіма рахунками;Показать остаток по всем счетам;common_showBalance
Go to the;Перейти на;Перейти на;Перейти на;notFound_go_to_the
Incorrect login or password;Неверный логин или пароль;Невірний логін або пароль;Неверный логин или пароль;login.IncorrectLoginOrPassword
No valid keys;Валидные ключи отсутствуют;Валідні ключі відсутні;Валидные ключи отсутствуют;docSigning_noValidKeys
Export to 1C;Экспорт в 1C;Експорт в 1С;Экспорт в 1C;domestic_documentExport1c
The start date must precede the end date;Дата начала действия должна предшествовать дате окончания;Дата початку дії має випереджати дату завершення ;Дата начала действия должна предшествовать дате окончания;exchangeRate.date.conflict
Agree With Condition;Согласие с условием открытия счета;Згода з умовою відкриття рахунку;Согласие с условием открытия счета;demandCreate_agreeWithCondition
tax code repeated;ИИН повторяется;ІПН повторюється;ИИН повторяется;paymentOrder_taxCodeRepeated
error in;ошибка в;Помилка в ;ошибка в;common_error_in
Message:;Message:;Message:;Message:;error.message
Input Error;Ошибка ввода;Помилка вводу;Ошибка ввода;common_InputError
Enter login;Укажите логин;Вкажіть логін;Укажите логин;login_enter_login
Password;Пароль;Пароль;Пароль;login_factor_Password
Executor id;Идентификатор Пользователя(Id в системе);Ідентифікатор користувача (id в системі);Идентификатор Пользователя(Id в системе);EventsExcelCreator.ExecutorId
Sign in;Вход в систему;Вхід в систему;Вход в систему;login_title
Dictionary type;Тип справочника;Тип довідника;Тип справочника;global_settings.constants.table.col.handbook_type
Max length is 1000 symbols;Максимальная длина 1000 символов!;Максимальна довжина 1000 символів!;Максимальная длина 1000 символов!;global_settings.constants.validation.max.1000
1 deposit is selected;1 депозит выбран;1 депозит обрано;1 депозит выбран;oneDepositIsSelected
Document number;Документ номер;Документ номер;Документ номер;upload_docNumber
Make visible;Сделать видимым;Зробити видимим;Сделать видимым;common_makeVisible
Incorrect current password;Неверный текущий пароль;Невірний поточний пароль;Неверный текущий пароль;personal_incorrectCurrentPass
For Month;За месяц;За місяць;За месяц;common_forMonth
Cash sale;Продажа Наличный;Продаж Готівковий;Продажа Наличный;CASH_SALE
Executor name;ФИО;ПІБ;Ф.И.О.;EventsExcelCreator.ExecutorName
Your request cannot be processed;Your request cannot be processed;Your request cannot be processed;Your request cannot be processed;error.title
Error while trying to sign the doc;Возникла ошибка при подписи документа;Виникла помилка при підписанні документу;Возникла ошибка при подписи документа;signature.signError
Your profile deleted;Ваш профиль удален;Ваш профіль видалено;Ваш профиль удален;login.ProfileDeleted
Auth factor name;Название фактора авторизации;Назва фактору авторизації;Название фактора авторизации;authfactor_name
Incorrect SMS password;Неверный смс пароль;Невірний sms-пароль;Неверный смс пароль;login.IncorrectSMSPassword
Sent to bank;Отправить в банк;Відправити в банк;Отправить в банк;paymentOrder_sentToBank
Signature is not required;Подпись не требуется;Підпис не вимагається;Подпись не требуется;signature.signIsNotRequired
Login;Логин;Логін;Логин;UsersExcelCreator.Login
Subject user name;ФИО;ПІБ;Ф.И.О.;EventsExcelCreator.SubjectName
beneficiary Tax Code;налоговый код бенефициара;Податковий код бенефеціара;налоговый код бенефициара;common_benefTaxCode
Dispaly certificate;Показать сертификат;Відобразити сертифікат;Показать сертификат;companyperson_certificate_display
Balance by all accounts;Остаток по всех счетах;Залишок коштів за всіма рахунками;Остаток по всех счетах;common_balanceByAllAccounts
Corporate card details;Детали корпоративной карты;Деталі корпоративної карти;Детали корпоративной карты;corporateCardDetails
Активен;Активен;Активний;Активен;organization.active
Hide closed accounts;Скрыть закрытые счета;Приховати закриті рахунки;Скрыть закрытые счета;common_hideClosedAccounts
Overdue;Просрочен;Прострочений;Просрочен;common_overdue
Message Filter Settings;Настройки фильтра сообщений;Налаштування фільтру повідомлень;Настройки фильтра сообщений;letterFilterSettings
Cashless purchase;Покупка Безналичный;Купівля Безготівковий;Покупка Безналичный;CASHLESS_PURCHASE
The user is not defined;Пользователь не определен;Користувача не визначено;Пользователь не определен;workflow_userNotDetected
Payer account and receiver account shouldn`t duplicate;Счет отправителя и счет получателя не должны быть одинаковыми;Рахунок відправника і рахунок отримувача не можуть бути однаковими;Счет отправителя и счет получателя не должны быть одинаковыми;paymentOrder_dontDuplicateAccount
Open deposit;Открыть депозит;Відкрити депозит;Открыть депозит;common_openDeposit
Document Import from 1c;Импорт документов из 1с;Імпорт документів з 1с;Импорт документов из 1с;common_documentImport1c
purpose payment;назначение платежа;Призначення платежу;назначение платежа;common_purpose
Kind documents;Вид документов;Вид документів;Вид документов;common_kindDocument
Unblocking;Разблокировка;Розблокування;Разблокировка;unblocking
save Document;Сохранить Документ;Зберегти документ;Сохранить Документ;common_saveDocument
Choose key store;Выберите хранилище ключей;Виберіть сховище даних;Выберите хранилище ключей;docSigning_chooseProfile
Min length is 6 symbols;Минимальная длина 6 символов;Мінімальна довжина 6 символів;Минимальная длина 6 символов;auth.opt.token.min_length
Total file size should not exceed;Общий размер файлов не должен превышать;Загальний розмір файлів не моде перевищувати;Общий размер файлов не должен превышать;common_totalFileSizeShouldNotExceed
The sum of all of outstanding payments;Сумма всех неисполненных платежей;Сума всіх невиконаних платежів;Сумма всех неисполненных платежей;nonOutstandingPayments
Post international zip;Международный почтовый индекс;іжнародний поштовий індекс;Международный почтовый индекс;common_intZip
Cash;Наличные;Готівкові;Наличные;CASH
Load keys;Получить ключи;Отримати ключі;Получить ключи;docSigning_loadKeys
Организации;Организации;Організації;Организации;excel.organizations
 deposits are selected; депозитов выбрано;депозитів обрано; депозитов выбрано;depAreSelected
Inoperability;Неработоспособность;Непрацездатність;Неработоспособность;IsInoperability
Personal page;Персональная страница;Персональна сторінка;Персональная страница;personal_index
exposeOrder list;Выставленные мной счета список;Виставлені мною рахунки перелік;Выставленные мной счета список;exposeOrder.list
Create counterparty;Создать контрагента;Створити контрагента;Создать контрагента;counterparty_create
Account number repeated;Номер счета повторяется;Номер рахунку повторюється;Номер счета повторяется;counterparty_accountNumberRepeated
Чтобы войти в систему, нажмите;Чтобы войти в систему, нажмите;Щоб увійти в систему, натисніть;Чтобы войти в систему, нажмите;errorpage419_message
Purchase;Покупка;Купівля;Покупка;PURCHASE
The signing of the document;Подписание документа;Підписання документу;Подписание документа;docSigning_title
Add account;Добавить счет;Додати рахунок;Добавить счет;counterparty_addAccount
Last login;Последнне продление;Остання пролонгація;Последнне продление;sessions_valid_to
View/edit counterparty;Просмотр/редактирование контрагента;Перегляд / Редагування контрагента;Просмотр/редактирование контрагента;counterparty_edit
Cross-course;Кросс-курс;Крос-курс;Кросс-курс;CROSS
Login must be less than 10 chars;Логин должен быть меньше 10 символов;Логін має бути менше 10 символів;Логин должен быть меньше 10 символов;login_login_req
Close filter;Закрыть фильтр;Закрити фільтр;Закрыть фильтр;requests_closefiler
Login;По логину;По логіну;По логину;login__passwordtab
Sign in with login and password;Войти по логину и паролю;Увійти по логіну та паролю;Войти по логину и паролю;login_enter_loginpass
Deposits sum;Сумма депозитов;Сума депозитів;Сумма депозитов;depositsSum
The calendar is updated!;Календарь обновлён!;Календар оновлено!;Календарь обновлён!;calendarIsUpdated
Users;Пользователи;Користувачі;Пользователи;UsersExcelCreator.Title
Sorry, an error has occurred.;Sorry, an error has occurred.;Sorry, an error has occurred.;Sorry, an error has occurred.;error.subtitle
Answer;Ответ;Відповідь;Ответ;answer
Dictionary: Local banks;Справочник: Локальные банки;Довідник: Локальні банки;Справочник: Локальные банки;banks_handbookLocalBanks
Пользователь с таким логином уже существует;Пользователь с таким логином уже существует;Користувач з таким логіном вже існує;Пользователь с таким логином уже существует;common.validation.creation.customer.id.exist
No profiles;Профили отсутствуют;Профілі відсутні;Профили отсутствуют;docSigning_noValidProfiles
Работа с ОТП токенами;Работа с ОТП токенами;Робота з OTP-токенами;Работа с ОТП токенами;navigation_otp
Detail;Детали;Деталі;Детали;common_detail
Country code/Country:;Код страны/Страна:;Код країни/Країна:;Код страны/Страна:;counterparty_countryCodeCountry
Back;Назад;Назад;Назад;back
Try dropping file with otp tokens here, or click to select file to upload;Перетяните сюда файл с отп токенами или кликните для вибора файла;Перетягніть сюди файл з ОТП токенами або клікніть для вибору файлу;Перетяните сюда файл с отп токенами или кликните для вибора файла;otp.import.downloadArea
Cashless sale;Безналичный продажа;Безготівковий продаж;Безналичный продажа;exchangeRates_cashlessSale
Extended filter;Расширенный фильтр;Розширений фільтр;Расширенный фильтр;common_full_search
Create a new Channel;Создать новый канал;Створити новий канал;Создать новый канал;createNewChannel
1 account is selected;1 счёт выбран;1 рахунок обрано;1 счёт выбран;common_oneAccountSelected
Channel (Web, mob);Канал;Канал;Канал;EventsExcelCreator.Channel
Create new payment withdraw;Создать заявление на отзыв платежа;Створити заявку на відкликання платежу;Создать заявление на отзыв платежа;withdraw_create
Date;Дата;Дата;Дата;withndraw_doc_date
More news;Ещё новости;Ще новини;Ещё новости;moreNews
Additional authentication;Дополнительная аутентификация;Додаткова аутентифікація;Дополнительная аутентификация;additionallogin_title
No more;Не более;Не більше;Не более;noMore
Close the deposit;Закрыть депозит;Закрити депозит;Закрыть депозит;common_closeDeposit
Blocked amount;Заблокированная сумма;Заблокована сума;Заблокированная сумма;blockedAmount
The calendar is saved;Календарь сохранён!;Календар збережено!;Календарь сохранён!;calendarIsSaved
Job manegement;Управления задачами;Управління задачами;Управления задачами;navigation_job_management
Enter the password;Введите пароль;Введіть пароль;Введите пароль;docSigning_inputPassword
Action with a letter;Дейсвия с письмом;Дії з листом;Дейсвия с письмом;letterActions
Viewing/Editing an ATM/Branch/Terminal;Просмотр и редактирование Банкомата/отделения/терминала;Перегляд і редагування Банкомату / відділення / терміналу;Просмотр и редактирование Банкомата/отделения/терминала;viewingEditingAtmBranchTerminal
Не оплачен;Не оплачен;Не оплачений;Не оплачен;document.state.Accepted
Available in chat;Доступность в чате;Доступність в чаті;Доступность в чате;managerView_isChat
The document state is final;Состояние документа финальное;Стан документу фінальний;Состояние документа финальное;workflow_stateisfinal
International;Международное;Міжнародне;Международное;international
Cities;Города;Міста;Города;cities
Viewing organizations;Просмотр организации;Перегляд підпиємства;Просмотр организации;viewingOrganization
Bank SWIFT;БИК/SWIFT Банка;BIC/SWIFT Банку;БИК/SWIFT Банка;counterparty_bankCode
Header;Заголовок;Назва;Заголовок;header
