id;ru;ua;translation_key
3064;№ кредитного договора, Наименование организации, БИН организации;Номер кредитного договору, Назва підприємства, BIN пыдприэмства;creditNumberOrgNameOrgBin
3347;№ основного документа;№ основного документу;withdraw_doc_num
2564;№ отзыва;№ відклику;withdraw_num
2530;№ счёта, Наименование организации, БИН организации;№ рахунку, Назва підприємства, BIN підприємства;accountNumberOrgNameOrgBin
3581;PDF;PDF;common_exporttopdf
1897;Podtverzhdenie {0} dokumentov. Kod podtverzhdeniya: {1}. Nikomu ne govorite kod!;Podtverzhdenie {0} dokumentov. Kod podtverzhdeniya: {1}. Nikomu ne govorite kod!;document_confirmationSMSgroup
1896;Podtverzhdenie dokumenta. Kod podtverzhdeniya: {0}. Nikomu ne govorite kod!;Podtverzhdenie dokumenta. Kod podtverzhdeniya: {0}. Nikomu ne govorite kod!;document_confirmationSMS
1551;Predefined value;Predefined value;global_settings.constants.predefined_value
1768;Profile;Profile;property_PROFILE
1769;ProfilePassword;ProfilePassword;property_PROFILE_PASSWORD
1719;Raiffeisen Bank International A.G. Vienna, Austria;Raiffeisen Bank International A.G. Vienna, Austria;EUR_CORRESPONDENT_BANK_NAME_2
1697;Raiffeisen Bank International AG;Raiffeisen Bank International AG;EUR_CORRESPONDENT_BANK_NAME
1525;Regards,;Regards,;email.reset.text2
1573;Regards,;Regards,;email.activation.text2
3395;Request URL;Request URL;requests_url
1557;Returns;Returns;navigation_refunds
1723;SBERBANK;SBERBANK;RUB_CORRESPONDENT_BANK_NAME_1
1787;SMPP HOST;SMPP HOST;translation_34
1792;SMPP NPI;SMPP NPI;translation_39
1790;SMPP PASSWORD;SMPP PASSWORD;translation_37
1788;SMPP PORT;SMPP PORT;translation_35
1791;SMPP TON;SMPP TON;translation_38
1789;SMPP USER;SMPP USER;translation_36
2839;SMS;SMS;customeruser_sms
3296;SMS;SMS;authfactorcreate_SMS
2971;SMS-пароль;SMS-пароль;login_sms_password
3954;SMS-пароль;SMS-пароль;login_factor_SMS
1408;Sorry, an error has occurred.;Sorry, an error has occurred.;error.subtitle
1604;Status:;Status:;error.status
2866;SWIFT код;SWIFT код;swiftCode
1899;THE BANK OF NEW YORK MELLON;THE BANK OF NEW YORK MELLON;VTB_USD_CORRESPONDENT_BANK_1
1902;THE ROYAL BANK OF SCOTLAND, LONDON;THE ROYAL BANK OF SCOTLAND, LONDON;VTB_GBP_CORRESPONDENT_BANK_1
1776;URL шины банка;URL шини банку;property_INTEGRATION_ABS_URL
2804;VIN код;VIN код;paymentOrder_vinCode
2881;VIN код не предусмотрен;VIN код не передбачено;paymentOrder_vinCodeNotProvide
1901;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB_EUR_CORRESPONDENT_BANK_1
1903;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB_GBP_CORRESPONDENT_BANK_2
1539;Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;email.creation.text1
1572;Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;email.activation.text1
1353;Your request cannot be processed;Your request cannot be processed;error.title
1952;Авиабилеты;Авіаквитки;flights
1953;Авиабилеты;Авіаквитки;flights_full
1909;Австралийский доллар;Австралійський долар;currency_aud
1494;Автентификация по токену Вам не доступна;Послуга аутентифікації по токену Вам недоступна;otp.otp_auth_not_allowed
2659;Автозаполнение реквизитов;Автозаповнення реквізитів;AutoFilling
3478;Автономный генератор;Автономний генератор;authfactorcreate_generator
1889;Авторизация не возможна. Попробуйте через 5 минут.;Авторизація неможлива. Спробуйте через 5 хвилин.;smsSenderError
3829;Агрегаторы услуг;Агрегатори послуг;provider_service_providers
3126;Адрес;Адреса;common_address
3267;Адрес;Адреса;intTransfer_recipientBankAddress
2731;Адрес (Банка Посредника);Адреса (Банку - Посередника);intTransfer_agentBankAddress
1883;Адрес LDAP сервера;Адреса LDAP серверу;property_EDS_URL_LDAP
1882;Адрес OCSP сервера;Адрес аOCSP серверу;property_EDS_URL_OCSP
1884;Адрес WebRA сервера;Адреса WebRA серверу;property_EDS_URL_WEBRA
1888;Адрес где хранятся все логотипы услуг провайдеров;Адреса, де зберігаються усі логотипи послуг провайдерів;property_service_constant_logo_url
1367;Активен;Активний;organization.active
3281;Активен;Активний;organization.grid.active
2701;Активировать;Активувати;common_activate
2809;Активный;Активний;signingrules_active
3445;Активный;Активний;sessions_active
3551;Активный;Активний;customeruser_active
1716;Акционерное общество "AsiaCredit Bank (АзияКредит Банк)";Акціонерне товариство "AsiaCredit Bank (АзияКредит Банк)";bank_owner_full_name
1730;Акционерное общество "BANK EXPOCREDIT (БАНК ЭКСПОКРЕДИТ)";Акціонерне товариство "BANK EXPOCREDIT (БАНК ЭКСПОКРЕДИТ)";translation_24
1507;Алгоритм;Алгоритм;algorithm
1729;АО "AsiaCredit Bank (АзияКредит Банк)";АТ "AsiaCredit Bank (АзияКредит Банк)";property_asia_bank
1731;АО "Bank Expocredit (Банк Экспокредит)";АТ "Bank Expocredit (Банк Экспокредит)";translation_25
1703;АО «Банк ЭкспоКредит»;АТ «Банк ЭкспоКредит»;KZT_BANK_NAME
2617;Арестованная сумма;Заарештована сума;common_arrestedSum
3755;Архив новостей;Історія новин;archive_news
1978;База содержит более чем одного клиента с таким БИН/ИНН;База включає більш ніж одного клієнта з таким BIN/ІПН;double_tax_code_in_db
3112;Базовая валюта;Базова валюта ;exchangeRates_baseCurrency
2848;Базовая валюта и вторая валюта не могут иметь один и тот же isoCode;Базова валюта і інша валюта не можуть мати однаковий isoCode;exchangeRate.currency.id.conflict
4147;Баланс;Баланс;paymentOrder_balance1
2895;Банк;Банк;bank
1904;Банк ВТБ (ПАО), Москва, Россия;Банк ВТБ (ПАО), Москва, Росія;VTB_RUB_CORRESPONDENT_BANK_1
3364;Банк плательщика;Банк Платника;payersBank
2587;Банк получателя;Банк отримувача;receiversBank
3423;Банк Получателя;Банк отримувача;intTransfer_beneficiaryBankDetails
2852;Банк Посредник;Банк Посередник;intTransfer_agentBankRequisites
3646;Банк посредник;Банк Посередник;bank_correspondent
2824;Банки;Банки;navigation_banks
1188;Банковские справочники;Банківські довідники;m_bank_hb
2762;Банковские справочники;Банківські довідники;bankHandbooks
1326;Банкоматы / отделения / терминалы;Банкомати / Відділення / Термінали;job_SERVICE_POINT
3219;Банкоматы/отделения/терминалы;Банкомати / Відділення / Термінали;atmBranchesTerminals
3756;Без шаблона;Без шаблону;without_temp
3014;Безналичные операции;Безготівкові операції;exchangeRates_nonCashTransactions
1296;БЕЗНАЛИЧНЫЙ;БЕЗГОТІВКОВИЙ;exchange_rate_cashless
1562;Безналичный;Безготівковий;CASHLESS
1601;Безналичный покупка;Безготівкова купівля;exchangeRates_cashlessPurchase
1418;Безналичный продажа;Безготівковий продаж;exchangeRates_cashlessSale
1751;БИК;BIC;property_BIK
3414;БИК;BIC;bik
2933;БИК Банка;BIC Банку;refunds.sender.bik
3427;БИК банка интернациональный;BIC банку інтернаціональний;banks_bikBankIntNat
2648;БИК банка национальный;BIC банку національний;banks_bikBankNat
2566;БИК Банка Плательщика;BIC банку Платника;transferRequisites_payerBankCode
3430;БИК Банка Получателя;BIC банку Отримувача;transferRequisites_recipientBankCode
3495;БИК Банка Получателя;BIC банку Отримувача;paymentOrder_recipientBankCode
1517;БИК международный;BIC міжнародний;bikInt
3060;БИК национальный;BIC національний;bikNat
3556;БИК/SWIFT;BIC/SWIFT;intTransfer_bankSwift
1441;БИК/SWIFT Банка;BIC/SWIFT Банку;counterparty_bankCode
3048;БИК/SWIFT Банка Посредника;BIC/SWIFT Банку Посередника;intTransfer_agentBankSwift
1930;Билеты, лотереи, туризм;Білети, лотереї, туризм;tourism
1931;Билеты, лотереи, туризм;Білети, лотереї, туризм;tourism_full
1752;БИН;БІН;property_BIN
2798;БИН;БІН;common_TaxCode
2697;БИН организации;БІН організації;withdraw_org_bin
2844;БИН плательщика;БІН платника;payersBIN
2505;БИН получателя;БІН отримувача;receiversBIN
3213;БИН/ИИН;БІН/ІПН;refunds.tax.code
3600;БИН/ИИН;БІН/ІПН;senderBIN
2825;БИН/ИИН Получателя;БІН/ІПН Отримувача;paymentOrder_recipientCode
3410;БИН/ИИН Получателя;БІН/ІПН Отримувача;transferRequisites_recipientCode
3778;БИН/ИИН/ИНН;БІН/ІПН/ІПН;intTransfer_benefCode
1924;Благотворительность;Благочинність;charity
1925;Благотворительность;Благочинність;charity_full
3183;Блок реквизитов: Детали платежа;Блок реквізитів: деталі платежу;paymentDetailsBlock
3610;Блок реквизитов: Информациия от банка;Блок реквізитів: Інформація від Банку;refunds.infoFromBank
3368;Блок реквизитов: Получатель;Блок реквізитів: Отримувач;recipientDetailsBlock
2580;Блокирован;Заблокований;signingrules_notactive
2917;Блокирован;Заблокований;customeruser_blocked
3304;Блокирован;Заблокований;common_blocked
3637;Блокирован;Заблокований;card_number_is_blocked
1134;Блокирование карты;Блокування карти;privilege_corpCards_block
3458;Блокирование/Разблокирование карты;Блокування/Розблокування карти;cardBlockUnblock
4050;Блокировать;Блокувати;common_block
2738;Блокировка;Блокування;blocking
3635;Блокировка/Разблокировка карты;Блокування/Розблокування карти;title_block_unblock
1932;Букмекерские конторы;Букмекерські контори;bookmakers
1933;Букмекерские конторы;Букмекерські контори;bookmakers_full
3263;Быстрая ссылка;Швидке посилання;quick_link
1300;Быстрые ссылки;Швидкі посилання;m_quick_link
2940;Быстрые ссылки;Швидкі посилання;quickLinks
3474;Быстрые ссылки;Швидкі посилання;quick_links
1588;в;в;common_in
4119;в;в;common.in
3846;В валюте;В валюті;navigation_p_person_intTransfer
4033;В вашем ключе отсутствует сертификат;В вашому ключі відсутній сертифікат;login_no_keys_in_cert
1542;В данном состоянии документа подпись невозможна;В поточному стані документу його підписання неможливе;signature.cantBeSigned
3845;В национальной валюте;В національній валюті;navigation_p_person_domTransfer
1826;В обработке;В обробці;user_status_in_work
1836;В обработке;В обробці;state_acceptedinabs
3349;В процессе обработки;В процесі обробки ;common_inProcessing
3346;в строке;в рядку;payment.import.result.document.line.number
2923;в том числе НДС =;в т.ч. ПДВ;paymentOrder_withVat
3355;Важен;Важлилий;signingrules_inorder
3909;Валидации полей;Валідація полів;constraint_validations
3919;Валидация налогового номера;Валідація податкового номеру;constraint_tax_number
3926;Валидация полей документа;Валідація полів документу;constraint_fields_validation
3927;Валидация полей сотрудников;Валідація полів співробітників;constraint_employee_validation
1332;Валидные ключи отсутствуют;Валідні ключі відсутні;docSigning_noValidKeys
4052;Валидный;Валідний;key_ok
2770;Валюта;Валюта;exchangeRates_currency
2796;Валюта;Валюта;signingrules_currency
2931;Валюта;Валюта;limit_currency
3506;Валюта;Валюта;common_currency
3527;Валюта;Валюта;intTransfer_currency
1804;валюта денег должна быть KZT;валюта має бути KZT;mt_invalid_currency
1267;Валюта депозита;Валюта депозиту;custom_field_deposit_currency
1276;Валюта займа;Валюта займу;custom_field_loan_currency
2453;Валюта займа;Валюта займу;loanCurrency
3019;Валюта зачисления;Валюта зарахування;accTransfer_creditCurrency
3154;Валюта зачисления;Валюта зарахування;paymentOrder_creditCurrency
1289;Валюта карты;Валюта карти;custom_field_currency_card
2615;Валюта карты;Валюта карти;cardCurrency
2628;Валюта списания;Валюта списання;accTransfer_debitCurrency
3526;Валюта списания;Валюта списання;paymentOrder_debitCurrency
1259;Валюта Счета;Валюта рахунку ;accountCurrency
2475;Валюта счета взимания комиссии;Валюта рахунку утримання комісії;intTransfer_feeCurrency
2814;Валюта транзакции;Валюта транзакції;transactionCurrency
1675;валютирования меньше текущей;валютування менше поточної;common_lessThenCurrent
3021;Валютная пара;Валютна пара;exchangeRates_currencyPair
3520;Валюты отсутствуют;Валюти відсутні;noCurrencies
1692;Валюты счетов не должны различатся;валюти рахунків не можуть відрізнятись;error_differentCurrency
3881;Ваш персональный менеджер;Ваш персональний менеджер;personal_manager
4120;Ваш персональный менеджер;Ваш персональний менеджер;chat.your_manager
1356;Ваш профиль удален;Ваш профіль видалено;login.ProfileDeleted
3585;Ваш текст;Ваш текст;yourText
2524;Ваша сессия закрыта администратором банка;Ваша сесія припинена адміністратором банку;errorpage419_title
1794;Ваша учетная запись была заблокирована администратором банка. Для уточнения деталей обратитесь в банк.;Ваш обліковий запис було заблоковано адміністратором банку. Для уточнення деталей зверніться до банку;login.adminBlock
1524;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;Ваш обліковий запис тимчасово заблоковано! Очікуваний час активації облікового запису, хв;login.ProfileIsNotActive
1823;Введен;Введений;user_status_new
4090;Введите CRON;Введіть CRON;cron_manually_input.enter_cron
3789;Введите дату в следующем формате 31.12.2017;Введіть дату в форматі: 31.12.2017;set_date_in_format
1527;Введите имя получателя или счет;Введіть ім'я отримувача або рахунок;invoice_search
2536;Введите имя шаблона;Введіть ім'я шаблону;Payment_action_inputTemplateName
1432;Введите пароль;Введіть пароль;docSigning_inputPassword
2576;Введите пароль для хранилища ключей;Введіть пароль для сховища ключів;docSigning_inputProfilePassword
1470;Введите пароль на хранилище;Введіть пароль до сховища;login_enter_password
1578;Введите сообщение;Введіть повідомлення;enterMessage
4122;Введите текст сообщения;Введіть текст повідомлення;chat.enter_message
3318;Версия броузера;Версія браузера;events_browser
1463;Версия операционной системы, браузера;Версія операційної системи, браузера;events_osversion
1620;Версия операционной системы, браузера;Версія операційної системи, браузера;EventsExcelCreator.Osversion
2810;Версия приложения;Версія додатку;events_applicationVersion
3045;Вид;Вид;common_kind
1266;Вид депозита;Вид депозиту;custom_field_deposit_type
3251;Вид депозита;Вид депозиту;depositType
1377;Вид документов;Вид документів;common_kindDocument
1275;Вид займа;Вид займу;custom_field_loan_type
2730;Вид карт с таким кодом уже существует;Вид карт з таким кодом вже існує;suchCardTypeAlreadyExist
1288;Вид карточного продукт;Вид карточного продукту;custom_field_type_card_products
2780;Вид карточного продукта;Вид карточного продукту;cardProductType
2830;Вид карточных продуктов с таким кодом уже существует;Вид карточних продуктів з таким кодом вже існує;cardProductTypeAlreadyExists
3162;Вид карты;Вид карти;cardType
3001;Вид кредита;Вид кредиту;creditType
2906;Вид платежа;Вид платежу;paymentType
3389;Вид счёта;Вид рахунку;accountType
2544;Виды депозитных продуктов;Види депозитних продуктів;depositProductTypes
1319;Виды депозитов;Види депозитів;job_DEPOSIT_KIND
1323;Виды карт;Види карт;job_CARD_KIND
2998;Виды карт;Види карт;cardTypes
1322;Виды карточных продуктов;Види карткових продуктів;job_CARD_PRODUCT_KIND
2626;Виды карточных продуктов;Види карткових продуктів;cardProductTypes
3573;Виды кредитных продуктов;Види карткових продуктів;creditProductTypes
1320;Виды кредитов;Види кредитів;job_CREDIT_KIND
1321;Виды платежей по кредитам;Види платежів по кредитах;job_CREDIT_PAYMENT_KIND
2967;Виды платежей по кредитам;Види платежів по кредитах;loanPaymentsTypes
2582;Виды счетов;Види рахунків;accountTypes
3910;Включена;Включена;constraint_true
2682;Включено;Включено;notification_active
3285;Владелец (DN);Власник (DN);companyperson_certificate_subjectDN
4115;внешний;зовнішній;payment_type_external
3132;Внешняя система;Зовнішня система;externalSystem
3875;Внутренние платежи;Внутрішні платежі;document_transfer
4114;внутренний;Внутрішній;payment_type_internal
1819;Внутренняя ошибка! Попробуйте отправить письмо позже;Внутрішня помилка! Спробуйте відправити лист пізніше;message_sending_error
1844;Возврат от банка получателя;Повернення від банку отримувача;state_return
3317;Возврат по зарплатному отчислению;Повернення по зарплатному відрахуванню;refunds.payroll
3622;Возврат по пенсионному отчислению;Повернення по пенсійному відрахуванню;refunds.pensioncontribution
3191;Возврат по социальному отчислению;Повернення по соціальному відрахуванню;refunds.socialcontribution
1060;Возвраты;Повернення;translation_9
3530;Возвраты;Повернення;navigation_returns
3590;Возвраты;Повернення;refunds.title
2026;Возможности;Можливості;mobile.capabilities
3170;Возможность прикреплять файл;Можливість прикріпляти файл;Can_attache_file
1354;Возникла ошибка при подписи документа;Виникла помилка при підписанні документу;signature.signError
3455;Войти;Увійти;login_to_enter
1567;Войти по ЕЦП;Увійти за допомогою ЕЦП;login__signaturetab
1404;Войти по логину и паролю;Увійти по логіну та паролю;login_enter_loginpass
1670;Войти с помощью отпечатка пальца;Увійти за допомогою відбитку пальця;login_byfingerprint
4132;Воскресенье;Неділя;common.sunday
2023;Восстановить пароль;Відновити пароль;mobile.remindme
1702;Восстановление пароля;Відновлення паролю;login_recovery
2715;Временная блокировка;Тимчасове блокування ;temporaryBlockage
1672;Время;Час;common_time
1793;Время блокировки;Час блокування;property_USER_BLOCK_TIME
4058;Время жизни пароля (мин);Термін дії паролю (хв);key_expired
3786;Время начала перерыва;Час початку перерви;break_start_time
3784;Время начала работы;Час початку роботи;start_time
3787;Время окончания перерыва;Час завершення перерви;break_end_time
3785;Время окончания работы;Час завершення роботи;end_time
2620;Время сервера для синхронизации;Час серверу для синхронізації;serverTimeForSync
1740;Вс;Нд;short_SUNDAY
1962;Все;Всі;all
1963;Все;Всі;all_full
2693;Все;Всі;common_all
3241;Все;Всі;global_settings.constants.group.all
3764;Все валюты;Всі валюти;all_currencies
1650;Все документы выбраны;Всі документи обрані;allDocsSelected
3418;Все заявления выбраны;Всі заяви обрані;demand_allDemandChecked
2598;Все календари выбраны;Вмі календарі обрані;allCalendarsAreSelected
3765;Все категории;Всі категорії;all_categories
3753;Все операции;Всі операції;dt_allOperations
3715;ВСЕ ПЛАТЕЖИ;ВСІ ПЛАТЕЖІ;working_all
3707;Все плательщики;Всі платники;all_payers
3702;Все получатели;Всі отримувачі;all_receivers
3306;Все пользователи выбраны;Всі користувачі обрані;customeruser_allselected
2525;Все события выбраны;Всі події обрані;events_allselected
1822;Все статусы;Всі статуси;user_status_all
3706;Все статусы;Всі статуси;all_states
3747;Все счета;Всі рахунки;common_all_accounts
1579;Все счета выбраны;Всі рахунки обрані;common_allAccountsSelected
3813;Все типы;Всі типи;common_allTypes
1735;Вт;Вт;short_TUESDAY
4127;Вторник;Вівторок;common.tuesday
3175;Второе значение;Друге значення;secondValue
2756;Вход;Вхід;login_enter
2861;Вход;Вхід;sessions_valid_from
2022;Вход в личный кабинет;Вхід до особистого кабінету;mobile.login
1343;Вход в систему;Вхід в систему;login_title
3728;Вход в систему Интернет-банкинг;Вхід в систему Інтернет-банкінг;login_expo_head
2555;Вход до;Вхід до;companyperson_validto
2969;Вход до;Вхід до;sessions_filterto
3136;Вход после;Вхід після;sessions_filterfrom
3302;Вход с;Вхід з;companyperson_validfrom
2994;Входящие;Вхідні;inbox
3180;Входящий остаток;Вхідний залишок;broughtForwardBalance
3103;Вы были удалены администратором банка;Ви були видалені адміністратором банку;errorpage418_title
2921;Вы действительно хотите удалить Банкомат/отделение/терминал;Ви дійсно бажаєте видалити Банкомат / відділення / термінал?;sureYouWantDeleteAtmBranchTerminal
2550;Вы действительно хотите удалить Вид депозитных продуктов №;Ви дійсно бажаєте видалити Вид депозитних продуктів №;sureYouWantDeleteDepositProductType
2813;Вы действительно хотите удалить Вид карт №;Ви дійсно бажаєте видалити Вид карт №;sureYouWantDeleteCardType
3504;Вы действительно хотите удалить Вид карточных продуктов №;Ви дійсно бажаєте видалити Вид карткових продуктів №;sureYouWantDeleteCardProductType
2882;Вы действительно хотите удалить Город;Ви дійсно бажаєте видалити Місто;sureYouWantDeleteCity
3587;Вы действительно хотите удалить Код бюджетной классификации №;Ви дійсно бажаєте видалити Код бюджетної класифікації №;sureYouWantDeleteKBK
2685;Вы действительно хотите удалить Модуль системы №;Ви дійсно бажаєте видалити Модуль системи №;sureYouWantDeleteSystemModule
1653;Вы действительно хотите удалить назначение платежа;Ви дійсно бажаєте видалити призначення платежу;paymentOrder_deletePaymentPurpose
3578;Вы действительно хотите удалить Причину блокировки карты;Ви дійсно бажаєте видалити Причину блокування карти;sureYouWantDeleteCardBlockReason
2963;Вы действительно хотите удалить Причину разблокировки карты;Ви дійсно бажаєте видалити Причину розблокування карти;sureYouWantDeleteCardUnblockType
3358;Вы действительно хотите удалить Статус документа;Ви дійсно бажаєте видалити Статус документу;sureYouWantDeleteDocStatus
2909;Вы действительно хотите удалить Статус карт;Ви дійсно бажаєте видалити Статус карт;sureYouWantDeleteCardStatus
3535;Вы действительно хотите удалить Тип документа;Ви дійсно бажаєте видалити Тип документу;sureYouWantDeleteDocType
2695;Вы действительно хотите удалить Тип письма;Ви дійсно бажаєте видалити Тип письма;sureYouWantDeleteLetterType
1605;Вы должны предоставить действительные данные!;Ви повині надати актуальні дані;valid.data.shouldExists
1506;Вы используете технологический ключ. Перевыпустить на год?;Ви використовуєте технологічний ключ. Перевипустити на рік?;reissuanceMessage
1537;Вы уже вошли в систему;Ви вже увійшли до системи;login.UserAlreadyLoggedIn
1649;Выберите валюту платежа;Виберіть валюту платежу;intTransfer_chooseCurrency
1660;Выберите ключ;Виберіть ключ;docSigning_chooseKey
4030;Выберите сертификат;Виберіть сертифікат;login_choose_certificate
2929;Выберите файл;Виберіть файл;upload_chooseFile
1380;Выберите хранилище ключей;Виберіть сховище даних;docSigning_chooseProfile
1479;Выбор элементов;Вибір елементів;choosingItems
1518;Выбранный файл;Вибраний файл;common_selectedFile
3509;Выбранный Файл;Вибраний файл;upload_choosenFile
2837;Выдать транш;Надати транш;actions_issueTranche
1705;Выдача займа;Надання займу;OpenCredit
1068;Выписка;Виписка;privilege_account_statement
1086;Выписка;Виписка;translation_13
1133;Выписка;Виписка;privilege_corpCards_statement
3513;Выписка;Виписка;navigation_statement
1848;Выписка по картам;Виписка по картам ;translation_40
2456;Выполнен;Виконаний;common_done
3971;Выполнено действие;Виконана дія;didAction
1707;выпуск карты;Випуск карти;CreateCard
3897;Выставление нового счета;Виставлення нового рахунку ;invoice_createNew
2983;Выставление счета на оплату;Виставлення рахунку на сплату;actions_invoicingForPayment
3796;Выставленные клиентам счета;Виставлення клієнтам рахунку;manager_exposedOrder
