en;ru;kk;translation_key;output_channel
AREK-Energosbyt. Koshchy*;АРЭК-Энергосбыт.Кощи*;АРЭК-Энергосбыт.Қосшы*;ps_49;W
Astana Gas Service*;Астана Газ Сервис*;Астана Газ Сервис*;ps_50;W
BalkhashEnergo. Electric power*;БалхашЭнерго.Электроэнергия*;БалқашЭнерго.Электр энергиясы*;ps_51;W
Burabay Su Arnasy*;Бурабай Су Арнасы*;Бурабай Су Арнасы*;ps_52;W
Gorelectroseti* LLP;ТОО Горэлектросети*;Қалаэлектржелілері ЖШС*;ps_53;W
Pavlodarlift*;Павлодарлифт*;Павлодарлифт*;ps_54;W
Kyzylzhar su JSC;АО Кызылжар су;Қызылжар су АҚ;ps_55;W
Remstroyservice*;Ремстройсервис*;Ремжөндеусервис.;ps_56;W
Ridder-HES*;Риддер-ТЭЦ*;Риддер-ЖЭЦ*;ps_57;W
Calculations and Information Centre *;РСЦ*;РСЦ*;ps_58;W
SevKazEnergo * (Akkayinsky power distribution zone );СевКазЭнерго* (Аккайынский РЭС);СолтҚазЭнерго* (Ақкайың РЭС);ps_59;W
SevKazEnergo * (Blagoveshchensky EEO);СевКазЭнерго* (Благовещенский УСЭЭ) ;СолтҚазЭнерго* (Благовещенск УСЭЭ) ;ps_60;W
SevKazEnergo * (the Vozvyshensky RPB);СевКазЭнерго* (Возвышенский РПБ) ;СолтҚазЭнерго* (Возвышенск РПБ) ;ps_61;W
SevKazEnergo * (Yesilsky EEO);СевКазЭнерго* (Есильский УСЭЭ) ;СолтҚазЭнерго* (Есил  УСЭЭ) ;ps_62;W
SevKazEnergo * (Zhambyl  power distribution zone );СевКазЭнерго* (Жамбыльский РЭС) ;СолтҚазЭнерго* (Жамбыл РЭС) ;ps_63;W
SevKazEnergo * (Korneyevsky RPB);СевКазЭнерго* (Корнеевский РПБ) ;СолтҚазЭнерго* (Корнеевск РПБ) ;ps_64;W
SevQazEnergo * (Kyzylzhar  power distribution zone );СевКазЭнерго* (Кызылжарский РЭС) ;СолтҚазЭнерго* (Қызылжар РЭС) ;ps_65;W
SevKazEnergo * (M. Zhumabayeva  power distribution zone);СевКазЭнерго*  (М.Жумабаева РЭС) ;СолтҚазЭнерго*  (М.Жумабаева РЭС) ;ps_66;W
SevKazEnergo * (Mamlyutsky  power distribution zone );СевКазЭнерго* (Мамлютский РЭС);СолтҚазЭнерго* (Мамлют РЭС);ps_67;W
SevKazEnergo * (Petropavlovsk);СевКазЭнерго* (Петропавловск) ;СолтҚазЭнерго* (Петропавл) ;ps_68;W
SevKazEnergo * (Sokolovsky USEE);СевКазЭнерго* (Соколовский УСЭЭ) ;СолтҚазЭнерго* (Соколов УСЭЭ) ;ps_69;W
SevQazEnergo * (Timiryazev  power distribution zone );СевКазЭнерго* (Тимирязевский РЭС);СолтҚазЭнерго* (Тимирязев РЭС);ps_70;W
ModusKZ Karagandy*;МодусKZ Караганды*;МодусKZ Қарағанды*;ps_71;W
ModusKZ Kokshetau*;МодусKZ Кокшетау*;МодусKZ Көкшетау*;ps_72;W
Termotranzit*;Термотранзит*;Термотранзит*;ps_73;W
"GrKomTrans for Karaganda" LLP; ТОО «ГрКомТранс по г.Караганда» ;«Қарағанды қ. бойынша ГрКомТранс»  ЖШС;ps_74;W
"Oskemen Vodokanal" MUS;ГКП «Оскемен Водоканал»;«Өскемен Су арнасы» МКК;ps_75;W
"Danko" private apartment owners' cooperative;ПКСК "Данко";"Данко" ПКСК;ps_76;W
Atyrau Heat Electical Station;Атырауская теплоэлектроцентраль ;Атырау жылуэлектроцентраль;ps_77;W
"Astana-Tazartu" LLP;ТОО "Астана-Тазарту"; "Астана-Тазарту" ЖШС;ps_78;W
Metacom-Semey;Метаком-Семей;Метаком-Семей;ps_79;W
RCCG -Uralsk [Batys EnergoResources, Oral Taza Service, KazTransGas Aimak, others];РЦКУ-Уральск [Батыс ЭнергоРесурсы, Орал Таза Сервис, КазТрансГаз Аймак, прочие];РЦКУ-Орал [Батыс ЭнергоРесурстар, Орал Таза Сервис, ҚазТрансГаз Аймақ, өзгелер];ps_80;W
Cyfral, Aktobe Taza Kala, KazTransGas, Aimak, other);[Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];[Цифрал, Ақтөбе Таза Қала, ҚазТрансГаз Аймақ, басқалары];РЦКУ-Запад (Актобе) [Цифрал, Актобе Таза Кала, КазТрансГаз Аймак, прочие];W
RCCG -Kostanay [KazTransGasAimak, in-house gas equipment, others];РЦКУ-Костанай [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Қостанай [ҚазТрансГазАймақ, ВДГО, өзгелер];ps_82;W
RCCG -Atyrau [KazTransGasAimak, in-house gas equipment, others];РЦКУ-Атырау [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Атырау [ҚазТрансГазАймақ, ВДГО, өзгелер];ps_83;W
RCCG -Aktau [KazTransGasAimak, in-house gas equipment, others];РЦКУ-Актау[КазТрансГазАймак, ВДГО, прочие];РЦКУ-Ақтау[ҚазТрансГазАймақ, ВДГО, өзгелер];ps_84;W
Astana MCC;Астана ЕРЦ;Астана БЕО;ps_85;W
UK Heating networks ; УК тепловые сети;УК жылу желілері;ps_86;W
"Karagandyzhylsbyt" LLP;ТОО "Карагандыжылусбыт";"Қарағандыжылуөткізу" ЖШС;ps_87;W
Tauekel-T;Тауекел-Т;Тәуекел-Т;ps_88;W
Tauekel-N-Algabas;Тауекель-Н-Алгабас;Тәуекел-Н-Алғабас;ps_89;W
Zhetisu Gas Kubyry;Жетісу газ кубыры;Жетісу газ құбыры;ps_90;W
Kyzylordateploelektrotsentr;Кызылордатеплоэлектроцентр;Қызылорда жылу электр орталығы;ps_91;W
UPD ASC Almaty Gas;ЕПД АРЦ Алматы газ;Алматы газ АЕО БТҚ;ps_92;W
Rudnensky Vodokanal LLP; ТОО Рудненский Водоканал;Рудненск Су арнасы ЖШС;ps_93;W
 "Shygysenergotrade" LLP;ТОО «Шыгысэнерготрэйд»;«Шығысэнерготрэйд» ЖШС;ps_94;W
RCCG -Kyzylorda [KazTransGasAimak, in-house gas equipment, others];РЦКУ-Кызылорда [КазТрансГазАймак, ВДГО, прочие];РЦКУ-Қызылорда [ҚазТрансГазАймақ, ВДГО, өзгелер];ps_95;W
Sogrinskaya HES APS;  Согринская ТЭЦ АЭС;Согринск ЖЭО  АЭС;ps_96;W
Pavlodarenergosbyt MCC;  ПавлодарЭнергоСбыт ЕРЦ;ПавлодарЭнергоӨткізу  (ПавлодарЭнергоСбыт) БЕО;ps_97;W
"Shakhtinskteploenergo" LLP;ТОО "Шахтинсктеплоэнерго";"Шахтинскжылуэнерго" ЖШС;ps_98;W
"Pavlodar-Vodokanal" LLP;ТОО "Павлодар-водоканал";"Павлодар-суарнасы" ЖШС;ps_99;W
Batys Energo resources ;Батыс Энерго Ресурсы;Батыс Энерго Ресурсы;ps_100;W
RCCG Shymkent;РЦКУ Шымкент;Шымкент РЦКУ;ps_101;W
ONAY-transport card of Almaty;ОҢАЙ – Транспортная карта г.Алматы;ОҢАЙ –  Алматы қ. көлік картасы;ps_102;W
"SAPAR" LLP )www.avokzal.kz);ТОО «САПАР» (www.avokzal.kz);«САПАР» ЖШС (www.avokzal.kz);ps_103;W
E-gov (Electronic Government)*;E-gov (Электронное правительство)*;E-gov (Электрондық үкімет)*;ps_104;W
Payment of traffic penalties (Almaty city) *;Оплата штрафов ПДД (г.Алматы)*;ЖҚЕ айыппұлдарын төлеу (Алматы қ.)*;ps_105;W
Payment for Driving Regulations fines (RK)*;Оплата штрафов ПДД (РК)*;ЖҚЕ айыппұлдарын төлеу (ҚР);ps_106;W
Mamba.ru;Mamba.ru;Mamba.ru;ps_107;W
Lava-Online, ;Lava-Online, ;Lava-Online, ;ps_108;W
Watches,; Дозоры,;Барлаулар,;ps_109;W
(AtomFishing) Extreme Server, ;[AtomFishing] Сервер Экстрим, ;[AtomFishing] Сервер Экстрим, ;ps_110;W
(AtomFishing) Return Server, ;[AtomFishing] Сервер Возвращение, ;[AtomFishing] Сервер Қайтару ;ps_111;W
Xcraft.ru,;Xcraft.ru,;Xcraft.ru,;ps_112;W
GameXP,;GameXP,;GameXP,;ps_113;W
The War Z, ;The War Z, ;The War Z, ;ps_114;W
Battle of Immortals, ;Battle of Immortals, ;Battle of Immortals, ;ps_115;W
Territoriya 2;Территория 2, ;Аумақ  2, ;ps_116;W
Last limit,; Последний предел,;Соңғы шек,;ps_117;W
 Tanki online, ; Tanki online, ;Tanki online, ;ps_119;W
 Bloody World, ; Bloody World, ;Bloody World, ;ps_120;W
Gamenet,;Gamenet, ;Gamenet, ;ps_121;W
One World,;One World, ;One World, ;ps_122;W
Molehill Empire ;Садовая империя, ;Бақ империясы,;ps_123;W
Lordmancer;Лордмансер, ;Лордмансер, ;ps_124;W
 Zzima.com,; Zzima.com,;Zzima.com,;ps_125;W
Podnebesiye;Поднебесье, ;Аспан асты,;ps_126;W
 Murclub.ru, ; Murclub.ru, ;Murclub.ru, ;ps_127;W
Siege Online;Осада Онлайн, ;Осада Онлайн, ;ps_128;W
Silkroad Online, ;Silkroad Online, ;Silkroad Online, ;ps_129;W
Kw.rambler.ru, ;Kw.rambler.ru, ;Kw.rambler.ru,;ps_130;W
Moja Derewnja;Моя деревня, ;Менің ауылым,;ps_131;W
My lands, ;My lands, ;My lands, ;ps_132;W
Barbarian;Варвары, ;Варварлар, ;ps_133;W
JagPlay, ;JagPlay, ;JagPlay, ;ps_134;W
Mgates, ;Mgates, ;Mgates, ;ps_135;W
Mafia Wars,;Войны мафии, ;Мафия соғыстары;ps_136;W
Islands ;  Острова, ;Аралдар,;ps_137;W
Peredovaya, ;Peredovaya, ;Peredovaya, ;ps_138;W
StarClashes;Звездные бои,;Жұлдыздар соғысы,;ps_139;W
Garena;Гарена, ;Гарена, ;ps_140;W
Korolevstvo (Kingdom);Королевство;Корольдік;ps_141;W
Ganja Wars;Ганджубасовые войны;Ганджубастық соғыстар;ps_142;W
Carnage;Carnage;Carnage;ps_143;W
11x11 foorball Messenger ;11х11 футбольный Менеджер;11х11 футболдық  Менеджер;ps_144;W
Sky2Fly;Sky2Fly;Sky2Fly;ps_145;W
Heros of War and Money;Герои войны и денег;Соғыс пен ақша қаһарманы ;ps_146;W
U.N.I.T.;U.N.I.T.;U.N.I.T.;ps_147;W
NeverLands;Neverlands;Neverlands;ps_148;W
Gladiators;Гладиаторы;Гладиаторлар;ps_149;W
Банановые Войны (BananaWars);BananaWars;BananaWars;ps_150;W
Overkings;Overkings;Overkings;ps_151;W
Haddan;Haddan;Haddan;ps_152;W
Reality faces;Грани реальности;Ақиқат шегі;ps_153;W
Xsolla;Xsolla ;Xsolla ;ps_154;W
VK advertising;VK реклама;VK жарнама;ps_155;W
Steam (M);Steam (M);Steam (M);ps_156;W
World of Tanks (M);World of Tanks (M);World of Tanks (M);ps_157;W
"OLIMP KZ" Bookmaker Office" LLP;ТОО «Букмекерская контора «OLIMP KZ»;«Букмекер кеңсесі «OLIMP KZ» ЖШС;ps_158;W
 Bookmaker's office "PROFIT Betting" LLP (www.profitbet.kz);Букмекерская контора ТОО «PROFIT Betting» ( www.profitbet.kz);«PROFIT Betting» ЖШС букмекерлік кеңсесі ( www.profitbet.kz);ps_159;W
Bookmaker office Goal+Assist (gol+pass) LLP;ТОО Букмекерская контора Гол+Пас; Букмекер кеңсесі Гол+Пас ЖШС;ps_160;W
Alpari;Альпари;Альпари;ps_161;W
e-KZT;e-KZT;e-KZT;ps_162;W
 "Redprice" LLP (chocolifeme.kz);ТОО «Редпрайс» (www.chocolifeme.kz);«Редпрайс» ЖШС (www.chocolifeme.kz);ps_163;W
"Bismart" (besmart.kz) LLP;ТОО "БиСмарт" (besmart.kz); "БиСмарт" (besmart.kz) ЖШС;ps_164;W
"Mir kuponov" LLP;ТОО Мир купонов;ТКупондар әлемі ЖШС;ps_165;W
Flora Express;Flora Express;Flora Express;ps_166;W
LR Health and Beauty Systems;LR Health and Beauty Systems;LR Health and Beauty Systems;ps_167;W
ShopInfo.kz;ShopInfo.kz;ShopInfo.kz;ps_168;W
"INFOSMS.KZ" LLP;ТОО «INFOSMS.KZ»;«INFOSMS.KZ» ЖШС;ps_169;W
"Kolesa" LLP (www.kolesa.kz, www.krisha.kz);ТОО «Колёса» (www.kolesa,kz , www.krisha.kz);«Колёса»  ЖШС (www.kolesa,kz , www.krisha.kz);ps_170;W
"Automania" newspaper;Газета Автомания;Автомания газеті;ps_171;W
"Iz ruk v ruki" (from hand to hand) newspaper;Газета Из рук в руки;Из рук в руки газеті;ps_172;W
"Rabota segodnya" (Work today) newspaper ;Газета Работа Сегодня;Работа Сегодня газеті;ps_173;W
"EVBIKA" LLP;ТОО «ЭВБИКА»;«ЭВБИКА» ЖШС;ps_174;W
 "Prometey-B" LLP;ТОО «Прометей-Б»;«Прометей-Б» ЖШС;ps_175;W
"Zhedel-Sakshy" LLP;ТОО «Жедел-Сақшы»;«Жедел-Сақшы» ЖШС;ps_176;W
Zhedel Kuzet;Жедел Кузет ;Жедел Күзет ;ps_177;W
Kuzet-Motors LLP;ТОО Кузет-Моторс;Күзет-Моторс ЖШС;ps_178;W
Kuzet-Techmontazh LLP;ТОО Кузет-Техмонтаж;Күзет-Техмонтаж ЖШС;ps_179;W
OLX.kg;OLX.kz;OLX.kz;ps_180;W
"Oriflame" LLP;ТОО "Орифлэйм";"Орифлэйм" ЖШС;ps_181;W
AVON;AVON;AVON;ps_182;W
"Faberlik-kazakhstan" LLP;ТОО "Фаберлик - Казахстан";"Фаберлик - Қазақстан" ЖШС;ps_183;W
Mary Kay Kazakhstan;Mary Kay Kazakhstan;Mary Kay Kazakhstan;ps_184;W
IS Paragraph;ИС Параграф;АЖ Параграф;ps_185;W
Beeline (Кар-Тел);Beeline (Кар-Тел);Beeline (Кар-Тел);ps_full_1;W
Kcell;Kcell;Kcell;ps_full_2;W
Activ;Aсtiv;Aсtiv;ps_full_3;W
TELE2;TELE2;TELE2;ps_full_4;W
Altel;Алтел;Алтел;ps_full_5;W
"Kazakhtelecom" JSC;АО "Казахтелеком";"Қазақтелеком" АҚ;ps_full_6;W
"2DAY Telecom" LLP (Internet access "Internet at home" by Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);"2DAY Телеком"  ЖШС  (Beeline-нан "Интернет Үйде" Интернетіне қол жеткізу);ps_full_7;W
"TOPAZ-TELECOM" LLP;ТОО «ТОПАЗ-ТЕЛЕКОМ»; «ТОПАЗ-ТЕЛЕКОМ» ЖШС;ps_full_8;W
Twinncom Network;Twinncom Network;Twinncom Network;ps_full_9;W
OKTEL;ОКТЕЛ;ОКТЕЛ;ps_full_10;W
SA-Telecom fixed communication;СА-Телком фиксированная связь;СА-Телеком тыянақты байланыс;ps_full_11;W
Balkhash Electronic city. Internet;Балхаш Электронный Город. Интернет;Балқаш Электронды Қала. Интернет;ps_full_12;W
"Metro Net" LLP;ТОО «Metro Net»;«Metro Net» ЖШС;ps_full_13;W
"Promtel" LLP;ТОО «Promtel»;«Promtel» ЖШС;ps_full_14;W
"System Line" LLP;ТОО «System Line»;«System Line» ЖШС;ps_full_15;W
BeNetCom LLP;ТОО BeNetCom; BeNetCom ЖШС;ps_full_16;W
Skype;Skype;Skype;ps_full_17;W
Alter JET (Retail);Altel JET (Retail);Altel JET (Retail);ps_full_18;W
AstanaMegaTel LLP;ТОО АстанаМегаТел; АстанаМегаТел ЖШС;ps_full_19;W
"Transtelecom" JSC;АО «Транстелеком»; «Транстелеком» АҚ;ps_full_20;W
Transtelecom" JSC (Direct);АО «Транстелеком» (Direct); «Транстелеком» (Direct) АҚ;ps_full_21;W
"AlmaTV" LLP;ТОО «АлмаТВ»;«АлмаТВ» ЖШС;ps_full_22;W
"TV company "43 cahnnel" LLP;ТОО «Телекомпания «43 канал»; «Телекомпания «43 канал» ЖШС;ps_full_23;W
"Kazteleradio full package" JSC (OTAU TV);АО "Казтелерадио полный пакет" (OTAU TV);"Қазтелерадио толық пакет" АҚ (OTAU TV);ps_full_24;W
"Kostanay cable networks" (Kabelnye seti Kostanay) LLP;ТОО "Кабельные сети Костаная"; "Қостанай Кабель желілері" ЖШС;ps_full_25;W
TAU TV*;ТАУ TV*;ТАУ TV*;ps_full_26;W
Bazis-Telecom of Almaty;Базис-Телеком г.Алматы;Базис-Телеком Алматы қ.;ps_full_27;W
Tricolor TV;Триколор ТВ;Триколор ТВ;ps_full_28;W
NTV-Plus;НТВ-Плюс;НТВ-Плюс;ps_full_29;W
ALSECO*;АЛСЕКО*;АЛСЕКО*;ps_full_30;W
Information computer center (ICC)*;ИВЦ*;АЕО*;ps_full_31;W
EPC forfait;ЭПК forfait;ЭПК forfait;ps_full_32;W
Zheskazgan EnergoSbyt;Жесказган ЭнергоСбыт;Жезқазған ЭнергоӨткізу;ps_full_33;W
AlmatyEnergoSbyt (individuals)*;АлматыЭнергосбыт (физ. лица)*;АлматыЭнергосбыт (жеке тұлғалар)*;ps_full_34;W
Batys Su Arnasy;Батыс Су Арнасы;Батыс Су Арнасы;ps_full_35;W
Omega Xxi Shymkent (Energopotok, KazTransGazAimak, other);Омега XXI Шымкент [Энергопоток, КазТрансГазАймак, прочие];Омега XXI Шымкент [Энергоағын, ҚазТрансГазАймақ, өзгелер];ps_full_36;W
(Omega XXI) Region;[Омега XXI] Область;[Омега XXI] Облыс;ps_full_37;W
karagangy GorKomTrans LLP;ТОО Караганды ГорКомТранс;Қарағанды ҚалаКомТранс ЖШС;ps_full_38;W
Mulе Service;Мюль Сервис;Мюль Сервис;ps_full_39;W
Public house intercom;Народный домофон;Халықтық домофон;ps_full_40;W
Zholaushy-SK;Жолаушы-СК;Жолаушы-СК;ps_full_41;W
Koksheenergoservice *;Кокшеэнергосервис*;Кокшеэнергосервис*;ps_full_42;W
CenterCommunPlat-ARS;ЦентрКоммунПлат-АРС;ОрталықКоммунПлат-АРС;ps_full_43;W
Enterprise Speczavto-transport;Предприятие Спецавто-транспорта;Арнайы авто-көлік кәсіпорны;ps_full_44;W
MCC (Main Clearing Center) Kapchagai;ЕРЦ Капчагай;Қапшағай БЕО;ps_full_45;W
RCCG (Regional Center for Corporate Governance) Taraz [Zhambyl-zhylu, KazTransGas Aimak, others];РЦКУ Тараз [Жамбыл-жылу, КазТрансГаз Аймак, прочие];РЦКУ Тараз [Жамбыл-жылу, ҚазТрансГаз Аймақ, өзгелер];ps_full_46;W
"Kostanay energy park" LLP (Kostanay Energocentr);ТОО «Костанайский ЭнергоЦентр»*;«Қостанай ЭнергоОрталығы» ЖШС*;ps_full_47;W
AREK-Energosbyt. International*;АРЭК-Энергосбыт.Интернациональное*;АРЭК-Энергосбыт.Интернационалды*;ps_full_48;W
AREK-Energosbyt. Koshchy*;АРЭК-Энергосбыт.Кощи*;АРЭК-Энергосбыт.Қосшы*;ps_full_49;W
Astana Gas Service*;Астана Газ Сервис*;Астана Газ Сервис*;ps_full_50;W
BalkhashEnergo. Electric power*;БалхашЭнерго.Электроэнергия*;БалқашЭнерго.Электр энергиясы*;ps_full_51;W
Burabay Su Arnasy*;Бурабай Су Арнасы*;Бурабай Су Арнасы*;ps_full_52;W
Gorelectroseti* LLP;ТОО Горэлектросети*;Қалаэлектржелілері ЖШС*;ps_full_53;W
Pavlodarlift*;Павлодарлифт*;Павлодарлифт*;ps_full_54;W
Kyzylzhar su JSC;АО Кызылжар су;Қызылжар су АҚ;ps_full_55;W
Remstroyservice*;Ремстройсервис*;Ремжөндеусервис.;ps_full_56;W
Ridder-HES*;Риддер-ТЭЦ*;Риддер-ЖЭЦ*;ps_full_57;W
Calculations and Information Centre *;РСЦ*;РСЦ*;ps_full_58;W
SevKazEnergo * (Akkayinsky power distribution zone );СевКазЭнерго* (Аккайынский РЭС);СолтҚазЭнерго* (Ақкайың РЭС);ps_full_59;W
SevKazEnergo * (Blagoveshchensky EEO);СевКазЭнерго* (Благовещенский УСЭЭ) ;СолтҚазЭнерго* (Благовещенск УСЭЭ) ;ps_full_60;W
SevKazEnergo * (the Vozvyshensky RPB);СевКазЭнерго* (Возвышенский РПБ) ;СолтҚазЭнерго* (Возвышенск РПБ) ;ps_full_61;W
SevKazEnergo * (Yesilsky EEO);СевКазЭнерго* (Есильский УСЭЭ) ;СолтҚазЭнерго* (Есил  УСЭЭ) ;ps_full_62;W
SevKazEnergo * (Zhambyl  power distribution zone );СевКазЭнерго* (Жамбыльский РЭС) ;СолтҚазЭнерго* (Жамбыл РЭС) ;ps_full_63;W
SevKazEnergo * (Korneyevsky RPB);СевКазЭнерго* (Корнеевский РПБ) ;СолтҚазЭнерго* (Корнеевск РПБ) ;ps_full_64;W
SevQazEnergo * (Kyzylzhar  power distribution zone );СевКазЭнерго* (Кызылжарский РЭС) ;СолтҚазЭнерго* (Қызылжар РЭС) ;ps_full_65;W
SevKazEnergo * (M. Zhumabayeva  power distribution zone);СевКазЭнерго*  (М.Жумабаева РЭС) ;СолтҚазЭнерго*  (М.Жумабаева РЭС) ;ps_full_66;W
SevKazEnergo * (Mamlyutsky  power distribution zone );СевКазЭнерго* (Мамлютский РЭС);СолтҚазЭнерго* (Мамлют РЭС);ps_full_67;W
SevKazEnergo * (Petropavlovsk);СевКазЭнерго* (Петропавловск) ;СолтҚазЭнерго* (Петропавл) ;ps_full_68;W
SevKazEnergo * (Sokolovsky USEE);СевКазЭнерго* (Соколовский УСЭЭ) ;СолтҚазЭнерго* (Соколов УСЭЭ) ;ps_full_69;W
SevQazEnergo * (Timiryazev  power distribution zone );СевКазЭнерго* (Тимирязевский РЭС);СолтҚазЭнерго* (Тимирязев РЭС);ps_full_70;W
ModusKZ Karagandy*;МодусKZ Караганды*;МодусKZ Қарағанды*;ps_full_71;W
ModusKZ Kokshetau*;МодусKZ Кокшетау*;МодусKZ Көкшетау*;ps_full_72;W
Termotranzit*;Термотранзит*;Термотранзит*;ps_full_73;W
"GrKomTrans for Karaganda" LLP; ТОО «ГрКомТранс по г.Караганда» ;«Қарағанды қ. бойынша ГрКомТранс»  ЖШС;ps_full_74;W
"Oskemen Vodokanal" MUS;ГКП «Оскемен Водоканал»;«Өскемен Су арнасы» МКК;ps_full_75;W
"Danko" private apartment owners' cooperative;ПКСК "Данко";"Данко" ПКСК;ps_full_76;W
Atyrau Heat Electical Station;Атырауская теплоэлектроцентраль ;Атырау жылуэлектроцентраль;ps_full_77;W
"Astana-Tazartu" LLP;ТОО "Астана-Тазарту"; "Астана-Тазарту" ЖШС;ps_full_78;W
Metacom-Semey;Метаком-Семей;Метаком-Семей;ps_full_79;W
