code;external_id;service_id;field_type;input_mask;validation_regex;dictionary_name;min_value;max_value;field_order;is_required;name_id_ru;name_id_kk;name_id_en;hint_id_ru;hint_id_kk;hint_id_en
ТОО Горэлектросети*;599;ps_53;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
АО Кызылжар су;622;ps_55;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
Ремстройсервис*;624;ps_56;STRING;\d{5};;null;null;5;1;1;Введите лицевой счет;;;;;
Риддер-ТЭЦ*;625;ps_57;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
РСЦ*;630;ps_58;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Аккайынский РЭС);635;ps_59;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Благовещенский УСЭЭ) ;643;ps_60;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Возвышенский РПБ) ;638;ps_61;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Есильский УСЭЭ) ;637;ps_62;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Жамбыльский РЭС) ;644;ps_63;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Корнеевский РПБ) ;636;ps_64;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Кызылжарский РЭС) ;641;ps_65;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
СевКазЭнерго*  (М.Жумабаева РЭС) ;639;ps_66;STRING;;\d{9};null;null;9;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Мамлютский РЭС);642;ps_67;STRING;\d{5};;null;null;5;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Петропавловск) ;585;ps_68;STRING;;\d{8};null;null;8;1;1;Введите номер счёта;;;;;
СевКазЭнерго* (Соколовский УСЭЭ) ;640;ps_69;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
СевКазЭнерго* (Тимирязевский РЭС);645;ps_70;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
МодусKZ Караганды*;609;ps_71;STRING;;\d{14};null;null;14;1;1;Введите номер счета;;;;;
МодусKZ Кокшетау*;611;ps_72;STRING;;\d{14};null;null;14;1;1;Введите номер счета;;;;;
Термотранзит*;647;ps_73;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
 ТОО «ГрКомТранс по г.Караганда» ;604;ps_74;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
ГКП «Оскемен Водоканал»;619;ps_75;STRING;;;null;null;9;1;1;Введите номер счёта;;;;;
"ПКСК ""Данко""";778;ps_76;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
Атырауская теплоэлектроцентраль ;808;ps_77;STRING;\d{5};;null;null;5;1;1;Введите номер заказа;;;;;
"ТОО ""Астана-Тазарту""";788;ps_78;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
Метаком-Семей;809;ps_79;STRING;;\d{8};null;null;8;1;1;Введите номер счёта;;;;;
РЦКУ-Уральск [Батыс ЭнергоРесурсы, прочие];xxxxxx;ps_80;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
РЦКУ-Костанай [КазТрансГазАймак, ВДГО, прочие];xxxxxx;ps_82;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
РЦКУ-Атырау [КазТрансГазАймак, ВДГО, прочие];xxxxxx;ps_83;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
РЦКУ-Актау[КазТрансГазАймак, ВДГО, прочие];xxxxxx;ps_84;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
Астана ЕРЦ;137;ps_85;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
 УК тепловые сети;649;ps_86;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
"ТОО ""Карагандыжылусбыт""";xxxxxx;ps_87;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
Тауекел-Т;xxxxxx;ps_88;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
Тауекель-Н-Алгабас;xxxxxx;ps_89;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
Жетісу газ кубыры;xxxxxx;ps_90;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
Кызылордатеплоэлектроцентр;679;ps_91;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
ЕПД АРЦ Алматы газ;765;ps_92;STRING;;\d{12};null;null;12;1;1;Введите лицевой счет;;;;;
 ТОО Рудненский Водоканал;xxxxxx;ps_93;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
ТОО «Шыгысэнерготрэйд»;530;ps_94;STRING;;\d{8};null;null;8;1;1;Введите лицевой счет;;;;;
РЦКУ-Кызылорда [КазТрансГазАймак, ВДГО, прочие];xxxxxx;ps_95;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
  Согринская ТЭЦ АЭС;646;ps_96;STRING;;\d{9};null;null;9;1;1;Введите лицевой счет;;;;;
  ПавлодарЭнергоСбыт ЕРЦ;761;ps_97;STRING;;\d{12};null;null;12;1;1;Введите лицевой счет;;;;;
"ТОО ""Шахтинсктеплоэнерго""";628;ps_98;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
"ТОО ""Павлодар-водоканал""";780;ps_99;STRING;;\d{7};null;null;7;1;1;Введите лицевой счет;;;;;
Батыс Энерго Ресурсы;781;ps_100;STRING;;\d{12};null;null;12;1;1;Введите лицевой счет;;;;;
РЦКУ Шымкент;xxxxxx;ps_101;STRING;;;null;null;null;1;1;Введите лицевой счет;;;;;
О – Транспортная карта г.Алматы;xxxxxx;ps_102;STRING;;;null;null;null;1;1;Введите номер карты;;;;;
ТОО «САПАР» (www.avokzal.kz);680;ps_103;STRING;;\d{10};null;null;10;1;1;Введите номер заказа;;;;;
E-gov (Электронное правительство)*;208;ps_104;STRING;;\d{12};null;null;12;1;1;Введите РНН и ИНН;;;;;
Оплата штрафов ПДД (г.Алматы)*;674;ps_105;STRING;;;null;null;null;1;1;РНН или Номер предписания или Номер авто и номер техпаспорта;;;;;
Оплата штрафов ПДД (РК)*;634;ps_106;STRING;\d{5};;null;null;5;1;1;Введите лицевой счет;;;;;
Mamba.ru;513;ps_107;STRING;;\d{30};null;null;30;1;1;Введите e-mail или логин;;;;;
Lava-Online, ;509;ps_108;STRING;;\d{7};null;null;7;1;1;Введите ваш ID;;;;;
 Дозоры,;510;ps_109;STRING;;\d{22};null;null;22;1;1;Введите Ваш ID;;;;;
[AtomFishing] Сервер Экстрим, ;746;ps_110;STRING;;\d{30};null;null;30;1;1;Реферальный номер;;;;;
[AtomFishing] Сервер Возвращение, ;745;ps_111;STRING;;\d{30};null;null;30;1;1;Реферальный номер;;;;;
Xcraft.ru,;744;ps_112;STRING;;\d{30};null;null;30;1;1;Ник в игре;;;;;
GameXP,;743;ps_113;STRING;;\d{7};null;null;7;1;1;ID на портале GameXp;;;;;
The War Z, ;742;ps_114;STRING;;\d{30};null;null;30;1;1;Ник;;;;;
Battle of Immortals, ;741;ps_115;STRING;;\d{10};null;null;10;1;1;Платежный ID;;;;;
Территория 2, ;740;ps_116;STRING;;\d{30};null;null;30;1;1;Ник;;;;;
 Последний предел,;718;ps_117;STRING;;\d{30};null;null;30;1;1;Ник;;;;;
 Tanki online, ;512;ps_119;STRING;;\d{20};null;null;20;1;1;Укажите Ваш Игровой Идентификатор;;;;;
 Bloody World, ;719;ps_120;STRING;;\d{24};null;null;24;1;1;Ник;;;;;
Gamenet, ;738;ps_121;STRING;;\d{30};null;null;30;1;1;Email;;;;;
One World, ;739;ps_122;STRING;;\d{30};null;null;30;1;1;Ник;;;;;
Садовая империя, ;721;ps_123;STRING;;\d{14};null;null;14;1;1;ID игрока;;;;;
Лордмансер, ;722;ps_124;STRING;;\d{30};null;null;30;1;1;Логин;;;;;
 Zzima.com,;724;ps_125;STRING;;\d{14};null;null;14;1;1;Логин;;;;;
Поднебесье, ;726;ps_126;STRING;;\d{30};null;null;30;1;1;Ник;;;;;
 Murclub.ru, ;725;ps_127;STRING;;\d{12};null;null;12;1;1;Логин;;;;;
Осада Онлайн, ;727;ps_128;STRING;;\d{21};null;null;21;1;1;Имя персонажа;;;;;
Silkroad Online, ;728;ps_129;STRING;;\d{30};null;null;30;1;1;Ник;;;;;
Kw.rambler.ru, ;729;ps_130;STRING;;\d{30};null;null;30;1;1;Email;;;;;
Моя деревня, ;731;ps_131;STRING;;\d{16};null;null;16;1;1;ID игрока;;;;;
My lands, ;733;ps_132;STRING;;\d{15};null;null;15;1;1;Ник;;;;;
Варвары, ;734;ps_133;STRING;;\d{16};null;null;16;1;1;Ник или ID;;;;;
JagPlay, ;735;ps_134;STRING;;\d{12};null;null;12;1;1;Ник;;;;;
Mgates, ;736;ps_135;STRING;;\d{9};null;null;9;1;1;ID игрока;;;;;
Войны мафии, ;737;ps_136;STRING;;\d{30};null;null;30;1;1;Ник или ID;;;;;
  Острова, ;712;ps_137;STRING;;\d{18};null;null;18;1;1;Ник;;;;;
Peredovaya, ;713;ps_138;STRING;;\d{16};null;null;16;1;1;Логин;;;;;
Звездные бои,;714;ps_139;STRING;;\d{9};null;null;9;1;1;Номер счета;;;;;
Гарена, ;747;ps_140;STRING;;\d{8};null;null;8;1;1;ID игрока;;;;;
Королевство;507;ps_141;STRING;;\d{10};null;null;10;1;1;Введите номер счета в игре;;;;;
Ганджубасовые войны;522;ps_142;STRING;;\d{24};null;null;24;1;1;Введите Ваш ник;;;;;
Carnage;508;ps_143;STRING;;\d{18};null;null;18;1;1;Введите номер счёта;;;;;
11х11 футбольный Менеджер;519;ps_144;STRING;;\d{29};null;null;29;1;1;Укажите Ник в игре;;;;;
Sky2Fly;521;ps_145;STRING;;\d{16};null;null;16;1;1;Укажите Ваш ник в игре;;;;;
Герои войны и денег;571;ps_146;STRING;;\d{20};null;null;20;1;1;Введите имя персонажа;;;;;
U.N.I.T.;658;ps_147;STRING;;\d{16};null;null;16;1;1;Введите ник;;;;;
Neverlands;667;ps_148;STRING;;\d{21};null;null;21;1;1;Введите ник;;;;;
Гладиаторы;668;ps_149;STRING;;\d{24};null;null;24;1;1;Введите ник;;;;;
BananaWars;671;ps_150;STRING;;\d{19};null;null;19;1;1;Введите ник;;;;;
Overkings;672;ps_151;STRING;;\d{30};null;null;30;1;1;Введите учетную запись;;;;;
Haddan;673;ps_152;STRING;;\d{24};null;null;24;1;1;Введите ник;;;;;
Грани реальности;669;ps_153;STRING;;\d{18};null;null;18;1;1;Введите ник;;;;;
Xsolla ;767;ps_154;STRING;;\d{9};null;null;9;1;1;Введите номер Xsolla или 2pay;;;;;
VK реклама;709;ps_155;STRING;;\d{10};null;null;10;1;1;ID рекламного кабинета;;;;;
Steam (M);710;ps_156;STRING;;\d{10};null;null;10;1;1;Ник;;;;;
World of Tanks (M);511;ps_157;STRING;;\d{33};null;null;33;1;1;Введите e-mail адрес вашего игрового акаунта;;;;;
ТОО «Букмекерская контора «OLIMP KZ»;573;ps_158;STRING;;\d{6};null;null;6;1;1;Введите лицевой счет;;;;;
Букмекерская контора ТОО «PROFIT Betting»;684;ps_159;STRING;;\d{8};null;null;8;1;1;Введите номер счета;;;;;
ТОО Букмекерская контора Гол+Пас;676;ps_160;STRING;;\d{8};null;null;8;1;1;Введите номер;;;;;
Альпари;500;ps_161;STRING;;\d{10};null;null;10;1;1;Введите номер счета;;;;;
e-KZT;784;ps_162;STRING;XXXXXXXXXXXX;\d{12};null;null;12;1;1;Введите номер телефона;;;;;
ТОО «Редпрайс» (www.chocolifeme.kz);590;ps_163;STRING;;\d{20};null;null;20;1;1;Введите номер заказа;;;;;
"ТОО ""БиСмарт"" (besmart.kz)";523;ps_164;STRING;;\d{10};null;null;10;1;1;Введите лицевой счет;;;;;
ТОО Мир купонов;700;ps_165;STRING;;\d{13};null;null;13;1;1;Введите лицевой счет;;;;;
Flora Express;677;ps_166;STRING;;\d{6};null;null;6;1;1;Введите номер;;;;;
LR Health and Beauty Systems;797;ps_167;STRING;;\d{10};null;null;10;1;1;Введите номер счёта;;;;;
ShopInfo.kz;795;ps_168;STRING;\d{50};\d{50};null;null;50;1;1;Введите логин;;;;;
ТОО «INFOSMS.KZ»;542;ps_169;STRING;999-999-999;\d{9};null;null;9;1;1;Введите номер телефона;;;;;
ТОО «Колёса» (www.kolesa,kz , www.krisha.kz);534;ps_170;STRING;;\d{9};null;null;9;1;1;Введите номер аккаунта;;;;;
Газета Автомания;659;ps_171;STRING;;\d{6};null;null;6;1;1;Введите номер заказа;;;;;
Газета Из рук в руки;660;ps_172;STRING;;\d{6};null;null;6;1;1;Введите номер заказа;;;;;
Газета Работа Сегодня;664;ps_173;STRING;;\d{6};null;null;6;1;1;Введите номер заказа;;;;;
ТОО «ЭВБИКА»;707;ps_174;STRING;;\d{12};null;null;12;1;1;Введите номер ИИН/БИН;;;;;
ТОО «Прометей-Б»;706;ps_175;STRING;;\d{12};null;null;12;1;1;Введите номер ИИН/БИН;;;;;
ТОО «Жедел-Са»;705;ps_176;STRING;;\d{12};null;null;12;1;1;Введите номер ИИН/БИН;;;;;
Жедел Кузет ;57;ps_177;STRING;;\d{12};null;null;12;1;1;Введите номер ИИН/БИН;;;;;
ТОО Кузет-Моторс;796;ps_178;STRING;;\d{12};null;null;12;1;1;Введите ИНН, затем номер договора;;;;;
ТОО Кузет-Техмонтаж;810;ps_179;STRING;;\d{7};null;null;7;1;1;ID-код (номер договора);;;;;
OLX.kz;803;ps_180;STRING;\d{50};\d{50};null;null;50;1;1;Введите код;;;;;
"ТОО ""Орифлэйм""";525;ps_181;STRING;;\d{8};null;null;8;1;1;Введите номер консультанта;;;;;
AVON;528;ps_182;STRING;;\d{12};null;null;12;1;1;Введите номер консультанта;;;;;
"ТОО ""Фаберлик - Казахстан""";529;ps_183;STRING;;\d{20};null;null;20;1;1;Введите регистрационный номер;;;;;
Mary Kay Kazakhstan;527;ps_184;STRING;;\d{9};null;null;9;1;1;Введите номер консультанта;;;;;
ИС Параграф;544;ps_185;STRING;\d{50};\d{50};null;null;50;1;1;Введите логин;;;;;
